Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21001A031;RAUTER-SUD;Anderlecht;0,076065266;0,062648758;1,949524592;1,581881127;0,118323747;0,075700582;1,949524592;1,581881127;0,160582228;0,125297515;0,118323747;0,075700582;4,363892476;3,364760351;3,617325977;2,696506938
21001B22-;BROGNIEZ-SUD;Anderlecht;0,047163483;0,042409414;1,208782609;1,070837702;0,073365418;0,051244709;1,208782609;1,070837702;0,099567354;0,084818828;0,073365418;0,051244709;2,705786505;2,277738941;2,242885651;1,825371859
21001B321;ALBERT I- QUARTIER;Anderlecht;0,077649959;0,061317222;1,990139688;1,548259849;0,120788825;0,074091643;1,990139688;1,548259849;0,163927691;0,122634444;0,120788825;0,074091643;4,454806902;3,293245785;3,692686935;2,63919542
21001B20-;CONSEIL-NORD;Anderlecht;0,218385793;0,171435229;5,597146994;4,328739535;0,339711234;0,207150902;5,597146994;4,328739535;0,461036674;0,342870458;0,339711234;0,207150902;12,52887383;9,20750043;10,38545772;7,378857986
21001B23-;CONSEIL-SUD;Anderlecht;0,062255798;0,045139062;1,595593044;1,139761322;0,096842352;0,054543034;1,595593044;1,139761322;0,131428907;0,090278125;0,096842352;0,054543034;3,571638187;2,424343803;2,960609059;1,942860472
21001A142;VEEWEYDE-NORD;Anderlecht;0,043843174;0,040145803;1,123684313;1,01368153;0,068200493;0,048509512;1,123684313;1,01368153;0,092557812;0,080291606;0,068200493;0,048509512;2,515299135;2,156164178;2,084986501;1,727942278
21001A051;LINDE-EST;Anderlecht;0,058784566;0,050065745;1,506626644;1,264160051;0,091442658;0,060496108;1,506626644;1,264160051;0,12410075;0,100131489;0,091442658;0,060496108;3,3724923;2,688947698;2,795532675;2,15491309
21001A941;CROCUS;Anderlecht;0,081423038;0,08042476;2,086842296;2,030725188;0,126658058;0,097179918;2,086842296;2,030725188;0,171893079;0,16084952;0,126658058;0,097179918;4,671269823;4,319479813;3,872117787;3,461615708
21001A732;SCHEUTVELD;Anderlecht;0,010791005;0,011251477;0,276569461;0,284099799;0,016786008;0,013595535;0,276569461;0,284099799;0,022781011;0,022502954;0,016786008;0,013595535;0,619083952;0,604298086;0,513172237;0,48428233
21001A982;PARC FORESTIER;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A90-;SCHEUTKAPEL;Anderlecht;0,074480573;0,07503204;1,908909496;1,894559012;0,115858669;0,090663715;1,908909496;1,894559012;0,157236765;0,15006408;0,115858669;0,090663715;4,272978049;4,029845819;3,541965019;3,229504058
21001A783;SCHEUT-INTERNAT;Anderlecht;7,54616E-05;0;0,001934052;0;0,000117385;0;0,001934052;0;0,000159308;0;0,000117385;0;0,004329258;0;0,003588617;0
21001A132;RAUTER-NORD;Anderlecht;0,04316402;0,033221817;1,106277844;0,838850885;0,067144031;0,040143029;1,106277844;0,838850885;0,091124042;0,066443634;0,067144031;0,040143029;2,47633581;1,784288433;2,052688947;1,429922383
21001B31-;ALBERT I- IMMEUBLES;Anderlecht;0,029580937;0,031224514;0,758148452;0,788418968;0,04601479;0,037729621;0,758148452;0,788418968;0,062448644;0,062449027;0,04601479;0,037729621;1,697069296;1,677016583;1,40673788;1,343955105
21001B25-;REVISION-NORD;Anderlecht;0,153564302;0,120770293;3,935796175;3,049449909;0,238877803;0,145930771;3,935796175;3,049449909;0,324191303;0,241540587;0,238877803;0,145930771;8,810040861;6,486371177;7,302835678;5,198154713
21001B11-;ROSEE-OUEST;Anderlecht;0,036900709;0,024500258;0,945751513;0,618631514;0,057401103;0,029604478;0,945751513;0,618631514;0,077901497;0,049000516;0,057401103;0,029604478;2,117007362;1,315868023;1,754833733;1,054531937
21001A72-;OSSEGEM;Anderlecht;0,123832442;0,111050082;3,173779619;2,80401458;0,192628243;0,134185516;3,173779619;2,80401458;0,261424044;0,222100165;0,192628243;0,134185516;7,104313048;5,964314842;5,888920564;4,779780629
21001A011;KLEINMOLEN;Anderlecht;0,12949206;0,100797257;3,318833532;2,54513074;0,201432093;0,121796686;3,318833532;2,54513074;0,273372126;0,201594514;0,201432093;0,121796686;7,429007429;5,41365268;6,158066842;4,338481938
21001B17-;ABATTOIR;Anderlecht;0,040371942;0,03315524;1,034717913;0,837169821;0,062800798;0,040062582;1,034717913;0,837169821;0,085229655;0,066310481;0,062800798;0,040062582;2,316153248;1,780712705;1,919910117;1,427056807
21001A712;SCHEUT - DE SMET;Anderlecht;0,036598863;0,031623974;0,938015305;0,798505351;0,056931565;0,038212302;0,938015305;0,798505351;0,077264266;0,063247949;0,056931565;0,038212302;2,099690328;1,698470953;1,740479265;1,361148561
21001A07-;BIRMINGHAM;Anderlecht;0,013734006;0,010585709;0,351997496;0,26728916;0,02136401;0,012791065;0,351997496;0,26728916;0,028994013;0,021171419;0,02136401;0,012791065;0,78792503;0,568540803;0,653128301;0,455626571
21001B21-;BROGNIEZ-NORD;Anderlecht;0,14533899;0,105790516;3,724984488;2,671210532;0,226082874;0,127830207;3,724984488;2,671210532;0,306826757;0,211581032;0,226082874;0,127830207;8,338151695;5,681832304;6,911676421;4,553400132
21001A911;SCHEUT-EST;Anderlecht;0,083913269;0,07296816;2,150666018;1,842446031;0,130531753;0,08816986;2,150666018;1,842446031;0,177150236;0,145936319;0,130531753;0,08816986;4,81413535;3,918998241;3,990542149;3,140671205
21001A931;AGRAFE-NORBERT GILLE;Anderlecht;0,073650496;0,065378406;1,887634922;1,650804747;0,114567437;0,078998907;1,887634922;1,650804747;0,155484379;0,130756812;0,114567437;0,078998907;4,225356207;3,511365213;3,502490232;2,81399555
21001A74-;SCHEUT-OUEST;Anderlecht;0,100967585;0,088813435;2,58776181;2,242539239;0,157060688;0,107316234;2,58776181;2,242539239;0,213153791;0,17762687;0,157060688;0,107316234;5,79254775;4,770021582;4,801569601;3,822678273
