Code;Territoire;Part des moins de 3 ans dans la population totale (%);Nombre de places en milieu d'accueil par enfant de moins de trois ans ();Population totale (Nombre d'habitants);#0-2 ans;#places en crèche
21002A00-;CENTRE - NORD;3,49;1,55;1061,00;37;57,18181818
21002A01-;SAINTE-ANNE;4,46;0,36;672,00;30;10,90909091
21002A02-;CENTRE-SUD;3,17;0,00;1071,00;34;0
21002A030;LAMMERE0RIES;3,35;0,53;2000,00;67;35,47058823
21002A041;VIGNETTE;4,01;0,00;548,00;22;0
21002A072;CENTRE COMMERCIAL;0,00;0,00;99,00;0;0
21002A091;TROIS COULEURS;0,00;0,00;0,00;0;0
21002A10-;TRANSVAAL;3,24;0,97;2590,00;84;81,66666666
21002A11-;SACRE-COEUR;4,00;0,00;1001,00;40;0
21002A12-;AVENUE SCHALLER;2,84;2,20;1513,00;43;94,6
21002A130;PARC DES PRINCES;1,85;0,00;1298,00;24;0
21002A14-;TEN REUKEN;2,73;0,00;366,00;10;0
21002A15-;SOUVERAIN (BLV DU)- BUILDINGS;0,00;0,00;147,00;0;0
21002A18-;ROUGE CLOITRE;0,00;0,00;7,00;0;0
21002A190;FORET DE SOIGNES;0,00;0,00;45,00;0;0
21002A20-;SAINT-JULIEN;3,44;0,00;1191,00;41;0
21002A21-;LEBON;4,15;0,00;3105,00;129;0
21002A22-;CANARIS (AVENUE DES);4,26;0,00;892,00;38;0
21002A23-;TH. BALIS (PLACE);3,74;0,60;1391,00;52;31,2
21002A24-;AVENUE DE BROUCKERE;3,87;0,30;1343,00;52;15,4893617
21002A25-;WATERMAEL (CHAUSSEE DE);3,54;0,98;1411,00;50;49,05660377
21002A30-;TRIOMPHE (BOULEVARD DU);3,34;1,62;1289,00;43;69,61904762
21002A311;AMITIE (PLACE DE L');4,35;0,00;1057,00;46;0
21002A372;QUARTIER I0USTRIE;4,96;0,00;625,00;31;0
21002A39-;CHEMIN DE FER;0,00;0,00;0,00;0;0
21002A411;PUTDAAL;2,22;0,00;632,00;14;0
21002A422;AVENUE IS.GERARD;0,00;0,00;149,00;0;0
21002A43-;SOUVERAIN (BOULEVARD DU) NORD;4,83;0,00;1657,00;80;0
21002A441;CHANT D'OISEAUX;3,28;0,80;1221,00;40;32,17391304
21002A45-;VAL DUC;1,70;1,40;766,00;13;18,2
21002A482;VAL DUCHESSE;0,00;0,00;7,00;0;0
21002A492;WOLUWE PARC;0,00;0,00;8,00;0;0
21002A511;INVALIDES (BOULEVARD DES);3,57;0,47;2580,00;92;42,93333334
21002A52-;BEAULIEU;4,50;3,46;667,00;30;103,8461538
21002A53-;PECHERIES;3,90;0,00;1309,00;51;0
21002A572;DEPOT METRO;0,00;0,00;0,00;0;0
21003A00-;CENTRE;4,79;0,07;2920,00;140;10,37037037
21003A011;MOLENBERG;4,22;1,24;1612,00;68;84,13559322
21003A02-;LAURE - BASILIQUE;4,97;0,42;3158,00;157;65,87412588
21003A03-;HAUT-CHAMP;4,26;0,45;1902,00;81;36,73255814
21003A04-;L. DE SMET;5,02;0,11;1136,00;57;6,333333333
21003A05-;DE SELLIERS DE MORANVILLE;4,48;0,92;1918,00;86;79
21003A0AJ;HU0ERENVELD;3,56;0,00;1012,00;36;0
21003A10-;HOPITAL FRANCAIS;4,19;0,00;3199,00;134;0
21003A11-;CITE MODERNE;3,09;0,00;873,00;27;0
21003A212;CLOS DU ZAVELENBERG;4,74;0,00;633,00;30;0
21003A283;ZAVELENBERG;3,98;0,00;226,00;9;0
21003A2MJ;GARE;5,68;2,54;475,00;27;68,53846154
21003A312;POTAARDE  VLAK;3,58;0,80;2151,00;77;61,6
21003A323;SEPT ETOILES;3,51;0,00;969,00;34;0
21003A331;ALLEE VERTE;6,71;0,00;760,00;51;0
21003A342;HOGENBOS;2,94;0,33;918,00;27;8,999999999
21003A38-;KONINCKXBOS;0,00;0,00;194,00;0;0
21003A41-;MONNET;4,91;0,00;733,00;36;0
21004A001;GRA0-PLACE;1,58;0,00;886,00;14;0
21004A002;BOURSE;3,75;0,00;533,00;20;0
21004A01-;VIEILLE HALLE AUX BLES;3,40;0,00;883,00;30;0
21004A02-;SAINT-FRANCOIS XAVIER;3,56;2,36;1602,00;57;134,484375
21004A03-;BON SECOURS - PALAIS DU MIDI;3,80;0,11;2053,00;78;8,788732391
21004A04-;NOTRE-DAME DE LA CHAPELLE;3,95;0,00;1164,00;46;0
21004A10-;GARE CENTRALE;0,00;0,00;73,00;0;0
21004A12-;REGENT (BOULEVARD DU);0,00;0,00;149,00;0;0
21004A13-;PETIT SABLON;3,09;1,00;907,00;28;28
21004A14-;GRA0 SABLON;2,70;0,00;1778,00;48;0
21004A15-;JACOBS (PLACE);3,96;0,00;454,00;18;0
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;2,86;0,68;2758,00;79;53,76388889
21004A19-;PALAIS ROYAL;0,00;0,00;36,00;0;0
21004A1MJ;COLONIES (RUE DES);0,00;0,00;38,00;0;0
21004A20-;BOURSE-NORD-OUEST;3,53;0,00;2464,00;87;0
21004A21-;ANNEESSENS (PLACE);5,55;0,26;6481,00;360;92,59188678
21004A22-;SENNE (RUE DE LA);4,65;0,30;3464,00;161;48,78787878
21004A23-;NOUVEAU MARCHE AU GRAIN;3,85;0,29;3172,00;122;35,58333334
21004A24-;MARCHE AU PORCS;4,55;0,90;3454,00;157;141,6293706
21004A25-;BEGUINAGE (PLACE DU);3,21;2,24;1807,00;58;129,6470588
21004A30-;SAINT-MICHEL ET GUDULE;0,00;0,00;21,00;0;0
21004A32-;CONGRES - GARE;2,91;3,32;1238,00;36;119,52
21004A33-;LIBERTE (PLACE DE LA);4,03;0,29;2307,00;93;26,72413793
21004A34-;MONNAIE;3,22;0,00;1025,00;33;0
21004A35-;AD. MAX (BOULEVARD);4,60;0,00;1284,00;59;0
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;0,00;0,00;130,00;0;0
21004A70-;BLAES (RUE)-SUD;4,05;0,72;4790,00;194;139,7634409
21004A71-;BLAES (RUE)-CENTRE;3,11;1,28;1702,00;53;68,01666667
21004A72-;SAINT-THOMAS (INSTITUT);4,89;1,49;1594,00;78;116
21004A811;QUAI DU COMMERCE;4,72;0,00;2605,00;123;0
