Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21003A0AJ;HUNDERENVELD;Berchem Sainte-Agathe;360;0,039212469;14,11648893
21003A02-;LAURE - BASILIQUE;Berchem Sainte-Agathe;360;0,12707137;45,74569319
21003A03-;HAUT-CHAMP;Berchem Sainte-Agathe;360;0,079409352;28,58736669
21003A011;MOLENBERG;Berchem Sainte-Agathe;360;0,063412633;22,82854799
21003A212;CLOS DU ZAVELENBERG;Berchem Sainte-Agathe;360;0,026086957;9,391304348
21003A00-;CENTRE;Berchem Sainte-Agathe;360;0,119606235;43,05824446
21003A283;ZAVELENBERG;Berchem Sainte-Agathe;360;0,008203445;2,953240361
21003A11-;CITE MODERNE;Berchem Sainte-Agathe;360;0,033059885;11,90155865
21003A05-;DE SELLIERS DE MORANVILLE;Berchem Sainte-Agathe;360;0,080311731;28,91222313
21003A41-;MONNET;Berchem Sainte-Agathe;360;0,027481542;9,893355209
21003A2MJ;GARE;Berchem Sainte-Agathe;360;0,019196062;6,910582445
21003A10-;HOPITAL FRANCAIS;Berchem Sainte-Agathe;360;0,127891715;46,04101723
21004B421;MARIE-LOUISE (SQUARE);Bruxelles;4314;0,020858486;89,98350724
21004B411;DEUX EGLISES (RUE DES);Bruxelles;4314;0,008666782;37,38849603
21004F511;AVENUE DES PAGODES;Bruxelles;4314;0,009453691;40,78322266
21004C62-;BOENDAAL-OUEST;Bruxelles;4314;0,003276992;14,13694377
21004C65-;VIVIER D'OIE;Bruxelles;4314;0,001918765;8,277552604
21004G310;HAREN-SUD-OUEST;Bruxelles;4314;0,00588565;25,39069507
21004D6MJ;QUAI DES USINES - MONNOYER;Bruxelles;4314;3,23387E-05;0,139509314
21004F94-;VAL MARIA;Bruxelles;4314;0,004225595;18,22921697
21004F901;PLACE PETER BENOIT;Bruxelles;4314;0,010100466;43,57340893
21004G371;GARE DE FORMATION;Bruxelles;4314;3,23387E-05;0,139509314
