Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21009A311;TREILLE (RUE DE LA);Ixelles;2012;0,003899382;7,845557409
21009A802;BOONDAEL-SUD;Ixelles;2012;0,003380967;6,802506424
21009A82-;FORET;Ixelles;2012;0,01555245;31,29152955
21009A111;WERY (RUE);Ixelles;2012;0,036717306;73,87521976
21009A01-;BLYCKAERTS;Ixelles;2012;0,024207727;48,70594599
21009A22-;UNIVERSITE;Ixelles;2012;0,047175765;94,91763963
21009A53-;LONDRES (PLACE DE);Ixelles;2012;0,03942208;79,3172249
21009A512;WIERTZ;Ixelles;2012;0,002749853;5,532705225
21009A593;QUARTIER LEOPOLD;Ixelles;2012;0;0
21009A612;LIEGEOIS (RUE);Ixelles;2012;0,035590317;71,60771762
21009A151;A. DELPORTE-NORD;Ixelles;2012;0,010661317;21,45057026
21009A922;CASERNE (Ixelles);Ixelles;2012;0,003876843;7,800207366
21009A29-;CIMETIERE;Ixelles;2012;0;0
21009A73-;BERCKENDAEL;Ixelles;2012;0,031352838;63,08190957
21009A451;CHATELAIN (PLACE DU)-EST;Ixelles;2012;0,029166479;58,68295542
21009A192;ETANGS;Ixelles;2012;0;0
21010A393;SACRE-COEUR;Jette;688;0,001573708;1,08271117
21010A04-;NOTRE-DAME DE LOURDES;Jette;688;0,08578539;59,02034841
21010A092;PARC DE LA JEUNESSE;Jette;688;0;0
21010A03-;MIROIR;Jette;688;0,062289562;42,85521886
21010A182;DIELEGEM (BOIS DE);Jette;688;3,65979E-05;0,02517933
21010A10-;ANCIENNE BARRIERE;Jette;688;0,040477236;27,84833846
21010A121;F. MOHRFELD (RUE DE);Jette;688;0,02517933;17,32337871
21010A111;HEYMBOSCH;Jette;688;0,060020495;41,29410042
21010A312;BAECK DUPRE;Jette;688;0,017676768;12,16161616
21010A4MJ;VUB;Jette;688;0,000805153;0,55394525
21010A1AJ;ARBRE BALLON;Jette;688;0,056726687;39,02796077
21010A05-;ALBERT (QUARTIER);Jette;688;0,105584834;72,64236569
21010A493;LAERBEEK (BOIS DE);Jette;688;0,000402576;0,276972625
21010A13-;CITE-JARDIN;Jette;688;0,086151369;59,27214171
21010A00-;CENTRE;Jette;688;0,119455424;82,18533158
21010A141;BRUGMANN;Jette;688;0,085309618;58,69301713
21010A01-;ESSEGHEM;Jette;688;0,098301859;67,63167911
