Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A552;TREFLE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,416666667;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;4,685714286;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4
21001A84-;POESIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;2,285714286;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857
21001A34-;ROUE - CITE JARDIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;3,457142857;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714;1,914285714
21001A350;CERIA - ZONE D'HABITAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;1,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857;1,257142857
21001A441;DOCTEUR ROUX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;4,8;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429;2,028571429
21001C512;CHANTS D'OISEAUX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;0,416666667;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;5,514285714;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286;3,885714286
21001C71-;BON AIR - CITE JARDIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857;1,457142857
21001A82-;MOORTEBEEK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;0,333333333;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;5,057142857;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6
21001C611;SOETKIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;0,083333333;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,542857143;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714;1,114285714
21001C581;CIMETIERE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
