Code;Territoire;Commune;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A552;TREFLE;Anderlecht;13,6;13,6;13,6;13,6;13,6;20,2;20,2;20,2;20,2;20,2;19,4;19,4;19,4;19,4;19,4;21,6;21,6;21,6;21,6;21,6;19,6;19,6;19,6;19,6;19,6;15,6;15,6;15,6;15,6;15,6;17;17;17;17;17;21,4;21,4;21,4;21,4;21,4;17,4;17,4;17,4;17,4;17,4;18,4;18,4;18,4;18,4;18,4;14;14;14;14;14;13;13;13;13;13;12,6;12,6;12,6;12,6;12,6;14;14;14;14;14;9,8;9,8;9,8;9,8;9,8;6,6;6,6;6,6;6,6;6,6;4;4;4;4;4;3,2;3,2;3,2;3,2;3,2;1,000;1;1;1;1;0;0;0;0;0
21001A84-;POESIE;Anderlecht;14,4;14,4;14,4;14,4;14,4;8,8;8,8;8,8;8,8;8,8;6,6;6,6;6,6;6,6;6,6;7,6;7,6;7,6;7,6;7,6;6,6;6,6;6,6;6,6;6,6;8,6;8,6;8,6;8,6;8,6;9,4;9,4;9,4;9,4;9,4;9,4;9,4;9,4;9,4;9,4;0;0;0;0;0;7,4;7,4;7,4;7,4;7,4;4,8;4,8;4,8;4,8;4,8;7,6;7,6;7,6;7,6;7,6;5,4;5,4;5,4;5,4;5,4;2,2;2,2;2,2;2,2;2,2;3;3;3;3;3;4,8;4,8;4,8;4,8;4,8;3,8;3,8;3,8;3,8;3,8;3,6;3,6;3,6;3,6;3,6;3,000;3;3;3;3;0,548108108;0,548108108;0,548108108;0,548108108;0,548108108
21001A34-;ROUE - CITE JARDIN;Anderlecht;12;12;12;12;12;14,2;14,2;14,2;14,2;14,2;22,2;22,2;22,2;22,2;22,2;21,2;21,2;21,2;21,2;21,2;14,2;14,2;14,2;14,2;14,2;11,2;11,2;11,2;11,2;11,2;9,2;9,2;9,2;9,2;9,2;12,6;12,6;12,6;12,6;12,6;17,4;17,4;17,4;17,4;17,4;17,8;17,8;17,8;17,8;17,8;17,2;17,2;17,2;17,2;17,2;15,2;15,2;15,2;15,2;15,2;9,2;9,2;9,2;9,2;9,2;10,6;10,6;10,6;10,6;10,6;6;6;6;6;6;6,2;6,2;6,2;6,2;6,2;7;7;7;7;7;4,8;4,8;4,8;4,8;4,8;1,600;1,6;1,6;1,6;1,6;0,548108108;0,548108108;0,548108108;0,548108108;0,548108108
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;6;6;6;6;6;11;11;11;11;11;10,2;10,2;10,2;10,2;10,2;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,6;8,6;8,6;8,6;8,6;9,8;9,8;9,8;9,8;9,8;10;10;10;10;10;0;0;0;0;0;6,2;6,2;6,2;6,2;6,2;8;8;8;8;8;8,4;8,4;8,4;8,4;8,4;4,4;4,4;4,4;4,4;4,4;3,6;3,6;3,6;3,6;3,6;5,8;5,8;5,8;5,8;5,8;2,4;2,4;2,4;2,4;2,4;2;2;2;2;2;2,2;2,2;2,2;2,2;2,2;0,800;0,8;0,8;0,8;0,8;0,182702703;0,182702703;0,182702703;0,182702703;0,182702703
21001A441;DOCTEUR ROUX;Anderlecht;17,6;17,6;17,6;17,6;17,6;17;17;17;17;17;13,4;13,4;13,4;13,4;13,4;12,8;12,8;12,8;12,8;12,8;18,2;18,2;18,2;18,2;18,2;20,2;20,2;20,2;20,2;20,2;17,2;17,2;17,2;17,2;17,2;14,2;14,2;14,2;14,2;14,2;14,6;14,6;14,6;14,6;14,6;15,6;15,6;15,6;15,6;15,6;12,2;12,2;12,2;12,2;12,2;11,6;11,6;11,6;11,6;11,6;12,2;12,2;12,2;12,2;12,2;7,6;7,6;7,6;7,6;7,6;6,4;6,4;6,4;6,4;6,4;6,2;6,2;6,2;6,2;6,2;5;5;5;5;5;3;3;3;3;3;1,000;1;1;1;1;0,365405405;0,365405405;0,365405405;0,365405405;0,365405405
21001C512;CHANTS D'OISEAUX;Anderlecht;7,2;7,2;7,2;7,2;7,2;7,6;7,6;7,6;7,6;7,6;7,4;7,4;7,4;7,4;7,4;9;9;9;9;9;6,6;6,6;6,6;6,6;6,6;5,8;5,8;5,8;5,8;5,8;9,4;9,4;9,4;9,4;9,4;6;6;6;6;6;0;0;0;0;0;8,6;8,6;8,6;8,6;8,6;6,4;6,4;6,4;6,4;6,4;13;13;13;13;13;9,8;9,8;9,8;9,8;9,8;6,8;6,8;6,8;6,8;6,8;10,6;10,6;10,6;10,6;10,6;11,6;11,6;11,6;11,6;11,6;13;13;13;13;13;13,2;13,2;13,2;13,2;13,2;10,600;10,6;10,6;10,6;10,6;4,567567568;4,567567568;4,567567568;4,567567568;4,567567568
21001C71-;BON AIR - CITE JARDIN;Anderlecht;5,4;5,4;5,4;5,4;5,4;11,2;11,2;11,2;11,2;11,2;11,8;11,8;11,8;11,8;11,8;14;14;14;14;14;8,2;8,2;8,2;8,2;8,2;5,2;5,2;5,2;5,2;5,2;4,4;4,4;4,4;4,4;4,4;11,6;11,6;11,6;11,6;11,6;0;0;0;0;0;12,2;12,2;12,2;12,2;12,2;10,8;10,8;10,8;10,8;10,8;9;9;9;9;9;10,2;10,2;10,2;10,2;10,2;7,4;7,4;7,4;7,4;7,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;3,2;3,2;3,2;3,2;3,2;4,2;4,2;4,2;4,2;4,2;0,000;0;0;0;0;0,182702703;0,182702703;0,182702703;0,182702703;0,182702703
21001A82-;MOORTEBEEK;Anderlecht;8,8;8,8;8,8;8,8;8,8;14,8;14,8;14,8;14,8;14,8;11;11;11;11;11;12,8;12,8;12,8;12,8;12,8;11;11;11;11;11;7,2;7,2;7,2;7,2;7,2;8,4;8,4;8,4;8,4;8,4;10,2;10,2;10,2;10,2;10,2;0;0;0;0;0;13;13;13;13;13;16;16;16;16;16;13,6;13,6;13,6;13,6;13,6;14;14;14;14;14;9,2;9,2;9,2;9,2;9,2;10,8;10,8;10,8;10,8;10,8;5,2;5,2;5,2;5,2;5,2;6,4;6,4;6,4;6,4;6,4;5;5;5;5;5;1,200;1,2;1,2;1,2;1,2;0,182702703;0,182702703;0,182702703;0,182702703;0,182702703
21001C611;SOETKIN;Anderlecht;2,8;2,8;2,8;2,8;2,8;3,2;3,2;3,2;3,2;3,2;1,8;1,8;1,8;1,8;1,8;2,6;2,6;2,6;2,6;2,6;3;3;3;3;3;1,6;1,6;1,6;1,6;1,6;2,6;2,6;2,6;2,6;2,6;3,4;3,4;3,4;3,4;3,4;0;0;0;0;0;3,8;3,8;3,8;3,8;3,8;2,6;2,6;2,6;2,6;2,6;4;4;4;4;4;5,4;5,4;5,4;5,4;5,4;4;4;4;4;4;5;5;5;5;5;2,4;2,4;2,4;2,4;2,4;2,6;2,6;2,6;2,6;2,6;1,4;1,4;1,4;1,4;1,4;0,600;0,6;0,6;0,6;0,6;0;0;0;0;0
21001C581;CIMETIERE;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0;0;0;0;0;0;0;0;0
21001C522;HOPITAL U.L.B.;Anderlecht;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;6,6;6,6;6,6;6,6;6,6;6;6;6;6;6;1;1;1;1;1;0,8;0,8;0,8;0,8;0,8;0;0;0;0;0;0,6;0,6;0,6;0,6;0,6;0,2;0,2;0,2;0,2;0,2;0,6;0,6;0,6;0,6;0,6;0,4;0,4;0,4;0,4;0,4;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0,2;0,2;0,2;0,2;0,2;1;1;1;1;1;2;2;2;2;2;0,000;0;0;0;0;0,913513514;0,913513514;0,913513514;0,913513514;0,913513514
21001A451;VENIZELOS;Anderlecht;10,8;10,8;10,8;10,8;10,8;7,8;7,8;7,8;7,8;7,8;10,8;10,8;10,8;10,8;10,8;12,6;12,6;12,6;12,6;12,6;11,4;11,4;11,4;11,4;11,4;7,6;7,6;7,6;7,6;7,6;12,2;12,2;12,2;12,2;12,2;11,8;11,8;11,8;11,8;11,8;0;0;0;0;0;12;12;12;12;12;10,8;10,8;10,8;10,8;10,8;9;9;9;9;9;8,2;8,2;8,2;8,2;8,2;6,6;6,6;6,6;6,6;6,6;4,4;4,4;4,4;4,4;4,4;6,6;6,6;6,6;6,6;6,6;5,4;5,4;5,4;5,4;5,4;4,8;4,8;4,8;4,8;4,8;4,400;4,4;4,4;4,4;4,4;1,096216216;1,096216216;1,096216216;1,096216216;1,096216216
21001A30-;BIZET;Anderlecht;22;22;22;22;22;24,6;24,6;24,6;24,6;24,6;19,6;19,6;19,6;19,6;19,6;17,6;17,6;17,6;17,6;17,6;19,6;19,6;19,6;19,6;19,6;21,2;21,2;21,2;21,2;21,2;20,8;20,8;20,8;20,8;20,8;23;23;23;23;23;19,8;19,8;19,8;19,8;19,8;20,6;20,6;20,6;20,6;20,6;16,4;16,4;16,4;16,4;16,4;12,2;12,2;12,2;12,2;12,2;11,4;11,4;11,4;11,4;11,4;9,6;9,6;9,6;9,6;9,6;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;4;4;4;4;4;3;3;3;3;3;2,000;2;2;2;2;0,182702703;0,182702703;0,182702703;0,182702703;0,182702703
21001A80-;SILLON;Anderlecht;20;20;20;20;20;17,6;17,6;17,6;17,6;17,6;17;17;17;17;17;13,4;13,4;13,4;13,4;13,4;15,6;15,6;15,6;15,6;15,6;17,4;17,4;17,4;17,4;17,4;16,2;16,2;16,2;16,2;16,2;20;20;20;20;20;16,6;16,6;16,6;16,6;16,6;17,6;17,6;17,6;17,6;17,6;20,4;20,4;20,4;20,4;20,4;17,6;17,6;17,6;17,6;17,6;21,8;21,8;21,8;21,8;21,8;13,4;13,4;13,4;13,4;13,4;22,2;22,2;22,2;22,2;22,2;15;15;15;15;15;16,6;16,6;16,6;16,6;16,6;12,4;12,4;12,4;12,4;12,4;8,200;8,2;8,2;8,2;8,2;2,74054054;2,74054054;2,74054054;2,74054054;2,74054054
21001A81-;BROECK;Anderlecht;11,8;11,8;11,8;11,8;11,8;12;12;12;12;12;7,6;7,6;7,6;7,6;7,6;8,6;8,6;8,6;8,6;8,6;10,6;10,6;10,6;10,6;10,6;14,4;14,4;14,4;14,4;14,4;13,8;13,8;13,8;13,8;13,8;12,4;12,4;12,4;12,4;12,4;0;0;0;0;0;8,6;8,6;8,6;8,6;8,6;11;11;11;11;11;13,2;13,2;13,2;13,2;13,2;9,4;9,4;9,4;9,4;9,4;10,6;10,6;10,6;10,6;10,6;11,6;11,6;11,6;11,6;11,6;12,2;12,2;12,2;12,2;12,2;8,2;8,2;8,2;8,2;8,2;8;8;8;8;8;5,600;5,6;5,6;5,6;5,6;2,00972973;2,00972973;2,00972973;2,00972973;2,00972973
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0;0;0;0;0;0;0;0;0
21001A31-;CHAUSSEE DE MONS - SAINT-LUC;Anderlecht;9,2;9,2;9,2;9,2;9,2;8,2;8,2;8,2;8,2;8,2;4,4;4,4;4,4;4,4;4,4;4;4;4;4;4;4,2;4,2;4,2;4,2;4,2;7,4;7,4;7,4;7,4;7,4;8,8;8,8;8,8;8,8;8,8;6,6;6,6;6,6;6,6;6,6;0;0;0;0;0;5;5;5;5;5;4,4;4,4;4,4;4,4;4,4;3,2;3,2;3,2;3,2;3,2;3,8;3,8;3,8;3,8;3,8;1,8;1,8;1,8;1,8;1,8;1,6;1,6;1,6;1,6;1,6;2,6;2,6;2,6;2,6;2,6;2;2;2;2;2;0,8;0,8;0,8;0,8;0,8;0,400;0,4;0,4;0,4;0,4;0;0;0;0;0
21001A031;RAUTER-SUD;Anderlecht;14,2;14,2;14,2;14,2;14,2;12,8;12,8;12,8;12,8;12,8;11,6;11,6;11,6;11,6;11,6;13;13;13;13;13;17;17;17;17;17;16,8;16,8;16,8;16,8;16,8;16;16;16;16;16;13,8;13,8;13,8;13,8;13,8;0;0;0;0;0;13,8;13,8;13,8;13,8;13,8;13,2;13,2;13,2;13,2;13,2;9,8;9,8;9,8;9,8;9,8;5;5;5;5;5;4,6;4,6;4,6;4,6;4,6;5,4;5,4;5,4;5,4;5,4;3,6;3,6;3,6;3,6;3,6;2;2;2;2;2;0,6;0,6;0,6;0,6;0,6;0,600;0,6;0,6;0,6;0,6;0,182702703;0,182702703;0,182702703;0,182702703;0,182702703
