,SectorStatID,Nb d'enfants inscrits en primaires habitant le ss
132,21001A732,23
133,21001A90-,153
134,21001A132,96
135,21001B31-,96
136,21001B11-,88
137,21001A011,288
138,21001B17-,106
139,21001A712,96
140,21001A07-,40
141,21001B21-,342
142,21001A911,180
143,21001A74-,254
144,21001A00-,238
145,21001B10-,260
146,21001B332,116
147,21001A10-,99
148,21001A120,312
149,21001A152,124
150,21001A02-,115
151,21001A112,264
152,21002A20-,76
153,21002A53-,78
154,21002A511,212
155,21002A23-,101
156,21002A22-,56
157,21002A24-,90
158,21002A25-,112
159,21002A441,112
160,21002A311,76
161,21002A372,44
162,21002A30-,93
163,21002A21-,186
164,21002A411,40
165,21002A00-,74
166,21002A02-,60
167,21002A030,153
168,21002A11-,64
169,21002A10-,225
170,21002A14-,32
171,21002A43-,141
172,21002A041,40
173,21002A01-,60
174,21002A52-,50
175,21003A312,185
176,21003A323,69
177,21003A342,70
178,21003A331,68
179,21003A04-,114
180,21003A0AJ,120
181,21003A02-,272
182,21003A03-,134
183,21003A011,160
184,21003A212,67
185,21003A00-,280
186,21003A283,16
187,21003A11-,111
188,21003A05-,150
189,21003A10-,232
190,21004B421,220
191,21004B411,72
192,21004F511,163
193,21004C62-,40
194,21004C65-,32
195,21004G310,106
196,21004F94-,84
197,21004F901,186
198,21004G30-,347
199,21004F930,230
200,21004G321,119
201,21004B2WJ,12
202,21004B45-,82
203,21004A25-,86
204,21004B2MJ,23
205,21004B44-,138
206,21004B43-,359
207,21004A24-,220
208,21004A35-,60
209,21004A83-,112
210,21004F531,253
211,21004G3MJ,68
212,21004F91-,233
213,21004F922,268
214,21004G3NJ,46
215,21004C642,26
216,21004C61-,46
217,21004C54-,70
218,21004C63-,66
219,21004B13-,20
220,21004F953,96
221,21004F9MJ,202
222,21004A02-,98
223,21004A70-,440
224,21004A03-,121
225,21004A23-,214
226,21004A01-,40
227,21004A22-,283
228,21004B10-,16
229,21004A72-,150
230,21004A71-,116
231,21004A002,18
232,21004A15-,28
233,21004A04-,111
234,21004A16-,170
235,21004A20-,152
236,21004A14-,84
237,21004A001,10
238,21004A32-,58
239,21004C52-,46
240,21004C552,76
241,21004C51-,46
242,21004C53-,22
243,21004C501,18
244,21004A13-,30
245,21004E201,435
246,21004E83-,356
247,21004D64-,82
248,21004E112,52
249,21004E211,87
250,21004D631,16
251,21004D6NJ,24
252,21004A822,26
253,21004E800,116
254,21004E233,52
255,21004E101,219
256,21004A811,181
257,21004D672,82
258,21004F522,166
259,21004E222,170
260,21004E81-,100
261,21004D600,116
262,21004D610,341
263,21005A33-,80
264,21005A14-,168
265,21005A13-,96
266,21005A082,26
267,21005A01-,164
268,21005A322,34
269,21005A311,120
270,21005A20-,92
271,21005A15-,141
272,21005A031,94
273,21005A051,216
274,21005A11-,152
275,21005A00-,219
276,21005A22-,57
277,21005A21-,32
278,21006A12-,86
279,21006A11-,60
280,21006A153,102
281,21006A13-,123
282,21006A02-,58
283,21006A03-,71
284,21006A094,20
285,21006A515,109
286,21006A24-,60
287,21006A403,158
288,21006A474,63
289,21006A201,207
290,21006A21-,78
291,21006A23-,190
292,21006A312,33
293,21006A001,261
294,21006A414,244
295,21006A171,50
296,21006A25-,108
297,21006A22-,141
298,21006A011,235
299,21006A142,114
300,21006A323,93
301,21007A03-,106
302,21007A252,28
303,21007A201,160
304,21007A21-,24
305,21007A242,50
306,21007A75-,68
307,21007A111,54
308,21007A41-,41
309,21007A142,102
310,21007A53-,219
311,21007A51-,77
312,21007A552,24
313,21007A541,43
314,21007A04-,42
315,21007A00-,277
316,21007A783,32
317,21007A071,152
318,21007A70-,186
319,21007A239,220
320,21009A101,96
321,21009A03-,93
322,21009A13-,56
323,21009A42-,164
324,21009A40-,86
325,21009A301,48
326,21009A812,26
327,21009A34-,36
328,21009A21-,123
329,21009A43-,110
330,21009A41-,114
331,21009A44-,92
332,21009A712,41
333,21009A72-,58
334,21009A911,82
335,21009A311,26
336,21009A802,18
337,21009A82-,62
338,21009A111,154
339,21009A53-,158
340,21009A612,135
341,21009A151,56
342,21009A73-,123
343,21010A04-,364
344,21010A121,121
345,21010A111,172
346,21010A312,94
347,21010A1AJ,227
348,21010A05-,506
349,21010A00-,502
350,21010A141,381
351,21010A21-,290
352,21010A02-,403
353,21011A20-,332
354,21011A10-,210
355,21011A01-,479
356,21011A02-,269
357,21011A00-,222
358,21011A12-,137
359,21012A552,128
360,21012A833,28
361,21012A84-,164
362,21012A26-,276
363,21012A25-,102
364,21012A172,128
365,21012A041,214
366,21012A10-,291
367,21012A00-,266
368,21012A05-,126
369,21012A851,88
370,21012A22-,24
371,21012A13-,167
372,21012A12-,155
373,21012A60-,552
374,21012A62-,534
375,21012A511,332
376,21012A20-,228
377,21012A611,150
378,21012A54-,336
379,21012A50-,234
380,21012A71-,386
381,21012A21-,231
382,21012A52-,366
383,21012A30-,178
384,21012A23-,332
385,21012A41-,147
386,21012A822,456
387,21012A811,90
388,21012A141,282
389,21012A03-,196
390,21012A11-,153
391,21012A02-,104
392,21012A011,119
393,21013A102,24
394,21013A101,170
395,21013A13-,160
396,21013A121,65
397,21013A422,243
398,21013A11-,92
399,21013A04-,100
400,21013A201,188
401,21013A252,180
402,21013A23-,138
403,21013A612,18
404,21013A22-,259
405,21013A211,162
406,21013A052,44
407,21013A151,114
408,21013A522,64
409,21013A40-,138
410,21013A41-,172
411,21013A031,66
412,21013A00-,168
413,21013A51-,86
414,21014A02-,98
415,21014A14-,103
416,21014A41-,349
417,21014A03-,85
418,21014A12-,21
419,21014A01-,88
420,21014A04-,249
421,21014A05-,626
422,21014A3MJ,30
423,21015A50-,292
424,21015A77-,164
425,21015A73-,118
426,21015A782,26
427,21015A31-,162
428,21015A36-,122
429,21015A70-,150
430,21015A721,94
431,21015A822,36
432,21015A34-,126
433,21015A63-,117
434,21015A883,28
435,21015A03-,499
436,21015A021,338
437,21015A32-,207
438,21015A33-,209
439,21015A35-,168
440,21015A54-,325
441,21015A52-,165
442,21015A51-,126
443,21015A05-,397
444,21015A12-,189
445,21015A152,373
446,21015A111,284
447,21015A142,24
448,21015A622,63
449,21015A71-,108
450,21015A04-,458
451,21015A421,177
452,21015A43-,168
453,21015A44-,349
454,21015A41-,303
455,21015A612,416
456,21015A45-,167
457,21015A00-,740
458,21015A01-,116
459,21015A24-,254
460,21015A13-,232
461,21015A22-,366
462,21015A272,10
463,21015A20-,520
464,21015A21-,229
465,21016A901,148
466,21016A81-,170
467,21016A232,110
468,21016A111,62
469,21016A841,30
470,21016A85-,70
471,21016A042,48
472,21016A02-,228
473,21016A922,74
474,21016A912,81
475,21016A933,187
476,21016A731,42
477,21016A701,192
478,21016A772,72
479,21016A71-,122
480,21016A954,16
481,21016A80-,144
482,21016A225,24
483,21016A64-,172
484,21016A05-,261
485,21016A533,41
486,21016A943,50
487,21016A65-,90
488,21016A601,94
489,21016A620,74
490,21016A102,169
491,21016A44-,218
492,21016A214,32
493,21016A322,52
494,21016A429,126
495,21016A490,26
496,21016A639,218
497,21016A610,44
498,21016A521,33
499,21016A342,232
500,21016A311,129
501,21017A512,63
502,21017A541,46
503,21017A635,47
504,21017A11-,146
505,21017A240,56
506,21017A230,84
507,21017A220,48
508,21017A443,73
509,21017A523,80
510,21017A624,53
511,21017A534,20
512,21017A501,20
513,21017A432,82
514,21017A021,22
515,21017A01-,95
516,21017A13-,93
517,21017A212,105
518,21017A451,92
519,21017A041,75
520,21018A20-,224
521,21018A21-,199
522,21018A35-,114
523,21018A34-,94
524,21018A32-,42
525,21018A311,126
526,21018A22-,118
527,21018A512,94
528,21018A031,91
529,21018A04-,138
530,21018A02-,88
531,21018A37-,20
532,21018A63-,168
533,21018A05-,88
534,21018A24-,129
535,21018A09-,12
536,21018A30-,78
537,21018A643,130
538,21018A60-,35
539,21018A81-,48
540,21018A84-,84
541,21018A43-,78
542,21018A41-,72
543,21018A42-,72
544,21018A01-,62
545,21018A15-,17
546,21018A14-,95
547,21018A13-,66
548,21018A82-,44
549,21018A83-,75
550,21018A87-,16
551,21019A231,80
552,21019A242,64
553,21019A252,94
554,21019A131,136
555,21019A12-,56
556,21019A45-,75
557,21019A52-,64
558,21019A51-,118
559,21019A04-,70
560,21019A03-,94
561,21019A02-,17
562,21019A001,114
563,21019A30-,88
564,21019A01-,53
565,21019A11-,86
566,21019A31-,95
567,21019A32-,240
568,21019A35-,111
569,21019A20-,100
570,21019A21-,108
571,21019A40-,245
572,21019A15-,140
573,21019A441,28
574,21019A41-,92
575,21019A43-,35
576,21001C6PB,33
