Code;Name;Commune
21004D672;QUAI DE WILLEBROECK;Bruxelles
21004E14-;ECOLE DES CADETS;Bruxelles
21004F522;AVENUE DE VERSAILLES;Bruxelles
21004E82-;CITE MODELE;Bruxelles
21004E222;MUTSAARD (AVENUE);Bruxelles
21004E81-;DISQUE (RUE DU);Bruxelles
21004D600;PARVIS SAINT-ROCH;Bruxelles
21004D610;ANVERS (CHAUSSEE D')-SUD;Bruxelles
21004E8NJ;HOPITAL BRUGMANN;Bruxelles
21005A10-;GENERAL HENRI (RUE);Etterbeek
21005A042;PH. BAUCQ (RUE);Etterbeek
21005A02-;CHAMP DU ROI (RUE);Etterbeek
21005A33-;CARDINAL LAVIGERIE (RUE);Etterbeek
21005A14-;ARMEE (AVENUE DE L');Etterbeek
21005A13-;LA CHASSE;Etterbeek
21005A082;COURS ST-MICHEL;Etterbeek
21005A01-;SAINTE-GERTRUDE;Etterbeek
21005A322;NOUVELLE AVENUE-SUD;Etterbeek
21005A311;CASERNE (Etterbeek);Etterbeek
21005A20-;PORTE DE TERVUEREN - TONGRES;Etterbeek
21005A15-;SAINT-MICHEL COLLEGE;Etterbeek
21005A031;MAELBEEK;Etterbeek
21005A051;RINSDELLE;Etterbeek
21005A11-;NOTRE-DAME DU SACRE-COEUR;Etterbeek
21005A00-;HOTEL COMMUNAL;Etterbeek
21005A29-;CINQUANTENAIRE (PARC);Etterbeek
21005A12-;SAINT-ANTOINE;Etterbeek
21005A22-;PORTE DE TERVUEREN - L. DE LAN;Etterbeek
21005A21-;PORTE DE TERVUEREN - BRAFFORT;Etterbeek
21006A12-;GERMINAL I;Evere
21006A11-;OASIS - PROVENCE - LANGUEDOC;Evere
21006A153;KEET;Evere
21006A13-;MAISON COMMUNALE;Evere
21006A02-;IEDER ZIJN HUIS - STROOBANTS;Evere
21006A073;GARE DE FORMATION;Evere
21006A03-;BLOCS SAINT-VINCENT;Evere
21006A094;BON PASTEUR;Evere
21006A515;CARLI;Evere
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;Evere
21006A403;QUARTIER CICERO;Evere
21006A474;COMMUNAUTES;Evere
21006A201;HAUT-EVERE;Evere
21006A272;QUARTIER GROSJEAN;Evere
21006A21-;HOME FAMILIAL BRABANT;Evere
21006A23-;DU BONHEUR;Evere
21006A37-;ZONE INDUSTRIELLE;Evere
21006A312;J. BORDET (AVENUE DE);Evere
21006A101;CONSCIENCE;Evere
21006A001;VIEIL EVERE;Evere
21006A414;P. DUPONT (RUE);Evere
21006A171;ANCIEN COMBATTANTS (AVENUE);Evere
21006A25-;GIBET;Evere
21006A48-;CIMETIERE BRUXELLES;Evere
21006A22-;SAINT-EXUPERY;Evere
21006A011;CENTRE;Evere
21006A142;ED. DEKNOOP (RUE);Evere
21006A042;KERKHOEK;Evere
21006A052;CHAMP DE REPOS;Evere
21006A323;GERMINAL II;Evere
21007A03-;FOYER FORESTOIS - FAMILLE;Forest
21007A252;MESSIDOR II;Forest
21007A201;ROOSENDAEL (RUE);Forest
21007A21-;MAGNANERIE;Forest
21007A291;FOREST NATIONAL - STADE;Forest
21007A242;GLOBE;Forest
21007A75-;TOURNOI (RUE DU);Forest
21007A814;VILLAS - MONT KEMMEL;Forest
21007A111;MESSIDOR I;Forest
21007A41-;PONT DE LUTTRE-OUEST;Forest
21007A142;MONTE CARLO;Forest
21007A53-;WIELEMANS CEUPPENS;Forest
21007A50-;BERANGER;Forest
21007A51-;CHATAIGNE;Forest
21007A552;REINE MARIE-HENRIETTE;Forest
21007A541;LYCEE;Forest
21007A61-;MONTENEGRO (RUE);Forest
21007A06-;KATANGA;Forest
21007A04-;FOYER FORESTOIS - MADELON;Forest
21007A00-;CENTRE SAINT-DENIS;Forest
21007A101;BOURGOGNE;Forest
21007A783;PARC DE FOREST;Forest
21007A373;CHARROI (RUE DE);Forest
21007A071;BOLLINCKX;Forest
21007A70-;ALTITUDE  CENT;Forest
21007A239;NEPTUNE (AVENUE) I;Forest
21007A05-;NEERSTALLE;Forest
21007A082;BEMPT;Forest
21007A01-;CURE D'ARS;Forest
21007A132;DENAYER (RUE);Forest
21007A52-;VAN VOLXEM - PETITE INDUSTRIE;Forest
21007A40-;PONT DE LUTTRE;Forest
21007A02-;STUART MERRIL;Forest
21007A12-;HAVESKERCKE;Forest
21007A60-;SAINT-ANTOINE;Forest
21007A73-;BERCKENDAEL (RUE);Forest
21007A72-;MOLIERE;Forest
21007A71-;CHAUSSEE D'ALSEMBERG;Forest
21007A79-;PARC DUDEN;Forest
21008A31-;TOUSSAINT;Ganshoren
21008A30-;LE HOME;Ganshoren
21008A00-;CENTRE;Ganshoren
21008A38-;PARC DE RIVIEREN;Ganshoren
21008A27-;NESTOR MARTIN;Ganshoren
21008A220;VILLAS DE GANSHOREN (OUEST);Ganshoren
21008A02-;SIPPELBERG;Ganshoren
21008A34-;PARC ALBERT;Ganshoren
21008A35-;CHARTE;Ganshoren
21008A240;REFORME;Ganshoren
21008A23-;DE MESMAEKER;Ganshoren
21008A20-;CHARLES-QUINT;Ganshoren
21008A29-;RIVIERE MOLENBEEK;Ganshoren
21008A01-;VAN PAGE-SUD;Ganshoren
21008A33-;VAN PAGE-NORD;Ganshoren
21008A32-;HEIDEKEN;Ganshoren
21008A10-;PLATEAU;Ganshoren
21008A19-;BASILIQUE;Ganshoren
21008A21-;MAIL;Ganshoren
21009A20-;PETITE SUISSE (PLACE DE LA);Ixelles
21009A23-;ETOILE (ROND POINT DE L');Ixelles
21009A623;KLAUWAERTS;Ixelles
21009A90-;SAINT-PHILIPPE DE NERI;Ixelles
21009A652;HOPITAUX;Ixelles
21009A501;LUXEMBOURG (PLACE DE);Ixelles
21009A552;PORTE DE NAMUR;Ixelles
21009A542;EGLISE ANGLICANE;Ixelles
21009A051;SAINT-BONIFACE;Ixelles
21009A041;ARBRE BENIT;Ixelles
21009A00-;CENTRE;Ixelles
21009A02-;MUSEE;Ixelles
21009A101;FLAGEY (PLACE);Ixelles
21009A03-;ERMITAGE;Ixelles
21009A13-;GACHARD;Ixelles
21009A121;GENERAL DE GAULLE;Ixelles
21009A63-;MACAU;Ixelles
21009A602;BELVEDERE;Ixelles
21009A42-;RENIER CHALON;Ixelles
21009A40-;MELEZES;Ixelles
21009A301;BOONDAEL-NORD;Ixelles
21009A812;SCHOOLGAT;Ixelles
21009A33-;SAINT-ADRIEN;Ixelles
21009A34-;STADE COMMUNAL;Ixelles
21009A21-;ETE;Ixelles
21009A43-;FERNAND NEURAY;Ixelles
21009A41-;SAINT-GEORGES;Ixelles
21009A83-;L. ERNOTTE (RUE);Ixelles
21009A52-;GRAY (RUE);Ixelles
21009A2MJ;CAMPUS UNIVERSITAIRE;Ixelles
21009A44-;PREVOT;Ixelles
21009A712;CHATELAIN (PLACE DU)-OUEST;Ixelles
21009A72-;DEFACQZ;Ixelles
21009A911;A. DELPORTE-SUD;Ixelles
21009A311;TREILLE (RUE DE LA);Ixelles
21009A802;BOONDAEL-SUD;Ixelles
21009A82-;FORET;Ixelles
21009A111;WERY (RUE);Ixelles
21009A01-;BLYCKAERTS;Ixelles
21009A22-;UNIVERSITE;Ixelles
21009A53-;LONDRES (PLACE DE);Ixelles
21009A512;WIERTZ;Ixelles
21009A593;QUARTIER LEOPOLD;Ixelles
21009A612;LIEGEOIS (RUE);Ixelles
21009A151;A. DELPORTE-NORD;Ixelles
21009A922;CASERNE (Ixelles);Ixelles
21009A29-;CIMETIERE;Ixelles
21009A73-;BERCKENDAEL;Ixelles
21009A451;CHATELAIN (PLACE DU)-EST;Ixelles
21009A192;ETANGS;Ixelles
21010A393;SACRE-COEUR;Jette
21010A04-;NOTRE-DAME DE LOURDES;Jette
21010A092;PARC DE LA JEUNESSE;Jette
21010A03-;MIROIR;Jette
21010A182;DIELEGEM (BOIS DE);Jette
21010A10-;ANCIENNE BARRIERE;Jette
21010A121;F. MOHRFELD (RUE DE);Jette
21010A111;HEYMBOSCH;Jette
21010A312;BAECK DUPRE;Jette
21010A4MJ;VUB;Jette
21010A1AJ;ARBRE BALLON;Jette
21010A05-;ALBERT (QUARTIER);Jette
21010A493;LAERBEEK (BOIS DE);Jette
21010A13-;CITE-JARDIN;Jette
21010A00-;CENTRE;Jette
21010A141;BRUGMANN;Jette
21010A01-;ESSEGHEM;Jette
21010A21-;MADELEINE;Jette
21010A02-;LEOPOLD I;Jette
21011A11-;LEPREUX;Koekelberg
21011A30-;ARCHERS - FOUREZ;Koekelberg
21011A20-;PLATEAU;Koekelberg
21011A10-;PAIX (AVENUE DE LA);Koekelberg
21011A01-;SAINTE-ANNE;Koekelberg
21011A02-;JACQUET (RUE DE);Koekelberg
21011A00-;VANHUFFEL;Koekelberg
21011A12-;BASILIQUE;Koekelberg
21011A29-;PARC ELISABETH;Koekelberg
21012A552;PFEIFFER;Molenbeek Saint-Jean
21012A833;ELBERS;Molenbeek Saint-Jean
21012A84-;METTEWIE-BUILDINGS;Molenbeek Saint-Jean
21012A24-;OSSEGHEM;Molenbeek Saint-Jean
21012A26-;MACHTENS-NORD;Molenbeek Saint-Jean
21012A29-;MARIE-JOSE (PARC);Molenbeek Saint-Jean
21012A25-;BEEKKANT;Molenbeek Saint-Jean
21012A172;GARE OUEST;Molenbeek Saint-Jean
21012A041;QUATRE VENTS;Molenbeek Saint-Jean
21012A10-;DUCHESSE DE BRABANT;Molenbeek Saint-Jean
21012A00-;CENTRE;Molenbeek Saint-Jean
21012A05-;SAINT-JOSEPH;Molenbeek Saint-Jean
21012A59-;KARREVELD;Molenbeek Saint-Jean
21012A851;CONDOR;Molenbeek Saint-Jean
21012A882;DARING;Molenbeek Saint-Jean
21012A22-;BRASILIA;Molenbeek Saint-Jean
21012A13-;BIRMINGHAM-NORD;Molenbeek Saint-Jean
21012A12-;BIRMINGHAM-SUD;Molenbeek Saint-Jean
21012A672;ULENS;Molenbeek Saint-Jean
21012A60-;LAEKENVELD;Molenbeek Saint-Jean
21012A63-;DUBRUCQ-NORD;Molenbeek Saint-Jean
21012A62-;LIBERATEURS;Molenbeek Saint-Jean
21012A511;STEYNS;Molenbeek Saint-Jean
21012A20-;BAECK;Molenbeek Saint-Jean
21012A72-;LAVALLEE;Molenbeek Saint-Jean
21012A611;MEXICO;Molenbeek Saint-Jean
21012A53-;SIPPELBERG;Molenbeek Saint-Jean
21012A54-;DELHAIZE;Molenbeek Saint-Jean
21012A50-;BENES;Molenbeek Saint-Jean
21012A71-;PIERS;Molenbeek Saint-Jean
21012A21-;MARIE-JOSE BLOCS;Molenbeek Saint-Jean
21012A2MJ;CHEMIN DE FER;Molenbeek Saint-Jean
21012A152;ETANGS NOIRS;Molenbeek Saint-Jean
21012A52-;NEEP (QUARTIER DU);Molenbeek Saint-Jean
21012A39-;DE RAEDT;Molenbeek Saint-Jean
21012A30-;METTEWIE - IDYLLE;Molenbeek Saint-Jean
21012A23-;MACHTENS-SUD;Molenbeek Saint-Jean
21012A41-;MOORTEBEEK;Molenbeek Saint-Jean
