Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Distance en km;Sum of Compte;Bxl / hors bxl logement;Lieu logement;Code postal logement;Code INS logement;Code INS Arrondissement logement
1000;BRUXELLES;Femme;18;1080;MOLENBEEK SAINT-JEAN;21012;21000;6;14;Brussels;MOLENBEEK SAINT-JEAN;1080;21012;21000
1000;BRUXELLES;Femme;18;1081;KOEKELBERG;21011;21000;5;1;Brussels;KOEKELBERG;1081;21011;21000
1000;BRUXELLES;Femme;18;1083;GANSHOREN;21008;21000;5;1;Brussels;GANSHOREN;1083;21008;21000
1000;BRUXELLES;Femme;18;1090;JETTE;21010;21000;4;2;Brussels;JETTE;1090;21010;21000
1000;BRUXELLES;Femme;18;1140;EVERE;21006;21000;3;3;Brussels;EVERE;1140;21006;21000
1000;BRUXELLES;Femme;18;1150;WOLUWE SAINT-PIERRE;21019;21000;8;5;Brussels;WOLUWE SAINT-PIERRE;1150;21019;21000
1000;BRUXELLES;Femme;18;1160;AUDERGHEM;21002;21000;10;6;Brussels;AUDERGHEM;1160;21002;21000
1000;BRUXELLES;Femme;18;1170;WATERMAEL-BOITSFORT;21017;21000;11;9;Brussels;WATERMAEL-BOITSFORT;1170;21017;21000
1000;BRUXELLES;Femme;18;1180;UCCLE;21016;21000;11;8;Brussels;UCCLE;1180;21016;21000
1000;BRUXELLES;Femme;18;1190;FOREST;21007;21000;9;3;Brussels;FOREST;1190;21007;21000
1000;BRUXELLES;Femme;18;1200;WOLUWE SAINT-LAMBERT;21018;21000;6;4;Brussels;WOLUWE SAINT-LAMBERT;1200;21018;21000
1000;BRUXELLES;Femme;18;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;4;1;Brussels;SAINT-JOSSE-TEN-NOODE;1210;21014;21000
1000;BRUXELLES;Femme;18;1300;WAVRE;25112;25000;25;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1315;INCOURT;25043;25000;35;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1320;BEAUVECHAIN;25005;25000;30;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1325;CHAUMONT-GISTOUX;25018;25000;32;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1330;RIXENSART;25091;25000;22;5;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1340;OTTIGNIES-LOUVAIN-LA-NEUVE;25121;25000;28;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1367;RAMILLIES;25122;25000;44;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1380;LASNE;25119;25000;24;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1390;GREZ-DOICEAU;25037;25000;27;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1402;NIVELLES;(blank);(blank);33;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1410;WATERLOO;25110;25000;20;6;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1420;BRAINE-L'ALLEUD;25014;25000;24;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1430;REBECQ;25123;25000;30;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1435;MONT-SAINT-GUIBERT;25068;25000;33;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1440;BRAINE-LE-CHATEAU;25015;25000;24;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1450;CHASTRE;25117;25000;38;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1457;WALHAIN;25124;25000;37;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1460;ITTRE;25044;25000;29;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1470;GENAPPE;25031;25000;32;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1480;TUBIZE;25105;25000;26;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1500;HAL;23027;23000;21;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1600;SINT-PIETERS-LEEUW;23077;23000;15;4;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1620;DROGENBOS;23098;23000;12;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1630;LINKEBEEK;23100;23000;14;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1650;BEERSEL;23003;23000;16;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1700;DILBEEK;23016;23000;11;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1730;ASSE;23002;23000;12;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1740;TERNAT;23086;23000;16;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1780;WEMMEL;23102;23000;5;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1800;VILVORDE;23088;23000;6;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1820;STEENOKKERZEEL;23081;23000;9;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1860;MEISE;23050;23000;9;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1930;ZAVENTEM;23094;23000;8;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1950;KRAAINEM;23099;23000;8;4;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;1970;WEZEMBEEK-OPPEM;23103;23000;10;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;3020;HERENT;24038;24000;19;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;3060;BERTEM;24009;24000;17;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4000;LIEGE;62063;62000;90;7;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4040;HERSTAL;62051;62000;90;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4280;HANNUT;64034;64000;55;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4300;WAREMME;64074;64000;66;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4357;DONCEEL;64023;64000;72;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4400;FLEMALLE;62120;62000;82;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4470;SAINT-GEORGES-SUR-MEUSE;64065;64000;77;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4550;NANDRIN;61043;61000;83;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4800;VERVIERS;63079;63000;110;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4900;SPA;63072;63000;115;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4960;MALMEDY;63049;63000;128;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;4987;STOUMONT;63075;63000;114;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;5000;NAMUR;92094;92000;59;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;5030;GEMBLOUX;92142;92000;44;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;5080;LA BRUYERE;92141;92000;50;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;5300;ANDENNE;92003;92000;66;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;5340;GESVES;92054;92000;71;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;6000;CHARLEROI;52011;52000;52;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;6686;BERTOGNE;82005;82000;129;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;6800;LIBRAMONT-CHEVIGNY;84077;84000;129;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;6880;BERTRIX;84009;84000;131;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;6900;MARCHE-EN-FAMENNE;83034;83000;102;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;6929;DAVERDISSE;84016;84000;110;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7000;MONS;53053;53000;57;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7060;SOIGNIES;55040;55000;43;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7090;BRAINE-LE-COMTE;55004;55000;35;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7100;LA LOUVIERE;58001;58000;49;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7130;BINCHE;58002;58000;55;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7180;SENEFFE;55085;55000;39;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7190;ECAUSSINNES;55050;55000;39;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7500;TOURNAI;57081;57000;75;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7780;COMINES-WARNETON;57097;57000;103;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7830;SILLY;51068;51000;40;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;7850;ENGHIEN;51067;51000;37;5;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;9300;ALOST;41002;41000;23;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;9620;ZOTTEGEM;41081;41000;40;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;18;(blank);(blank);(blank);(blank);(blank);13;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;0002;REGION FLAMANDE;(blank);(blank);20;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1000;BRUXELLES;21004;21000;0;32;Brussels;BRUXELLES;1000;21004;21000
1000;BRUXELLES;Femme;19;1030;SCHAERBEEK;21015;21000;3;25;Brussels;SCHAERBEEK;1030;21015;21000
1000;BRUXELLES;Femme;19;1040;ETTERBEEK;21005;21000;6;4;Brussels;ETTERBEEK;1040;21005;21000
1000;BRUXELLES;Femme;19;1050;IXELLES;21009;21000;8;17;Brussels;IXELLES;1050;21009;21000
1000;BRUXELLES;Femme;19;1060;SAINT-GILLES;21013;21000;7;5;Brussels;SAINT-GILLES;1060;21013;21000
1000;BRUXELLES;Femme;19;1070;ANDERLECHT;21001;21000;9;26;Brussels;ANDERLECHT;1070;21001;21000
1000;BRUXELLES;Femme;19;1080;MOLENBEEK SAINT-JEAN;21012;21000;6;30;Brussels;MOLENBEEK SAINT-JEAN;1080;21012;21000
1000;BRUXELLES;Femme;19;1081;KOEKELBERG;21011;21000;5;4;Brussels;KOEKELBERG;1081;21011;21000
1000;BRUXELLES;Femme;19;1082;BERCHEM SAINTE-AGATHE;21003;21000;7;7;Brussels;BERCHEM SAINTE-AGATHE;1082;21003;21000
1000;BRUXELLES;Femme;19;1083;GANSHOREN;21008;21000;5;9;Brussels;GANSHOREN;1083;21008;21000
1000;BRUXELLES;Femme;19;1090;JETTE;21010;21000;4;18;Brussels;JETTE;1090;21010;21000
1000;BRUXELLES;Femme;19;1140;EVERE;21006;21000;3;5;Brussels;EVERE;1140;21006;21000
1000;BRUXELLES;Femme;19;1150;WOLUWE SAINT-PIERRE;21019;21000;8;8;Brussels;WOLUWE SAINT-PIERRE;1150;21019;21000
1000;BRUXELLES;Femme;19;1160;AUDERGHEM;21002;21000;10;2;Brussels;AUDERGHEM;1160;21002;21000
1000;BRUXELLES;Femme;19;1170;WATERMAEL-BOITSFORT;21017;21000;11;8;Brussels;WATERMAEL-BOITSFORT;1170;21017;21000
1000;BRUXELLES;Femme;19;1180;UCCLE;21016;21000;11;17;Brussels;UCCLE;1180;21016;21000
1000;BRUXELLES;Femme;19;1190;FOREST;21007;21000;9;12;Brussels;FOREST;1190;21007;21000
1000;BRUXELLES;Femme;19;1200;WOLUWE SAINT-LAMBERT;21018;21000;6;9;Brussels;WOLUWE SAINT-LAMBERT;1200;21018;21000
1000;BRUXELLES;Femme;19;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;4;10;Brussels;SAINT-JOSSE-TEN-NOODE;1210;21014;21000
1000;BRUXELLES;Femme;19;1300;WAVRE;25112;25000;25;6;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1315;INCOURT;25043;25000;35;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1320;BEAUVECHAIN;25005;25000;30;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1325;CHAUMONT-GISTOUX;25018;25000;32;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1330;RIXENSART;25091;25000;22;9;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1340;OTTIGNIES-LOUVAIN-LA-NEUVE;25121;25000;28;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1357;HELECINE;25118;25000;45;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1367;RAMILLIES;25122;25000;44;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1370;JODOIGNE;25048;25000;38;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1380;LASNE;25119;25000;24;8;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1390;GREZ-DOICEAU;25037;25000;27;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1402;NIVELLES;(blank);(blank);33;6;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1410;WATERLOO;25110;25000;20;10;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1420;BRAINE-L'ALLEUD;25014;25000;24;7;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1430;REBECQ;25123;25000;30;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1435;MONT-SAINT-GUIBERT;25068;25000;33;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1450;CHASTRE;25117;25000;38;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1460;ITTRE;25044;25000;29;4;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1470;GENAPPE;25031;25000;32;4;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1480;TUBIZE;25105;25000;26;5;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1490;COURT-SAINT-ETIENNE;25023;25000;32;4;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1495;VILLERS-LA-VILLE;25107;25000;38;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1500;HAL;23027;23000;21;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1600;SINT-PIETERS-LEEUW;23077;23000;15;8;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1620;DROGENBOS;23098;23000;12;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1630;LINKEBEEK;23100;23000;14;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1640;RHODE-SAINT-GENESE;23101;23000;16;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1650;BEERSEL;23003;23000;16;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1700;DILBEEK;23016;23000;11;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1730;ASSE;23002;23000;12;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1760;ROOSDAAL;23097;23000;21;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1780;WEMMEL;23102;23000;5;4;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1800;VILVORDE;23088;23000;6;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1830;MACHELEN;23047;23000;5;3;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1850;GRIMBERGEN;23025;23000;6;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1860;MEISE;23050;23000;9;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1930;ZAVENTEM;23094;23000;8;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;1970;WEZEMBEEK-OPPEM;23103;23000;10;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;2000;ANVERS;11002;11000;41;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;3080;TERVUREN;24104;24000;13;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;3090;OVERIJSE;23062;23000;17;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;3300;TIRLEMONT;24107;24000;41;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;3400;LANDEN;24059;24000;50;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4000;LIEGE;62063;62000;90;5;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4040;HERSTAL;62051;62000;90;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4050;CHAUDFONTAINE;62022;62000;95;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4120;NEUPRE;62121;62000;87;4;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4140;SPRIMONT;62100;62000;100;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4160;ANTHISNES;61079;61000;91;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4280;HANNUT;64034;64000;55;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4300;WAREMME;64074;64000;66;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4430;ANS;62003;62000;83;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4460;GRACE-HOLLOGNE;62118;62000;80;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4470;SAINT-GEORGES-SUR-MEUSE;64065;64000;77;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4500;HUY;61031;61000;73;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4520;WANZE;61072;61000;69;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4577;MODAVE;61041;61000;80;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4590;OUFFET;61048;61000;91;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4650;HERVE;63035;63000;104;2;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
1000;BRUXELLES;Femme;19;4750;BUTGENBACH;63013;63000;138;1;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels;Hors Brussels
