Code;Territoire;0-4 ans femmes;0-4 ans hommes;5-9 ans femmes;5-9 ans hommes;10-14 ans femmes;10-14 ans hommes;15-19 ans femmes;15-19 ans hommes;20-24 ans femmes;20-24 ans hommes;25-29 ans femmes;25-29 ans hommes;30-34 ans femmes;30-34 ans hommes;35-39 ans femmes;35-39 ans hommes;40-44 ans femmes;40-44 ans hommes;45-49 ans femmes;45-49 ans hommes;50-54 ans femmes;50-54 ans hommes;55-59 ans femmes;55-59 ans hommes;60-64 ans femmes;60-64 ans hommes;65-69 ans femmes;65-69 ans hommes;70-74 ans femmes;70-74 ans hommes;75-79 ans femmes;75-79 ans hommes;80-84 ans femmes;80-84 ans hommes;85-89 ans femmes;85-89 ans hommes;90-94 ans femmes;90-94 ans hommes;95+ ans femmes;95+ ans hommes
21001B20-;CONSEIL-NORD;5;5;4;4;4;4;3;3;4;4;3;4;4;4;4;5;4;5;3;4;2;3;2;2;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0
21001B23-;CONSEIL-SUD;4;4;3;3;3;4;3;3;4;4;4;5;5;5;4;6;0;4;3;4;2;4;2;3;2;2;1;2;1;2;0;0;1;0;0;0;0;0;0;0
21001A142;VEEWEYDE-NORD;3;4;3;3;3;3;4;3;4;4;5;4;4;3;4;4;0;4;4;4;3;4;2;3;2;2;2;1;2;1;1;1;1;1;1;1;0;0;0;0
21001A051;LINDE-EST;4;6;4;4;3;3;3;3;4;3;4;4;4;4;3;5;0;4;2;3;3;3;2;3;3;2;2;2;2;1;1;1;1;1;1;1;0;0;0;0
21001A941;CROCUS;4;5;4;4;3;2;2;2;3;3;5;3;5;4;4;4;3;4;3;3;3;4;3;3;2;2;2;1;1;1;2;1;1;1;2;1;0;0;0;0
21001A732;SCHEUTVELD;1;3;3;2;5;5;5;5;5;3;4;3;3;2;4;2;0;2;4;2;4;4;4;4;2;3;2;3;2;0;2;0;2;1;1;1;1;1;0;0
21001A982;PARC FORESTIER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A90-;SCHEUTKAPEL;4;3;3;3;3;3;2;3;3;3;4;3;3;3;3;4;4;3;3;4;3;3;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;0;1;0
21001A783;SCHEUT-INTERNAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A132;RAUTER-NORD;4;4;4;5;3;3;2;3;3;3;5;4;4;5;4;5;0;4;2;3;3;5;3;3;2;2;1;2;1;1;1;1;1;0;0;0;0;0;0;0
21001B31-;ALBERT I- IMMEUBLES;3;4;4;4;7;5;4;4;4;3;2;2;3;1;4;2;0;4;2;3;3;4;3;2;4;3;2;1;2;2;1;1;2;0;1;0;0;0;0;0
21001B25-;REVISION-NORD;5;5;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;5;3;4;3;3;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0
21001B11-;ROSEE-OUEST;4;6;5;4;4;4;3;4;3;5;4;4;3;4;3;4;0;6;3;5;3;4;2;3;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0
21001A72-;OSSEGEM;5;4;5;4;3;4;3;3;3;3;3;3;4;4;3;4;3;4;3;4;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;0;1;0;0;0
21001A011;KLEINMOLEN;4;5;4;4;4;3;3;3;4;4;4;4;4;5;3;5;3;5;3;4;3;4;2;3;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0
21001B17-;ABATTOIR;5;6;5;4;3;4;4;3;3;3;3;3;4;4;4;5;0;5;2;3;2;4;2;3;2;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0
21001A712;SCHEUT - DE SMET;5;3;5;4;3;3;3;4;3;3;5;4;5;5;3;5;0;4;3;3;3;3;2;2;2;3;1;2;1;1;1;0;0;0;0;0;0;0;0;0
21001A07-;BIRMINGHAM;6;6;5;4;4;4;2;3;2;2;3;2;6;9;4;4;0;5;3;6;3;4;1;1;1;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0
21001B21-;BROGNIEZ-NORD;4;5;4;4;4;3;3;3;4;4;4;4;4;5;4;5;3;4;3;4;2;4;2;3;2;2;1;1;0;1;1;1;1;0;0;0;0;0;0;0
21001A911;SCHEUT-EST;5;5;4;4;3;3;3;3;3;4;5;4;4;4;4;4;4;5;4;4;2;3;3;3;2;2;1;1;1;1;1;1;1;0;1;0;0;0;0;0
