SectorStatID;Quartier;nb_inscrits_ss;nb_inscrits_quart;ratio
21016A610;Kriekenput - Homborch - Verrewinkel;44;369;0,119241192
21016A521;Kriekenput - Homborch - Verrewinkel;34;369;0,092140921
21016A342;Vivier d'Oie;232;232;1
21016A311;Fort Jaco;129;213;0,605633803
21017A512;Watermael Centre;64;608;0,105263158
21017A541;Watermael Centre;46;608;0,075657895
21017A635;Trois Tilleuls;48;580;0,082758621
21017A11-;Trois Tilleuls;145;580;0,25
21017A240;Boitsfort Centre;56;416;0,134615385
21017A230;Boitsfort Centre;84;416;0,201923077
21017A220;Trois Tilleuls;48;580;0,082758621
21017A443;Dries;74;427;0,173302108
21017A41-;Boondael;103;632;0,162974684
21017A523;Watermael Centre;79;608;0,129934211
21017A624;Watermael Centre;53;608;0,087171053
21017A534;Watermael Centre;20;608;0,032894737
21017A501;Watermael Centre;20;608;0,032894737
21017A432;Dries;81;427;0,18969555
21017A021;Boitsfort Centre;22;416;0,052884615
21017A01-;Boitsfort Centre;96;416;0,230769231
21017A12-;Trois Tilleuls;186;580;0,320689655
21017A13-;Watermael Centre;93;608;0,152960526
21017A212;Watermael Centre;105;608;0,172697368
21017A000;Boitsfort Centre;84;416;0,201923077
21017A451;Dries;92;427;0,215456674
21017A041;Boitsfort Centre;74;416;0,177884615
21018A20-;Georges Henri;224;1071;0,209150327
21018A72-;Porte Tervueren;145;574;0,25261324
21018A21-;Georges Henri;200;1071;0,186741363
21018A35-;Val d'Or;114;750;0,152
21018A34-;Val d'Or;94;750;0,125333333
21018A32-;Val d'Or;42;750;0,056
21018A311;Val d'Or;125;750;0,166666667
21018A33-;Val d'Or;130;750;0,173333333
21018A22-;Gribaumont;118;702;0,168091168
21018A512;Gribaumont;94;702;0,133903134
21018A031;Gribaumont;91;702;0,12962963
21018A04-;Roodebeek - Constellations;137;962;0,142411642
21018A02-;Gribaumont;88;702;0,125356125
21018A37-;Val d'Or;20;750;0,026666667
21018A63-;Roodebeek - Constellations;168;962;0,174636175
21018A05-;Roodebeek - Constellations;88;962;0,091476091
21018A61-;Georges Henri;150;1071;0,140056022
21018A62-;Georges Henri;239;1071;0,223155929
21018A24-;Georges Henri;132;1071;0,1232493
21018A09-;Gribaumont;12;702;0,017094017
21018A30-;Roodebeek - Constellations;77;962;0,08004158
21018A643;Roodebeek - Constellations;130;962;0,135135135
21018A60-;Roodebeek - Constellations;35;962;0,036382536
21018A81-;Kapelleveld;48;407;0,117936118
21018A84-;Kapelleveld;84;407;0,206388206
21018A00-;Roodebeek - Constellations;105;962;0,109147609
21018A43-;Roodebeek - Constellations;78;962;0,081081081
21018A41-;Roodebeek - Constellations;72;962;0,074844075
21018A42-;Roodebeek - Constellations;72;962;0,074844075
21018A01-;Boulevard de la Woluwe;62;488;0,12704918
21018A15-;Boulevard de la Woluwe;18;488;0,036885246
21018A14-;Boulevard de la Woluwe;95;488;0,194672131
21018A13-;Boulevard de la Woluwe;67;488;0,137295082
21018A12-;Stockel;100;647;0,154559505
21018A82-;Kapelleveld;43;407;0,105651106
21018A83-;Kapelleveld;76;407;0,186732187
21018A87-;Kapelleveld;16;407;0,039312039
21018A3MJ;Val d'Or;225;750;0,3
21019A231;Boulevard de la Woluwe;80;488;0,163934426
21019A242;Saint-Paul;64;557;0,114901257
21019A252;Saint-Paul;93;557;0,166965889
21019A131;Stockel;136;647;0,210200927
21019A12-;Stockel;56;647;0,086553323
21019A45-;Saint-Paul;76;557;0,136445242
21019A52-;Gribaumont;64;702;0,091168091
21019A51-;Saint-Michel;117;426;0,274647887
21019A04-;Gribaumont;70;702;0,0997151
