SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21004D62-;ANVERS (CHAUSSEE D')-NORD;252;263
21004D631;ALLEE VERTE - BASSIN VERGOTE;394;411
21004D64-;MASUI (PLACE)-NORD;941;981
21004D672;QUAI DE WILLEBROECK;882;919
21004D6MJ;QUAI DES USINES-MONNOYER;838;874
21004D6NJ;TOUR ET TAXIS;1389;1448
21004E101;PARVIS NOTRE DAME;145;151
21004E112;RUE DES CHRYSANTHEMES;8;8
21004E12-;PRINCE LEOPOLD (SQUARE);134;140
21004E130;SACRE-COEUR;568;592
21004E14-;ECOLE DES CADETS;462;482
21004E180;DOMAINE ROYALE;16;17
21004E201;AVENUE JEAN DE BOLOGNE;189;197
21004E211;RUE DE WAND;161;168
21004E222;MUTSAARD (AVENUE);17;18
21004E233;DE MEYSSE (AVENUE);125;130
21004E70-;MARIE-CHRISTINE (RUE);548;571
21004E72-;MAISON ROUGE (PLACE)-SUD;399;416
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;507;529
21004E74-;EM. DELVA (RUE);488;509
21004E800;DIVIN JESUS;147;153
21004E81-;DISQUE (RUE DU);125;130
21004E82-;CITE MODELE;88;92
21004E83-;STIENON (AVENUE);141;147
21004E8MJ;HEYSEL;766;799
21004E8NJ;HOPITAL BRUGMANN;1589;1657
21004F511;AVENUE DES PAGODES;118;123
21004F522;AVENUE DE VERSAILLES;312;325
21004F531;RUE DES FAINES;61;64
21004F572;MARLY-SUD;388;404
21004F901;PLACE PETER BENOIT;2276;2373
21004F91-;CROIX DE GUERRE (AVENUE DES);354;369
21004F922;RUE CHATEAU BEYAERD;170;177
21004F930;COIN DES CERISES;14;15
21004F94-;VAL MARIA;3;3
21004F953;RUE DU WIMPELBERG;36;38
21004F970;MARLY-NORD;1277;1331
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;8;8
21004F9MJ;NEDER-HEEMBEEK-NORD;2346;2446
21004G30-;SAINTE-ELISABETH;113;118
21004G310;HAREN-SUD-OUEST;158;165
21004G321;HAREN-EST;125;130
21004G371;GARE DE FORMATION;673;702
21004G3MJ;DOBBELENBERG;790;824
21004G3NJ;HAREN-SUD;7700;8027
21004ZZZZ;COMMUNE DE BRUXELLES: NON LOCALISABLE DANS UN SECTEUR;13628;14207
21005A00-;HOTEL COMMUNAL;1072;1118
21005A01-;SAINTE-GERTRUDE;592;617
21005A02-;CHAMP DU ROI (RUE);787;820
21005A031;MAELBEEK;102;106
21005A042;PH. BAUCQ (RUE);125;130
21005A051;RINSDELLE;427;445
21005A082;COURS ST-MICHEL;2496;2602
21005A10-;GENERAL HENRI (RUE);154;161
21005A11-;NOTRE-DAME DU SACRE-COEUR;204;213
21005A12-;SAINT-ANTOINE;386;402
21005A13-;LA CHASSE;73;76
21005A14-;ARMEE (AVENUE DE L');306;319
21005A15-;SAINT-MICHEL COLLEGE;571;595
21005A20-;PORTE DE TERVUEREN - TONGRES;414;432
