Code;Territoire;Commune;Surface_ss;Surface_commune;Rapport_surface;Nb_touristes_Commune;Nb_touristes_ss
21004E8MJ;HEYSEL;Bruxelles;1,57689;33,07572;0,047675153;5426,131507;258,6916479
21004E130;SACRE-COEUR;Bruxelles;0,33226;33,07572;0,010045435;5426,131507;54,50785212
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;Bruxelles;0,16647;33,07572;0,005032997;5426,131507;27,30970367
21004E72-;MAISON ROUGE (PLACE)-SUD;Bruxelles;0,33859;33,07572;0,010236814;5426,131507;55,54630003
21004E193;N.D. DE LAEKEN;Bruxelles;0,0714;33,07572;0,002158683;5426,131507;11,71329875
21004D64-;MASUI (PLACE)-NORD;Bruxelles;0,23526;33,07572;0,00711277;5426,131507;38,59482721
21004E112;RUE DES CHRYSANTHEMES;Bruxelles;0,02104;33,07572;0,000636116;5426,131507;3,451649939
21004D62-;ANVERS (CHAUSSEE D')-NORD;Bruxelles;0,17321;33,07572;0,005236772;5426,131507;28,41541283
21004E211;RUE DE WAND;Bruxelles;0,08182;33,07572;0,002473718;5426,131507;13,42271853
21004D631;ALLEE VERTE - BASSIN VERGOTE;Bruxelles;0,47861;33,07572;0,014470131;5426,131507;78,51683351
21004E12-;PRINCE LEOPOLD (SQUARE);Bruxelles;0,24623;33,07572;0,007444434;5426,131507;40,39447549
21004D6NJ;TOUR ET TAXIS;Bruxelles;0,51636;33,07572;0,015611452;5426,131507;84,70978908
21004A822;RUE DES COMMERCANTS;Bruxelles;0,03491;33,07572;0,001055457;5426,131507;5,727048448
21004E800;DIVIN JESUS;Bruxelles;0,14097;33,07572;0,004262039;5426,131507;23,12638269
21004E233;DE MEYSSE (AVENUE);Bruxelles;0,3044;33,07572;0,009203125;5426,131507;49,93736888
21004E101;PARVIS NOTRE DAME;Bruxelles;0,13745;33,07572;0,004155616;5426,131507;22,54892034
21004A811;QUAI DU COMMERCE;Bruxelles;0,12084;33,07572;0,003653435;5426,131507;19,82401989
