CD;SECTOR;TX_SECTOR_RESIDENCE_DESCR_FR;Sum of OBS_VALUE;Corrected_val;ratio_idem_partout;;;;
BE100;21004D610;ANVERS (CHAUSSEE D')-SUD;124;169;1,362176683;;;;
BE100;21004D62-;ANVERS (CHAUSSEE D')-NORD;205;279;1,362176683;;;;
BE100;21004D631;ALLEE VERTE - BASSIN VERGOTE;14;19;1,362176683;;;;
BE100;21004D64-;MASUI (PLACE)-NORD;56;76;1,362176683;;;;
BE100;21004D672;QUAI DE WILLEBROECK;81;110;1,362176683;;;;
BE100;21004D6MJ;QUAI DES USINES-MONNOYER;2;3;1,362176683;;;;
BE100;21004D6NJ;TOUR ET TAXIS;6;8;1,362176683;;;;
BE100;21004E101;PARVIS NOTRE DAME;105;143;1,362176683;;;;
BE100;21004E112;RUE DES CHRYSANTHEMES;30;41;1,362176683;;;;
BE100;21004E12-;PRINCE LEOPOLD (SQUARE);271;369;1,362176683;;;;
BE100;21004E130;SACRE-COEUR;315;429;1,362176683;;;;
BE100;21004E14-;ECOLE DES CADETS;171;233;1,362176683;;;;
BE100;21004E201;AVENUE JEAN DE BOLOGNE;393;535;1,362176683;;;;
BE100;21004E211;RUE DE WAND;48;65;1,362176683;;;;
BE100;21004E222;MUTSAARD (AVENUE);201;274;1,362176683;;;;
BE100;21004E233;DE MEYSSE (AVENUE);41;56;1,362176683;;;;
BE100;21004E70-;MARIE-CHRISTINE (RUE);280;381;1,362176683;;;;
BE100;21004E72-;MAISON ROUGE (PLACE)-SUD;339;462;1,362176683;;;;
BE100;21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;218;297;1,362176683;;;;
BE100;21004E74-;EM. DELVA (RUE);431;587;1,362176683;;;;
BE100;21004E800;DIVIN JESUS;71;97;1,362176683;;;;
BE100;21004E81-;DISQUE (RUE DU);72;98;1,362176683;;;;
BE100;21004E82-;CITE MODELE;101;138;1,362176683;;;;
BE100;21004E83-;STIENON (AVENUE);291;396;1,362176683;;;;
BE100;21004E8MJ;HEYSEL;3;4;1,362176683;;;;
BE100;21004E8NJ;HOPITAL BRUGMANN;1;1;1,362176683;;;;
BE100;21004F511;AVENUE DES PAGODES;118;161;1,362176683;;;;
BE100;21004F522;AVENUE DE VERSAILLES;157;214;1,362176683;;;;
BE100;21004F531;RUE DES FAINES;211;287;1,362176683;;;;
BE100;21004F572;MARLY-SUD;7;10;1,362176683;;;;
BE100;21004F901;PLACE PETER BENOIT;91;124;1,362176683;;;;
BE100;21004F91-;CROIX DE GUERRE (AVENUE DES);176;240;1,362176683;;;;
BE100;21004F922;RUE CHATEAU BEYAERD;208;283;1,362176683;;;;
BE100;21004F930;COIN DES CERISES;49;67;1,362176683;;;;
BE100;21004F94-;VAL MARIA;36;49;1,362176683;;;;
BE100;21004F953;RUE DU WIMPELBERG;80;109;1,362176683;;;;
BE100;21004F970;MARLY-NORD;14;19;1,362176683;;;;
BE100;21004F994;TRASSERSWEG - NEDER-HEEMBEEK;5;7;1,362176683;;;;
BE100;21004F9MJ;NEDER-HEEMBEEK-NORD;22;30;1,362176683;;;;
