Code;Territoire;Commune;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;;;;;;;;;;
21001A552;TREFLE;Anderlecht;19,2;19,2;19,2;19,2;19,2;26,6;26,6;26,6;26,6;26,6;21,4;21,4;21,4;21,4;21,4;18,4;18,4;18,4;18,4;18,4;18,4;18,8;18,8;18,8;18,8;16,2;16,2;16,2;16,2;16,2;16;16;16;16;16;12,4;12,4;12,4;12,4;12,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;17,6;17,6;17,6;17,6;17,6;13,6;13,6;13,6;13,6;13,6;9,2;9,2;9,2;9,2;9,2;7,8;7,8;7,8;7,8;7,8;6,2;6,2;6,2;6,2;6,2;5,8;5,8;5,8;5,8;5,8;3,4;3,4;3,4;3,4;3,4;1,6;1,6;1,6;1,6;1,6;0,400;0,400;0,400;0,400;0,400;;;;;;;;;;
21001A84-;POESIE;Anderlecht;11,2;11,2;11,2;11,2;11,2;8,4;8,4;8,4;8,4;8,4;6,6;6,6;6,6;6,6;6,6;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;9,6;9,6;9,6;9,6;9,6;8,6;8,6;8,6;8,6;8,6;10;10;10;10;10;7,2;7,2;7,2;7,2;7,2;7,6;7,6;7,6;7,6;7,6;3,8;3,8;3,8;3,8;3,8;5,4;5,4;5,4;5,4;5,4;2,2;2,2;2,2;2,2;2,2;3;3;3;3;3;2,2;2,2;2,2;2,2;2,2;1,8;1,8;1,8;1,8;1,8;1,6;1,6;1,6;1,6;1,6;0,200;0,200;0,200;0,200;0,200;;;;;;;;;;
21001A34-;ROUE - CITE JARDIN;Anderlecht;12,4;12,4;12,4;12,4;12,4;16,4;16,4;16,4;16,4;16,4;18,2;18,2;18,2;18,2;18,2;21,6;21,6;21,6;21,6;21,6;21,6;16,2;16,2;16,2;16,2;12,6;12,6;12,6;12,6;12,6;11;11;11;11;11;12,4;12,4;12,4;12,4;12,4;14,4;14,4;14,4;14,4;14,4;13,2;13,2;13,2;13,2;13,2;16,6;16,6;16,6;16,6;16,6;13,8;13,8;13,8;13,8;13,8;11,2;11,2;11,2;11,2;11,2;6,8;6,8;6,8;6,8;6,8;4,8;4,8;4,8;4,8;4,8;5;5;5;5;5;3,2;3,2;3,2;3,2;3,2;2,6;2,6;2,6;2,6;2,6;0,800;0,800;0,800;0,800;0,800;;;;;;;;;;
21001A350;CERIA - ZONE D'HABITAT;Anderlecht;8,6;8,6;8,6;8,6;8,6;10,8;10,8;10,8;10,8;10,8;11,8;11,8;11,8;11,8;11,8;8,6;8,6;8,6;8,6;8,6;8,6;9,2;9,2;9,2;9,2;9,6;9,6;9,6;9,6;9,6;9;9;9;9;9;11;11;11;11;11;11,4;11,4;11,4;11,4;11,4;10,4;10,4;10,4;10,4;10,4;8,2;8,2;8,2;8,2;8,2;7,8;7,8;7,8;7,8;7,8;5,8;5,8;5,8;5,8;5,8;5,2;5,2;5,2;5,2;5,2;3,2;3,2;3,2;3,2;3,2;3;3;3;3;3;1,8;1,8;1,8;1,8;1,8;0,4;0,4;0,4;0,4;0,4;0,200;0,200;0,200;0,200;0,200;;;;;;;;;;
21001A441;DOCTEUR ROUX;Anderlecht;17,4;17,4;17,4;17,4;17,4;18,2;18,2;18,2;18,2;18,2;15,4;15,4;15,4;15,4;15,4;13,2;13,2;13,2;13,2;13,2;13,2;16,8;16,8;16,8;16,8;17,6;17,6;17,6;17,6;17,6;15,6;15,6;15,6;15,6;15,6;19,6;19,6;19,6;19,6;19,6;19,8;19,8;19,8;19,8;19,8;14,6;14,6;14,6;14,6;14,6;17,4;17,4;17,4;17,4;17,4;13,6;13,6;13,6;13,6;13,6;10,4;10,4;10,4;10,4;10,4;7,6;7,6;7,6;7,6;7,6;5,4;5,4;5,4;5,4;5,4;5;5;5;5;5;3,6;3,6;3,6;3,6;3,6;1,2;1,2;1,2;1,2;1,2;0,600;0,600;0,600;0,600;0,600;;;;;;;;;;
21001C512;CHANTS D'OISEAUX;Anderlecht;7,6;7,6;7,6;7,6;7,6;8,6;8,6;8,6;8,6;8,6;7,6;7,6;7,6;7,6;7,6;8;8;8;8;8;8;7,8;7,8;7,8;7,8;6,4;6,4;6,4;6,4;6,4;5,6;5,6;5,6;5,6;5,6;4,6;4,6;4,6;4,6;4,6;5,2;5,2;5,2;5,2;5,2;9;9;9;9;9;9,8;9,8;9,8;9,8;9,8;6,6;6,6;6,6;6,6;6,6;8,4;8,4;8,4;8,4;8,4;6,6;6,6;6,6;6,6;6,6;7;7;7;7;7;5,6;5,6;5,6;5,6;5,6;6;6;6;6;6;5,2;5,2;5,2;5,2;5,2;1,600;1,600;1,600;1,600;1,600;;;;;;;;;;
21001C71-;BON AIR - CITE JARDIN;Anderlecht;7,2;7,2;7,2;7,2;7,2;9,2;9,2;9,2;9,2;9,2;17,4;17,4;17,4;17,4;17,4;14,4;14,4;14,4;14,4;14,4;14,4;9,4;9,4;9,4;9,4;6,2;6,2;6,2;6,2;6,2;3,6;3,6;3,6;3,6;3,6;5,2;5,2;5,2;5,2;5,2;9,2;9,2;9,2;9,2;9,2;11,2;11,2;11,2;11,2;11,2;11,4;11,4;11,4;11,4;11,4;10,4;10,4;10,4;10,4;10,4;8,8;8,8;8,8;8,8;8,8;4,6;4,6;4,6;4,6;4,6;2,8;2,8;2,8;2,8;2,8;4;4;4;4;4;2,4;2,4;2,4;2,4;2,4;1;1;1;1;1;0,400;0,400;0,400;0,400;0,400;;;;;;;;;;
21001A82-;MOORTEBEEK;Anderlecht;10,8;10,8;10,8;10,8;10,8;13,4;13,4;13,4;13,4;13,4;11,6;11,6;11,6;11,6;11,6;15,2;15,2;15,2;15,2;15,2;15,2;11,8;11,8;11,8;11,8;7,4;7,4;7,4;7,4;7,4;6,8;6,8;6,8;6,8;6,8;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;10,4;10,4;10,4;10,4;10,4;12;12;12;12;12;10,6;10,6;10,6;10,6;10,6;14;14;14;14;14;8,6;8,6;8,6;8,6;8,6;7,6;7,6;7,6;7,6;7,6;5,8;5,8;5,8;5,8;5,8;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;1,400;1,400;1,400;1,400;1,400;;;;;;;;;;
21001C611;SOETKIN;Anderlecht;4;4;4;4;4;3,8;3,8;3,8;3,8;3,8;3;3;3;3;3;3,8;3,8;3,8;3,8;3,8;3,8;3,4;3,4;3,4;3,4;3;3;3;3;3;3,2;3,2;3,2;3,2;3,2;2,6;2,6;2,6;2,6;2,6;3,2;3,2;3,2;3,2;3,2;3,6;3,6;3,6;3,6;3,6;2,6;2,6;2,6;2,6;2,6;3,8;3,8;3,8;3,8;3,8;3,6;3,6;3,6;3,6;3,6;2,2;2,2;2,2;2,2;2,2;3,8;3,8;3,8;3,8;3,8;1,8;1,8;1,8;1,8;1,8;1,2;1,2;1,2;1,2;1,2;0,6;0,6;0,6;0,6;0,6;0,400;0,400;0,400;0,400;0,400;;;;;;;;;;
21001C581;CIMETIERE;Anderlecht;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0,000;0,000;0,000;;;;;;;;;;
21001C522;HOPITAL U.L.B.;Anderlecht;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0;0;0;3,6;3,6;3,6;3,6;3,6;3,6;5,6;5,6;5,6;5,6;4;4;4;4;4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,4;0,4;0,4;0,4;0,4;0,4;0,6;0,6;0,6;0,6;0,6;0,8;0,8;0,8;0,8;0,8;0,2;0,2;0,2;0,2;0,2;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,200;0,200;0,200;0,200;0,200;;;;;;;;;;
