SectorStatID,Quartier,Places Mat ss,Places Prim ss,SectorStatID2
21016A342,Vivier d'Oie,0.0,834.0,21016A342
21016A311,Fort Jaco,0.0,474.0,21016A311
21017A11-,Trois Tilleuls,0.0,20.0,21017A11-
21017A230,Boitsfort Centre,0.0,50.0,21017A230
21017A41-,Boondael,0.0,60.0,21017A41-
21017A01-,Boitsfort Centre,0.0,75.0,21017A01-
21017A12-,Trois Tilleuls,0.0,34.0,21017A12-
21017A000,Boitsfort Centre,0.0,39.0,21017A000
21017A041,Boitsfort Centre,0.0,27.0,21017A041
21018A20-,Georges Henri,0.0,98.0,21018A20-
21018A72-,Porte Tervueren,0.0,357.0,21018A72-
21018A21-,Georges Henri,0.0,105.0,21018A21-
21018A35-,Val d'Or,0.0,20.0,21018A35-
21018A34-,Val d'Or,0.0,0.0,21018A34-
21018A311,Val d'Or,0.0,21.0,21018A311
21018A33-,Val d'Or,0.0,40.0,21018A33-
21018A63-,Roodebeek - Constellations,0.0,0.0,21018A63-
21018A61-,Georges Henri,0.0,22.0,21018A61-
21018A62-,Georges Henri,0.0,128.0,21018A62-
21018A24-,Georges Henri,0.0,0.0,21018A24-
21018A84-,Kapelleveld,0.0,76.0,21018A84-
21018A01-,Boulevard de la Woluwe,0.0,3.0,21018A01-
21018A14-,Boulevard de la Woluwe,0.0,80.0,21018A14-
21018A13-,Boulevard de la Woluwe,0.0,22.0,21018A13-
21018A12-,Stockel,0.0,225.0,21018A12-
21018A83-,Kapelleveld,0.0,40.0,21018A83-
21018A3MJ,Val d'Or,0.0,169.0,21018A3MJ
21019A231,Boulevard de la Woluwe,0.0,88.0,21019A231
21019A242,Saint-Paul,0.0,2.0,21019A242
21019A252,Saint-Paul,0.0,59.0,21019A252
21019A131,Stockel,0.0,381.0,21019A131
21019A12-,Stockel,0.0,83.0,21019A12-
21019A45-,Saint-Paul,0.0,25.0,21019A45-
21019A51-,Saint-Michel,0.0,488.0,21019A51-
21019A001,Boulevard de la Woluwe,0.0,178.0,21019A001
21019A34-,Chant d'Oiseau,0.0,6.0,21019A34-
21019A30-,Chant d'Oiseau,0.0,4.0,21019A30-
21019A33-,Chant d'Oiseau,0.0,61.0,21019A33-
21019A01-,Boulevard de la Woluwe,0.0,0.0,21019A01-
21019A11-,Stockel,0.0,221.0,21019A11-
21019A31-,Chant d'Oiseau,0.0,16.0,21019A31-
21019A32-,Chant d'Oiseau,0.0,207.0,21019A32-
21019A35-,Chant d'Oiseau,0.0,42.0,21019A35-
21019A20-,Saint-Paul,0.0,68.0,21019A20-
21019A14-,Stockel,0.0,272.0,21019A14-
21019A10-,Stockel,0.0,487.0,21019A10-
21019A21-,Saint-Paul,0.0,56.0,21019A21-
21019A15-,Kapelleveld,0.0,258.0,21019A15-
21019A42-,Saint-Paul,0.0,19.0,21019A42-
