SectorStatID,Closest_Peri
431,21017A09-
432,21019A43-
433,21019A43-
434,21019A43-
435,21019A43-
436,21017A09-
437,21017A09-
438,21019A43-
439,21019A43-
440,21019A43-
441,21019A43-
442,21019A43-
443,21019A43-
444,21019A43-
445,21019A43-
446,21019A43-
447,21017A09-
448,21019A43-
449,21019A43-
450,21019A43-
451,21017A09-
452,21017A09-
453,21017A09-
454,21017A09-
455,21017A09-
456,21017A09-
457,21017A09-
458,21017A09-
459,21017A09-
460,21017A09-
461,21017A09-
462,21017A09-
463,21017A09-
464,21017A09-
465,21017A09-
466,21017A09-
467,21019A43-
468,21019A43-
469,21019A43-
470,21019A43-
471,21019A43-
472,21004G3MJ
473,21004G3MJ
474,21004G3MJ
475,21004F9MJ
476,21004F9MJ
477,21004F9MJ
478,21004F970
479,21004F970
480,21004F970
481,21004F970
482,21004F970
483,21004F970
484,21004G3MJ
485,21004F970
486,21004F970
487,21004F970
488,21004F970
489,21002A190
490,21004G3MJ
491,21004F970
492,21004F970
493,21004F970
494,21004G3MJ
495,21004F970
496,21019A43-
497,21019A43-
498,21016A533
499,21016A533
500,21016A533
501,21016A533
502,21002A190
503,21016A533
504,21016A533
505,21017A09-
506,21017A09-
507,21017A09-
508,21017A09-
509,21017A09-
510,21017A09-
511,21016A533
512,21016A521
513,21016A521
514,21016A521
515,21016A521
516,21001C5PA
517,21016A521
518,21016A521
519,21016A521
520,21016A521
521,21016A521
522,21016A521
523,21016A521
524,21001C5PA
525,21001C5PA
526,21001C5PA
527,21016A521
528,21016A521
529,21001C5PA
530,21016A533
531,21001C522
532,21016A533
533,21016A533
534,21016A533
535,21016A533
536,21001C522
537,21016A533
538,21016A533
539,21016A521
540,21002A190
541,21017A09-
542,21016A521
543,21016A521
544,21001C522
545,21001C522
546,21001C522
547,21001C522
548,21001C522
549,21016A521
550,21016A521
551,21016A533
552,21016A533
553,21001C522
554,21001C522
555,21001C522
556,21001C522
557,21001C522
558,21001C522
559,21016A533
560,21016A533
561,21016A533
562,21016A533
563,21016A533
564,21004F9MJ
565,21004F9MJ
566,21004F9MJ
567,21004F9MJ
568,21004F9MJ
569,21004F9MJ
570,21004F970
571,21004F970
572,21004F970
573,21004F970
574,21004F9MJ
575,21004F970
576,21004F970
577,21004F970
578,21004F970
579,21004F970
580,21004F970
581,21004F970
582,21004F970
583,21004E800
584,21004F970
585,21004F970
586,21004F970
587,21004F970
588,21004F970
589,21004F970
590,21004F9MJ
591,21004F9MJ
592,21004F970
593,21004F9MJ
594,21004F970
595,21004F9MJ
596,21004F9MJ
597,21004F9MJ
598,21004G3MJ
599,21004G3MJ
600,21004G3MJ
601,21004G3MJ
602,21004F970
603,21004F970
604,21004F970
605,21004F970
606,21004F970
607,21004F970
608,21004F9MJ
609,21004G3MJ
610,21004F9MJ
611,21004F9MJ
612,21004G3MJ
613,21004G3MJ
614,21004G3MJ
615,21004E82-
616,21004E82-
617,21004E82-
618,21004E82-
619,21004E82-
620,21010A4MJ
621,21004E82-
622,21010A4MJ
623,21010A4MJ
624,21004E82-
625,21004E82-
626,21004E82-
627,21004E82-
628,21004E82-
629,21010A4MJ
630,21004E82-
631,21004E82-
632,21004E82-
633,21004E82-
634,21004E82-
635,21004E82-
636,21004E82-
637,21004E82-
638,21004E82-
639,21004E82-
640,21004E82-
641,21004E82-
642,21004E82-
643,21004E82-
644,21004E82-
645,21004E82-
646,21004E82-
647,21010A4MJ
648,21010A4MJ
649,21010A4MJ
650,21001C522
651,21001C522
652,21001C522
653,21001C522
654,21001C522
655,21001C522
656,21001C522
657,21001C522
658,21001C522
659,21001C522
660,21001C6PB
661,21001C522
662,21001C522
663,21001C522
664,21001C522
665,21001C522
666,21001C522
667,21001C522
668,21001C522
669,21001C522
670,21001C522
671,21001C522
672,21001C522
673,21001C522
674,21001C522
675,21001C522
676,21001C522
677,21001C522
678,21001C522
679,21001C522
680,21001C522
681,21001C522
682,21001C522
683,21001C522
684,21001C522
685,21001C522
686,21001C522
687,21001C522
688,21001C522
689,21001C6PB
690,21001C6PB
691,21001C6PB
692,21001C522
693,21001C522
694,21001C522
695,21001C6PB
696,21001C6PB
697,21001C6PB
698,21001C6PB
699,21001C6PB
700,21001C522
701,21001C522
702,21001C6PB
703,21001C6PB
704,21001C6PB
705,21001C6PB
706,21001C6PB
707,21001C6PB
708,21001C6PB
709,21001C6PB
710,21001C6PB
711,21001C6PB
712,21001C6PB
713,21001C6PB
714,21001C6PB
715,21001C6PB
716,21001C6PB
717,21001C6PB
718,21001C6PB
719,21001C6PB
720,21001C6PB
721,21001C6PB
722,21001C6PB
723,21001C522
