Code;Territoire;Population totale;Nombre de femmes;Nombre d'hommes
21004A1MJ;COLONIES (RUE DES);41;18;23
21004A03-;BON SECOURS - PALAIS DU MIDI;2068;899;1169
21004A19-;PALAIS ROYAL;35;21;14
21004A23-;NOUVEAU MARCHE AU GRAIN;3282;1538;1744
21004A10-;GARE CENTRALE;80;34;46
21004A01-;VIEILLE HALLE AUX BLES;947;406;541
21004A22-;SENNE (RUE DE LA);3521;1689;1832
21004B10-;ORBAN (SQUARE);419;200;219
21004A72-;SAINT-THOMAS (INSTITUT);1631;741;890
21004A71-;BLAES (RUE)-CENTRE;1698;770;928
21004A002;BOURSE;564;233;331
21004A34-;MONNAIE;1024;406;618
21004A15-;JACOBS (PLACE);574;278;296
21004A04-;NOTRE-DAME DE LA CHAPELLE;1172;567;605
21004A16-;PALAIS JUSTICE-HOP. ST.-PIERRE;2716;1097;1619
21004A20-;BOURSE-NORD-OUEST;2477;1133;1344
21004A14-;GRAND SABLON;1813;854;959
21004A001;GRAND-PLACE;849;324;525
21004A32-;CONGRES - GARE;1273;592;681
21004A30-;SAINT-MICHEL ET GUDULE;20;6;14
21004C52-;LOUISE (AVENUE)-NORD-OUEST;1134;603;531
21004A12-;REGENT (BOULEVARD DU);154;65;89
21004C552;LOUISE (AVENUE)-SUD;1697;857;840
21004B112;RUE DU COMMERCE;41;19;22
21004A3MJ;CITE ADMINISTRATIVE ET CONGRES;135;53;82
21004C51-;LOUISE (AVENUE)-NORD-EST;1029;524;505
21004A33-;LIBERTE (PLACE DE LA);2333;1106;1227
21004C53-;LOUISE (AVENUE)-SUD-OUEST;795;398;397
21004C501;LOUISE (AVENUE)-NORD;559;302;257
21004A21-;ANNEESSENS (PLACE);6522;2950;3572
21004A13-;PETIT SABLON;919;450;469
21004E70-;MARIE-CHRISTINE (RUE);5689;2704;2985
21004E74-;EM. DELVA (RUE);8344;4053;4291
21004E201;AVENUE JEAN DE BOLOGNE;5470;2861;2609
21004E83-;STIENON (AVENUE);4424;2295;2129
21004E8MJ;HEYSEL;183;122;61
21004E130;SACRE-COEUR;5400;2611;2789
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;3938;1869;2069
21004E72-;MAISON ROUGE (PLACE)-SUD;6131;2943;3188
21004E193;N.D. DE LAEKEN;0;0;0
21004D64-;MASUI (PLACE)-NORD;1024;505;519
21004E112;RUE DES CHRYSANTHEMES;535;266;269
21004D62-;ANVERS (CHAUSSEE D')-NORD;3587;1685;1902
21004E211;RUE DE WAND;943;486;457
21004D631;ALLEE VERTE - BASSIN VERGOTE;575;244;331
21004E12-;PRINCE LEOPOLD (SQUARE);5505;2765;2740
21004D6NJ;TOUR ET TAXIS;314;150;164
21004A822;RUE DES COMMERCANTS;690;262;428
21004E800;DIVIN JESUS;1234;654;580
21004E233;DE MEYSSE (AVENUE);675;365;310
21004E101;PARVIS NOTRE DAME;2157;1066;1091
21004A811;QUAI DU COMMERCE;2629;1234;1395
21004D672;QUAI DE WILLEBROECK;1165;551;614
21004E14-;ECOLE DES CADETS;2938;1455;1483
21004F522;AVENUE DE VERSAILLES;2433;1299;1134
21004E82-;CITE MODELE;3603;1934;1669
21004E222;MUTSAARD (AVENUE);2577;1413;1164
21004E81-;DISQUE (RUE DU);1394;769;625
21004D600;PARVIS SAINT-ROCH;1248;642;606
21004D610;ANVERS (CHAUSSEE D')-SUD;2853;1422;1431
21004E8NJ;HOPITAL BRUGMANN;19;17;2
21005A10-;GENERAL HENRI (RUE);3522;1841;1681
