Code;Territoire;Commune;% pop ss /commune;Nb_lits_commune;Nb_lits_ss
21004A25-;BEGUINAGE (PLACE DU);Bruxelles;0,009838988;2495;24,54827598
21004B2MJ;SCHUMAN (ROND-POINT);Bruxelles;0,003334691;2495;8,320053267
21004B44-;AMBIORIX-SUD (SQUARE);Bruxelles;0,015649935;2495;39,04658662
21004B43-;AMBIORIX-NORD (SQUARE);Bruxelles;0,030474451;2495;76,03375411
21004B293;LEOPOLD (PARC);Bruxelles;0,000781396;2495;1,949583439
21004A24-;MARCHE AU PORCS;Bruxelles;0,019028648;2495;47,47647557
21004F970;MARLY-NORD;Bruxelles;0,000990502;2495;2,471302951
21004A35-;AD. MAX (BOULEVARD);Bruxelles;0,007098599;2495;17,71100448
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;Bruxelles;0,008336727;2495;20,80013317
21004F994;TRASSERSWEG - NEDER-HEEMBEEK;Bruxelles;0,000484246;2495;1,208192554
21004F531;RUE DES FAINES;Bruxelles;0,01589756;2495;39,66441236
21004E180;DOMAINE ROYALE;Bruxelles;0,000132067;2495;0,32950706
21004E292;AVENUE DES CROIX DU FEU;Bruxelles;3,30167E-05;2495;0,082376765
21004G3MJ;DOBBELENBERG (RUE DE);Bruxelles;0,002591814;2495;6,466576054
21004F572;MARLY-SUD;Bruxelles;0,000280642;2495;0,700202503
21004F91-;CROIX DE GUERRE (AVENUE DES);Bruxelles;0,015138175;2495;37,76974676
21004F922;RUE CHATEAU BEYAERD;Bruxelles;0,016783509;2495;41,87485555
21004G3NJ;HAREN-SUD;Bruxelles;0,002118574;2495;5,285842422
21004C642;AVENUE FRANKLIN ROOSEVELT;Bruxelles;0,002047038;2495;5,107359431
21004C591;CAMBRE (BOIS DE LA);Bruxelles;5,50279E-06;2495;0,013729461
21004C61-;U.L.B.;Bruxelles;0,004825947;2495;12,04073715
21004C54-;LOUISE (AVENUE)-SUD-EST;Bruxelles;0,009530832;2495;23,77942617
21004C63-;NATIONS (SQUARE DES);Bruxelles;0,007340722;2495;18,31510076
21004B2NJ;CITE DE LA CHAUSSEE;Bruxelles;0,002102066;2495;5,24465404
21004B13-;TREVES (RUE DE);Bruxelles;0,002267149;2495;5,656537865
21004F953;RUE DU WIMPELBERG;Bruxelles;0,007687398;2495;19,18005679
