,Libellé de l'unité ,N°FASE de l'établissement référent,Nom de l'établissement référent,Nom court de l'établissement référent,URL du site web,Adresse de l'établissement,Code postal de l'établissement,Localité de l'établissement,Latitude de l'établissement,Longitude de l'établissement,geoloc_etablissement,N°FASE du campus,Nom du campus,Adresse du campus,Code postal du campus,Localité du campus,Arrondissement du campus,Latitude du campus,Longitude du campus,geoloc_campus,Bxl / hors Bxl,sector_stat
224,Haute École,22006,Haute Ecole ICHEC - ECAM - ISFSC,HE ICHEC - ECAM - ISFSC,"http://www,he-ichec-isfsc,be",Boulevard Brand Whitlock 6,1150,WOLUWE-SAINT-PIERRE,"50,8384717","4,4085494","50,8384717, 4,4085494",9403,Anjou,Rue au Bois 365A,1150,WOLUWE SAINT-PIERRE,Bruxelles-Capitale,"50,8278296","4,4555856","50,8278296, 4,4555856",Brussels,21019A21-
225,Haute École,55010,Haute École en Hainaut,HEH,"http://www,heh,be",Rue Pierre-Joseph Duménil 4,7000,MONS,"50,4598267","3,9559358","50,4598267, 3,9559358",10552,Campus Pédagogique Tournai,Rue des Carmes 19B,7500,TOURNAI,Tournai-Mouscron,"50,6079257","3,382698","50,6079257, 3,382698",Hors Brussels,
226,Haute École,61021,Haute École de la Ville de Liège,HEL,"http://www,hel,be",Rue Hazinelle 2,4000,LIEGE,"50,6396997","5,5700175","50,6396997, 5,5700175",9239,Campus Jonfosse,Rue Jonfosse 80,4000,LIEGE,Liège,"50,6390408","5,5622536","50,6390408, 5,5622536",Hors Brussels,
227,Haute École,61021,Haute École de la Ville de Liège,HEL,"http://www,hel,be",Rue Hazinelle 2,4000,LIEGE,"50,6396997","5,5700175","50,6396997, 5,5700175",9241,Campus Sohet,Rue Sohet 21,4000,LIEGE,Liège,"50,6273946","5,5672615","50,6273946, 5,5672615",Hors Brussels,
228,Haute École,65017,Haute École Charlemagne,HECh,"http://www,hech,be",Rue des Rivageois 6,4000,LIEGE,"50,6234794","5,5746307","50,6234794, 5,5746307",4681,Charlemagne Verviers,Rue des Wallons 44,4800,VERVIERS,Verviers,"50,5905466","5,8726273","50,5905466, 5,8726273",Hors Brussels,
229,Haute École,65017,Haute École Charlemagne,HECh,"http://www,hech,be",Rue des Rivageois 6,4000,LIEGE,"50,6234794","5,5746307","50,6234794, 5,5746307",9212,ISIa Huy,Rue Saint-Victor 3,4500,HUY,Huy,"50,5191014","5,2297247","50,5191014, 5,2297247",Hors Brussels,
230,Haute École,85025,Haute École Robert Schuman,HERS,"http://www,hers,be",Rue Fontaine aux Mûres 13B,6800,LIBRAMONT,"49,9147294","5,3885617","49,9147294, 5,3885617",9262,Campus Weyler d'Arlon,Chemin de Weyler 2,6700,ARLON,Arlon,"49,6724636","5,8153567","49,6724636, 5,8153567",Hors Brussels,
231,Haute École,94030,Haute École de la Province de Namur,HEPN,"http://www,hepn,be",Rue Henri Blès 192,5000,NAMUR,"50,4652396","4,8378518","50,4652396, 4,8378518",5944,Campus Hôtelier,Avenue de l'Ermitage 7,5000,NAMUR,Namur,"50,4538591","4,8538716","50,4538591, 4,8538716",Hors Brussels,
232,Haute École,95027,Haute École Albert Jacquard,HEAJ,"http://www,heaj,be",Rue  Godefroid 32,5000,NAMUR,"50,4669577","4,8625223","50,4669577, 4,8625223",9273,HEAJ Pédagogie,Rue des Dames Blanches 3b,5000,NAMUR,Namur,"50,467181","4,8671193","50,467181, 4,8671193",Hors Brussels,
233,Haute École,95064,Haute École provinciale de Hainaut - Condorcet,HEPHC,"http://www,condorcet,be",Chemin du Champ de Mars 17,7000,MONS,"50,46385","3,9527548","50,46385, 3,9527548",1393,Site d'Ath,Rue Paul Pastur 11,7800,ATH,Ath,"50,6227956","3,7748139","50,6227956, 3,7748139",Hors Brussels,
