,Libellé de l'unité ,N°FASE de l'établissement référent,Nom de l'établissement référent,Nom court de l'établissement référent,URL du site web,Adresse de l'établissement,Code postal de l'établissement,Localité de l'établissement,Latitude de l'établissement,Longitude de l'établissement,geoloc_etablissement,N°FASE du campus,Nom du campus,Adresse du campus,Code postal du campus,Localité du campus,Arrondissement du campus,Latitude du campus,Longitude du campus,geoloc_campus,Bxl / hors Bxl,sector_stat
0,Promotion sociale supérieur,156,Enseignement de Promotion et de Formation continue EPFC 8,"E,P,F,C, 8","http://www,epfc,eu",Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,"50,851505","4,3694937","50,851505, 4,3694937",598,,Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,Bruxelles-Capitale,"50,851505","4,3694937","50,851505, 4,3694937",Brussels,21014A05-
1,École supérieure des Arts,181,École nationale supérieure des Arts visuels de La Cambre,La Cambre,"http://www,lacambre,be",Abbaye de la Cambre 21,1000,BRUXELLES,"50,8178008","4,3751015","50,8178008, 4,3751015",8101,Hôtel van de Velde,Avenue Franklin Roosevelt 27,1050,IXELLES,Bruxelles-Capitale,"50,8114617","4,3796422","50,8114617, 4,3796422",Brussels,21004C642
2,École supérieure des Arts,381,École supérieure des Arts - Saint-Luc de Bruxelles,Saint-Luc Bxl,,Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259076","4,3519499","50,8259076, 4,3519499",721,Irlande,Rue d'Irlande 57,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8259076","4,3519499","50,8259076, 4,3519499",Hors Brussels,21013A01-
3,École supérieure des Arts,518,École supérieure des Arts de l'Image LE 75,LE 75,"http://www,leseptantecinq,be/fr/",Avenue Jean-François Debecker 10,1200,WOLUWE-SAINT-LAMBERT,"50,8446166","4,4399664","50,8446166, 4,4399664",10456,Site Gulledelle,Gulledelle 98,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8558911","4,4246462","50,8558911, 4,4246462",Brussels,21018A37-
4,Promotion sociale supérieur,646,Institut provincial d'enseignement de promotion sociale et de formation continuée,"I,P,P,S, form continuée","http://www,ipfc,be",Rue Demulder 1,1400,NIVELLES,"50,6009988","4,330337","50,6009988, 4,330337",1149,,Rue Demulder 1,1400,NIVELLES,Nivelles,"50,6029747","4,3315798","50,6029747, 4,3315798",Hors Brussels,
5,Promotion sociale supérieur,915,Institut supérieur industriel de la province de Hainaut,"Inst, ind, prov, Hainaut","https://www,etudierenhainaut,be/isips-charleroi,html",Boulevard Solvay 31,6000,CHARLEROI,"50,4138124","4,4438734","50,4138124, 4,4438734",1668,,Boulevard Solvay 31,6000,CHARLEROI,Charleroi,"50,4138124","4,4438734","50,4138124, 4,4438734",Hors Brussels,
6,Promotion sociale supérieur,1737,Institut provincial d'enseignement de promotion sociale de Wallonie picarde,IP PS Wallonie picarde,"http://www,etudierenhainaut,be",Rue Paul Pastur 2,7500,TOURNAI,"50,6093298","3,4035929","50,6093298, 3,4035929",3454,,Rue Paul Pastur 49,7900,LEUZE-EN-HAINAUT,Tournai-Mouscron,"50,5971064","3,6210741","50,5971064, 3,6210741",Hors Brussels,
7,Promotion sociale supérieur,2048,Institut des Langues modernes - Enseignement de promotion sociale,"Inst, langues modernes","http://www,institutdeslanguesmodernes,com",Rue Hazinelle 2,4000,LIEGE,"50,6396997","5,5700175","50,6396997, 5,5700175",4048,,Rue Hazinelle 2,4000,LIEGE,Liège,"50,6396997","5,5700175","50,6396997, 5,5700175",Hors Brussels,
8,Promotion sociale supérieur,2053,Ecole des Femmes prévoyantes socialistes de Liège,Ecole FPS Liège,"https://www,ecolesfps,be/",Quai du Longdoz 22,4020,LIEGE,,,,4081,,Rue des Ecoles 30,4171,POULSEUR,Liège,"50,5088859","5,5810395","50,5088859, 5,5810395",Hors Brussels,
9,École supérieure des Arts,2064,École supérieure des Arts de la Ville de Liège,ESAVL,,Rue des Anglais 21,4000,LIEGE,"50,6476858","5,5665113","50,6476858, 5,5665113",4142,ESA de la Ville de Liège,Rue des Anglais 21,4000,LIEGE,Liège,"50,6476858","5,5665113","50,6476858, 5,5665113",Hors Brussels,
10,École supérieure des Arts,2066,Conservatoire royal de musique de Liège,CRL,"http://www,crlg,be",Boulevard Piercot 29,4000,LIEGE,"50,635406","5,570046","50,635406, 5,570046",9149,Esact,Quai Banning 14,4000,LIEGE,Liège,"50,6130164","5,5749496","50,6130164, 5,5749496",Hors Brussels,
11,Promotion sociale supérieur,2075,Ecole des Arts et Métiers,Ecole Arts et Métiers,"http://www,artsetmetiers-liege,be",Rue Agimont 9,4000,LIEGE,"50,6462021","5,5676109","50,6462021, 5,5676109",4170,,Rue Agimont 9,4000,LIEGE,Liège,"50,6462021","5,5676109","50,6462021, 5,5676109",Hors Brussels,
12,Promotion sociale supérieur,2160,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,promotion-sociale,be",Rue Charles de Liège 9,4623,MAGNEE,"50,6086826","5,6143999","50,6086826, 5,6143999",10001,,Rue des Prairies 40,4630,SOUMAGNE,Liège,"50,6303186","5,734837","50,6303186, 5,734837",Hors Brussels,
13,Promotion sociale supérieur,2196,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscf-blegny,be",Espace Simone Veil 7,4670,BLEGNY,"50,6792685","5,7246643","50,6792685, 5,7246643",4427,,Rue du Gollet 2,4600,VISE,Liège,"50,738431","5,698514","50,738431, 5,698514",Hors Brussels,
14,Promotion sociale supérieur,2196,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscf-blegny,be",Espace Simone Veil 7,4670,BLEGNY,"50,6792685","5,7246643","50,6792685, 5,7246643",4428,,Espace Simone Veil 7,4670,BLEGNY,Liège,"50,6792685","5,7246643","50,6792685, 5,7246643",Hors Brussels,
15,Promotion sociale supérieur,2468,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","https://www,promsoc-arlon,be/index,php",Chemin de Weyler 2,6700,ARLON,"49,6730393","5,8151121","49,6730393, 5,8151121",5014,,Rue Neuve 32,6791,ATHUS,Arlon,"49,5641969","5,8386482","49,5641969, 5,8386482",Hors Brussels,
16,Promotion sociale supérieur,2764,Institut libre luxembourgeois d'enseignement de promotion sociale - Arts et Métiers Pierrard,Arts et Métiers Pierrard,"http://www,illeps,be",Rue des Chars-à-boeufs 12,6690,VIELSALM,"49,5698555","5,5409179","49,5698555, 5,5409179",5471,,Rue des Chars-à-boeufs 12,6690,VIELSALM,Bastogne,"49,5698555","5,5409179","49,5698555, 5,5409179",Hors Brussels,
17,Promotion sociale supérieur,2825,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscfdinant,be",Chemin d'Herbuchenne 1 Bte 4,5500,DINANT,"50,2574402","4,9236774","50,2574402, 4,9236774",5588,,Avenue Président Roosevelt 57,5060,TAMINES,Namur,"50,436598","4,610256","50,436598, 4,610256",Hors Brussels,
18,Promotion sociale supérieur,2898,Ecole industrielle et commerciale de la Ville d'Andenne,"Ec, ind, et com, Andenne","http://www,eicandenne,be",Rue Adeline Henin 1,5300,ANDENNE,"50,4875138","5,099268","50,4875138, 5,099268",5744,,Rue Adeline Henin 3,5300,ANDENNE,Namur,,,,Hors Brussels,
19,Promotion sociale supérieur,3000,Institut technique de promotion sociale,Inst technique prom soc,"http://www,itn-namur,be/",Rue Asty-Moulin 60,5000,NAMUR,"50,4727166","4,8589557","50,4727166, 4,8589557",5951,,Rue Félix Hap 14,1040,ETTERBEEK,Bruxelles-Capitale,"50,8372939","4,3905804","50,8372939, 4,3905804",Brussels,21005A01-
20,Promotion sociale supérieur,3000,Institut technique de promotion sociale,Inst technique prom soc,"http://www,itn-namur,be/",Rue Asty-Moulin 60,5000,NAMUR,"50,4727166","4,8589557","50,4727166, 4,8589557",5953,,Rue Asty-Moulin 60,5000,NAMUR,Namur,"50,4727166","4,8589557","50,4727166, 4,8589557",Hors Brussels,
21,Promotion sociale supérieur,3004,Institut d'enseignement de promotion sociale de la Communauté française - Cefor,"I,E,P,S,C,F, - Cefor","http://www,cefor,be",Boulevard Cauchy 9-10,5000,NAMUR,,,,5959,,Boulevard Cauchy 9-10,5000,NAMUR,Namur,,,,Hors Brussels,
22,Promotion sociale supérieur,3053,Ecole industrielle commerciale et de sauvetage,"Ec, ind, sauvetage","https://www,eics-tamines,com",Rue du Collège 27,5060,TAMINES,"50,4327027","4,6124178","50,4327027, 4,6124178",6052,,Rue du Collège 27,5060,TAMINES,Namur,"50,4327027","4,6124178","50,4327027, 4,6124178",Hors Brussels,
23,Promotion sociale supérieur,3146,Institut technique supérieur Cardinal Mercier - Enseignement de promotion sociale,"Inst, tech, Card, Mercier","http://www,cardinalmercier,promotionsociale,be",Boulevard Lambermont 35,1030,SCHAERBEEK,"50,8738082","4,3759704","50,8738082, 4,3759704",787,,Boulevard Lambermont 35,1030,SCHAERBEEK,Bruxelles-Capitale,"50,8738082","4,3759704","50,8738082, 4,3759704",Brussels,21015A13-
24,Université,5224,Université catholique de Louvain,UCLouvain,"http://www,uclouvain,be",Place de l'Université 1,1348,LOUVAIN-LA-NEUVE,"50,6697997","4,6156285","50,6697997, 4,6156285",8731,Campus Mons,Chaussée de Binche 151,7000,MONS,Mons,"50,452763","3,981192","50,452763, 3,981192",Hors Brussels,
25,Université,5224,Université catholique de Louvain,UCLouvain,"http://www,uclouvain,be",Place de l'Université 1,1348,LOUVAIN-LA-NEUVE,"50,6697997","4,6156285","50,6697997, 4,6156285",10525,Campus Louvain-la-Neuve,Place de l'Université 1,1348,LOUVAIN-LA-NEUVE,Nivelles,"50,6697875","4,6162193","50,6697875, 4,6162193",Hors Brussels,
26,Université,5225,Université de Liège,ULiège,"http://www,uliege,be",Place du Vingt Août 7,4000,LIEGE,"50,64036","5,57544","50,64036, 5,57544",9074,Campus Arlon,Avenue de Longwy 185,6700,ARLON,Arlon,"49,6795531","5,8242381","49,6795531, 5,8242381",Hors Brussels,
27,Université,5225,Université de Liège,ULiège,"http://www,uliege,be",Place du Vingt Août 7,4000,LIEGE,"50,64036","5,57544","50,64036, 5,57544",10499,Campus Sart-Tilman,Boulevard du Rectorat 1,4000,LIEGE,Liège,"50,5852598","5,5650403","50,5852598, 5,5650403",Hors Brussels,
28,Université,5226,Université de Namur,UNamur,"http://www,unamur,be",Rue de Bruxelles 61,5000,NAMUR,"50,4662458","4,8605017","50,4662458, 4,8605017",8728,Campus de Namur,Rue de Bruxelles 61,5000,NAMUR,Namur,"50,4662458","4,8605017","50,4662458, 4,8605017",Hors Brussels,
29,Haute École,5759,Haute École de la Province de Liège,HEPL,"http://www,provincedeliege,be/hauteecole",Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,"50,6186339","5,5152977","50,6186339, 5,5152977",4279,Campus 2000,Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,Liège,"50,6191537","5,5151475","50,6191537, 5,5151475",Hors Brussels,
30,Haute École,5759,Haute École de la Province de Liège,HEPL,"http://www,provincedeliege,be/hauteecole",Avenue Montesquieu 6,4101,JEMEPPE-SUR-MEUSE,"50,6186339","5,5152977","50,6186339, 5,5152977",10497,Campus Laines-Paramédical,Rue aux Laines 21,4800,VERVIERS,Verviers,"50,588981","5,8544654","50,588981, 5,8544654",Hors Brussels,
31,Haute École,5964,Haute École Libre Mosane,HELMo,"http://www,helmo,be",Mont Saint-Martin 41,4000,LIEGE,"50,6445277","5,565953","50,6445277, 5,565953",9225,HELMo Loncin,Rue de Jemeppe 110,4431,LONCIN,Liège,"50,6627862","5,5002077","50,6627862, 5,5002077",Hors Brussels,
32,Haute École,5964,Haute École Libre Mosane,HELMo,"http://www,helmo,be",Mont Saint-Martin 41,4000,LIEGE,"50,6445277","5,565953","50,6445277, 5,565953",9226,HELMo Huy,Rue Vankeerberghen 9,4500,HUY,Huy,"50,519097","5,2422778","50,519097, 5,2422778",Hors Brussels,
33,Haute École,5964,Haute École Libre Mosane,HELMo,"http://www,helmo,be",Mont Saint-Martin 41,4000,LIEGE,"50,6445277","5,565953","50,6445277, 5,565953",9234,HELMo Saint-Roch,Marché 12,4910,THEUX,Verviers,"50,527805","5,8211978","50,527805, 5,8211978",Hors Brussels,
34,École supérieure des Arts,9381,École supérieure des Arts - École de Recherche graphique,ERG,,Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259156","4,3520958","50,8259156, 4,3520958",6895,Irlande,Rue d'Irlande 58,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8259198","4,3521064","50,8259198, 4,3521064",Hors Brussels,21013A01-
35,École supérieure des Arts,9381,École supérieure des Arts - École de Recherche graphique,ERG,,Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259156","4,3520958","50,8259156, 4,3520958",10514,Morichar,Place Louis Morichar 30,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8266104","4,3490068","50,8266104, 4,3490068",Hors Brussels,21013A01-
36,Haute École,21008,Haute École Francisco Ferrer,HEFF,"http://www,he-ferrer,eu",Rue de la Fontaine 4,1000,BRUXELLES,"50,8405936","4,3423287","50,8405936, 4,3423287",230,Site Brugmann,Place Arthur Van Gehuchten 4,1020,LAEKEN,Bruxelles-Capitale,"50,8860492","4,3328534","50,8860492, 4,3328534",Hors Brussels,21004E8NJ
37,Haute École,22004,Haute École Léonard de Vinci,HE Vinci,"http://www,vinci,be",Place de l'Alma 2,1200,WOLUWE-SAINT-LAMBERT,"50,849913","4,4537721","50,849913, 4,4537721",495,Marie Haps,Rue d'Arlon 11,1050,IXELLES,Bruxelles-Capitale,"50,8387468","4,3720309","50,8387468, 4,3720309",Brussels,21009A501
38,Haute École,23007,Haute École Libre de Bruxelles Ilya Prigogine,HELB,"http://www,helb-prigogine,be",Avenue Besme 97,1190,FOREST,"50,8210471","4,3400327","50,8210471, 4,3400327",9575,Campus Jupiter,Avenue Jupiter 201,1190,FOREST,Bruxelles-Capitale,"50,8207789","4,3406563","50,8207789, 4,3406563",Brussels,21007A70-
39,Haute École,23007,Haute École Libre de Bruxelles Ilya Prigogine,HELB,"http://www,helb-prigogine,be",Avenue Besme 97,1190,FOREST,"50,8210471","4,3400327","50,8210471, 4,3400327",10492,Campus Reyers,Boulevard Reyers 52,1030,SCHAERBEEK,Bruxelles-Capitale,"50,8507258","4,4031974","50,8507258, 4,4031974",Brussels,21015A77-
40,Haute École,55010,Haute École en Hainaut,HEH,"http://www,heh,be",Rue Pierre-Joseph Duménil 4,7000,MONS,"50,4598267","3,9559358","50,4598267, 3,9559358",2359,Campus Pédagogique Mons,Boulevard Albert-Elisabeth 2,7000,MONS,Mons,"50,4482947","3,9536759","50,4482947, 3,9536759",Hors Brussels,
41,Haute École,61021,Haute École de la Ville de Liège,HEL,"http://www,hel,be",Rue Hazinelle 2,4000,LIEGE,"50,6396997","5,5700175","50,6396997, 5,5700175",9242,Campus Londres,Rue de Londres 24,4020,LIEGE,Liège,"50,6216093","5,5875476","50,6216093, 5,5875476",Hors Brussels,
42,Haute École,61021,Haute École de la Ville de Liège,HEL,"http://www,hel,be",Rue Hazinelle 2,4000,LIEGE,"50,6396997","5,5700175","50,6396997, 5,5700175",10496,Campus Gloesener,Quai Gloesener 6,4020,LIEGE,Liège,"50,6206497","5,5813175","50,6206497, 5,5813175",Hors Brussels,
43,Haute École,65017,Haute École Charlemagne,HECh,"http://www,hech,be",Rue des Rivageois 6,4000,LIEGE,"50,6234794","5,5746307","50,6234794, 5,5746307",4680,Charlemagne Huy,Rue Grégoire Bodart 1A,4500,HUY,Huy,"50,5207789","5,2414245","50,5207789, 5,2414245",Hors Brussels,
44,Haute École,85025,Haute École Robert Schuman,HERS,"http://www,hers,be",Rue Fontaine aux Mûres 13B,6800,LIBRAMONT,"49,9147294","5,3885617","49,9147294, 5,3885617",9261,Campus Mageroux de Virton,Rue de Mageroux 27,6762,SAINT-MARD,Virton,"49,5599459","5,525409","49,5599459, 5,525409",Hors Brussels,
45,Haute École,94030,Haute École de la Province de Namur,HEPN,"http://www,hepn,be",Rue Henri Blès 192,5000,NAMUR,"50,4652396","4,8378518","50,4652396, 4,8378518",10553,Campus HEPN,Rue Henri Blès 192,5000,NAMUR,Namur,"50,4653686","4,8395586","50,4653686, 4,8395586",Hors Brussels,
46,Haute École,95064,Haute École provinciale de Hainaut - Condorcet,HEPHC,"http://www,condorcet,be",Chemin du Champ de Mars 17,7000,MONS,"50,46385","3,9527548","50,46385, 3,9527548",3388,Site de Tournai,Rue Paul Pastur 73,7500,TOURNAI,Tournai-Mouscron,"50,6093297","3,4035927","50,6093297, 3,4035927",Hors Brussels,
47,Haute École,95064,Haute École provinciale de Hainaut - Condorcet,HEPHC,"http://www,condorcet,be",Chemin du Champ de Mars 17,7000,MONS,"50,46385","3,9527548","50,46385, 3,9527548",10494,Site de Froyennes,Rue du Progrès 13,7503,FROYENNES,Tournai-Mouscron,"50,6179669","3,342928","50,6179669, 3,342928",Hors Brussels,
48,Haute École,95274,Haute École de Namur-Liège-Luxembourg,HENaLLux,"https://www,henallux,be/",Rue Saint-Donat 130,5002,SAINT-SERVAIS,"50,4733734","4,854954","50,4733734, 4,854954",10488,Départements pédagogique et social de Malonne,Fond de Malonne 121,5020,MALONNE,Namur,"50,4380631","4,7961151","50,4380631, 4,7961151",Hors Brussels,
49,École supérieure des Arts,95309,Arts²,Arts²,"http://www,artsaucarre,be",Rue de Nimy 7,7000,MONS,"50,455367","3,953066","50,455367, 3,953066",2416,Rue de Nimy,Rue de Nimy 7,7000,MONS,Mons,"50,4552803","3,9531354","50,4552803, 3,9531354",Hors Brussels,
50,Haute École,95493,Haute École Bruxelles-Brabant,HE2B,"http://he2b,be/",Chaussée de Waterloo 749,1180,UCCLE,"50,8139186","4,3676411","50,8139186, 4,3676411",9111,Campus ISIB Royale,Rue Royale 150,1000,BRUXELLES,Bruxelles-Capitale,"50,8504705","4,3642217","50,8504705, 4,3642217",Brussels,21004A3MJ
51,Haute École,95493,Haute École Bruxelles-Brabant,HE2B,"http://he2b,be/",Chaussée de Waterloo 749,1180,UCCLE,"50,8139186","4,3676411","50,8139186, 4,3676411",9903,Campus ISIB Goujons,Rue des Goujons 28,1070,ANDERLECHT,Bruxelles-Capitale,"50,8379332","4,3254483","50,8379332, 4,3254483",Brussels,21001B25-
52,Haute École,95493,Haute École Bruxelles-Brabant,HE2B,"http://he2b,be/",Chaussée de Waterloo 749,1180,UCCLE,"50,8139186","4,3676411","50,8139186, 4,3676411",10589,Campus ISEK Forest,Rue de Bourgogne 48,1190,FOREST,Bruxelles-Capitale,"50,8124977","4,3270197","50,8124977, 4,3270197",Brussels,21007A101
53,Promotion sociale supérieur,158,Institut des carrières commerciales,"Inst, carrières com,","http://www,iccbxl,be",Rue de la Fontaine 4,1000,BRUXELLES,"50,8405936","4,3423287","50,8405936, 4,3423287",248,,Rue de la Fontaine 4,1000,BRUXELLES,Bruxelles-Capitale,"50,8405936","4,3423287","50,8405936, 4,3423287",Brussels,21004A03-
54,Promotion sociale supérieur,163,Institut Jean-Pierre Lallemand,Jean-Pierre Lallemand,"http://www,institutlallemand,be",Rue du Meiboom 16-18,1000,BRUXELLES,"50,851358","4,3606331","50,851358, 4,3606331",255,,Rue du Couvent 2,1050,IXELLES,Bruxelles-Capitale,"50,8300264","4,3659475","50,8300264, 4,3659475",Brussels,21009A03-
55,Promotion sociale supérieur,189,Enseignement de Promotion et de Formation continue EPFC 3,"E,P,F,C, 3","http://www,epfc,eu",Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,"50,851505","4,3694937","50,851505, 4,3694937",584,,Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,Bruxelles-Capitale,"50,851505","4,3694937","50,851505, 4,3694937",Brussels,21014A05-
56,Promotion sociale supérieur,191,Enseignement de Promotion et de Formation continue EPFC 4,"E,P,F,C, 4","http://www,epfc,eu",Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,"50,851505","4,3694937","50,851505, 4,3694937",526,,Avenue de l'Astronomie 19,1210,SAINT-JOSSE-TEN-NOODE,Bruxelles-Capitale,"50,851505","4,3694937","50,851505, 4,3694937",Brussels,21014A05-
57,Promotion sociale supérieur,320,Ecole Jean-Louis Thys - Cours de promotion sociale,Ecole Jean-Louis Thys,"http://www,jette,irisnet,be/fr/ecolejlt",Rue Esseghem 101,1090,JETTE,"50,8778194","4,3357533","50,8778194, 4,3357533",620,,Rue Esseghem 101,1090,JETTE,Bruxelles-Capitale,"50,8778194","4,3357533","50,8778194, 4,3357533",Brussels,21010A01-
58,Promotion sociale supérieur,349,Institut Machtens - Enseignement communal de promotion sociale,Institut Machtens,"http://www,institut-machtens,be",Rue Tazieaux 25,1080,MOLENBEEK-SAINT-JEAN,"50,8574321","4,3355513","50,8574321, 4,3355513",659,,Rue Tazieaux 25,1080,MOLENBEEK SAINT-JEAN,Bruxelles-Capitale,"50,8574321","4,3355513","50,8574321, 4,3355513",Brussels,21012A71-
59,Promotion sociale supérieur,371,Ateliers Saint-Luc,Ateliers Saint-Luc,"http://www,stluc-bruxelles-eps,be",Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259156","4,3520958","50,8259156, 4,3520958",725,,Rue d'Irlande 57,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8259076","4,3519499","50,8259076, 4,3519499",Hors Brussels,21013A01-
60,École supérieure des Arts,381,École supérieure des Arts - Saint-Luc de Bruxelles,Saint-Luc Bxl,,Rue d'Irlande 57,1060,SAINT-GILLES,"50,8259076","4,3519499","50,8259076, 4,3519499",10515,Morichar,Place Louis Morichar 30,1060,SAINT-GILLES,Bruxelles-Capitale,"50,8266104","4,3490068","50,8266104, 4,3490068",Hors Brussels,21013A01-
61,Promotion sociale supérieur,440,Centre de formation culturelle et sociale,"Centre form, cult, et soc",,Boulevard de l'Abattoir 28,1000,BRUXELLES,"50,8467306","4,3387807","50,8467306, 4,3387807",810,,Boulevard de l'Abattoir 28,1000,BRUXELLES,Bruxelles-Capitale,"50,8594593","4,3677356","50,8594593, 4,3677356",Brussels,21015A421
62,Promotion sociale supérieur,483,Institut d'enseignement de promotion sociale de la Communauté française,"I,E,P,S,C,F,","http://www,iepscf-uccle,be",Rue Gatti de Gamond 95,1180,UCCLE,"50,8035734","4,3274961","50,8035734, 4,3274961",896,,Rue Gatti de Gamond 95,1180,UCCLE,Bruxelles-Capitale,"50,8035734","4,3274961","50,8035734, 4,3274961",Hors Brussels,21016A933
63,École supérieure des Arts,518,École supérieure des Arts de l'Image LE 75,LE 75,"http://www,leseptantecinq,be/fr/",Avenue Jean-François Debecker 10,1200,WOLUWE-SAINT-LAMBERT,"50,8446166","4,4399664","50,8446166, 4,4399664",941,Site Debecker,Av Jean-François Debecker 10,1200,WOLUWE SAINT-LAMBERT,Bruxelles-Capitale,"50,8444331","4,4400306","50,8444331, 4,4400306",Brussels,21018A19-
64,Promotion sociale supérieur,714,Institut de formation supérieure de Wavre - IFOSUP,IFOSUP,,Rue de la Limite 6,1300,WAVRE,,,,1266,,Rue de la limite 6,1300,WAVRE,Nivelles,,,,Hors Brussels,
65,École supérieure des Arts,753,Institut des Arts de Diffusion,IAD,"http://www,iad-arts,be",Route de Blocry 5,1348,LOUVAIN-LA-NEUVE,"50,6690093","4,6016352","50,6690093, 4,6016352",10503,Blocry,Route de Blocry 5,1348,LOUVAIN-LA-NEUVE,Nivelles,"50,6690093","4,6016352","50,6690093, 4,6016352",Hors Brussels,
66,Promotion sociale supérieur,914,Établissement Communal d'Enseignement de Promotion sociale-Charleroi Langues,Charleroi Langues,"http://www,charleroi-promsoc,be",Boulevard Emile Devreux 27,6000,CHARLEROI,"50,4081791","4,4497848","50,4081791, 4,4497848",1667,,Boulevard Emile Devreux 27,6000,CHARLEROI,Charleroi,"50,4081791","4,4497848","50,4081791, 4,4497848",Hors Brussels,
67,Promotion sociale supérieur,951,Établissement Communal d'Enseignement de Promotion sociale - Marchienne-au-Pont,EPS Marchienne-au-Pont,"http://www,ecepsmarchienne,be",Rue Georges Tourneur 1,6030,MARCHIENNE-AU-PONT,"50,4038013","4,3913268","50,4038013, 4,3913268",1764,,Rue Georges Tourneur 1,6030,MARCHIENNE-AU-PONT,Charleroi,"50,4038013","4,3913268","50,4038013, 4,3913268",Hors Brussels,
68,Promotion sociale supérieur,979,Centre d'enseignement supérieur pour adultes,"Centre ens, sup, adultes","http://www,cesa,be",Rue de Courcelles 10,6044,ROUX,,,,1840,,Rue de Courcelles 10,6044,ROUX,Charleroi,,,,Hors Brussels,
69,Promotion sociale supérieur,981,Établissement Communal d'Enseignement de Promotion sociale - Couillet,EPS Couillet,"http://www,cic-couillet,com",Rue Alfred Nobel 3,6010,COUILLET,"50,3914084","4,4589418","50,3914084, 4,4589418",1847,,Rue Alfred Nobel 3,6010,COUILLET,Charleroi,"50,3914084","4,4589418","50,3914084, 4,4589418",Hors Brussels,
70,Promotion sociale supérieur,1220,Promotion sociale supérieur Mons-Borinage,"PS sup, Mons-Borinage","https://www,etudierenhainaut,be/promotion-sociale-superieur-mons,html",Avenue du Tir 10,7000,MONS,"50,4616777","3,9621946","50,4616777, 3,9621946",2197,,Rue de Valenciennes 58,7301,HORNU,Mons,"50,4356177","3,8230155","50,4356177, 3,8230155",Hors Brussels,
71,Promotion sociale supérieur,1313,Institut Saint-Henri - Ecole technique commerciale - Enseignement de promotion sociale,"Inst, St-Henri - tech, PS","http://promsoc,saint-henri,be",Rue du Commerce 21,7780,COMINES-WARNETON,"50,7728091","3,0045408","50,7728091, 3,0045408",2619,,Rue du Commerce 21,7780,COMINES-WARNETON,Tournai-Mouscron,"50,7728091","3,0045408","50,7728091, 3,0045408",Hors Brussels,
72,Promotion sociale supérieur,1362,Ecole industrielle et commerciale,"Ec, ind,","http://www,eicb,be",Rue de Mons 87,7090,BRAINE-LE-COMTE,"50,6065835","4,1325277","50,6065835, 4,1325277",2737,,Rue de Mons 87,7090,BRAINE-LE-COMTE,Soignies,"50,6065835","4,1325277","50,6065835, 4,1325277",Hors Brussels,
73,Promotion sociale supérieur,1408,Cours ménagers et professionnels de la Ville de La Louvière,"C ménagers prof, Louvière",,Chaussée Paul Houtart 316,7110,LA LOUVIERE,"50,4878252","4,1552567","50,4878252, 4,1552567",8864,,Chaussée Paul Houtart 316,7110,LA LOUVIERE,La Louvière,"50,4878252","4,1552567","50,4878252, 4,1552567",Hors Brussels,
74,Promotion sociale supérieur,1572,Ecole industrielle et commerciale communale de Thuin,"Ec, ind, com, Thuin","http://promsocthuin,be/",Rue Verte 1,6530,THUIN,,,,3145,,Rue Wilmet 4,6110,MONTIGNY-LE-TILLEUL,Charleroi,,,,Hors Brussels,
75,École supérieure des Arts,1694,École supérieure des Arts Institut Saint-Luc Tournai,St-Luc Tournai,"http://stluc-sup-tournai,be/",Chaussée de Tournai 7,7520,RAMEGNIES-CHIN,"50,6459841","3,3435667","50,6459841, 3,3435667",3352,Saint-Luc Tournai,Chaussée de Tournai 7,7520,RAMEGNIES-CHIN,Tournai-Mouscron,"50,6368932","3,3516742","50,6368932, 3,3516742",Hors Brussels,
76,Promotion sociale supérieur,2047,Ecole de commerce et d'informatique - Enseignement de promotion sociale,"Ec, commerce informatique",,Rue Hazinelle 2,4000,LIEGE,"50,6396997","5,5700175","50,6396997, 5,5700175",7296,,Rue Hazinelle 2,4000,LIEGE,Liège,"50,6396997","5,5700175","50,6396997, 5,5700175",Hors Brussels,
