Code;Territoire;Commune;#hommes colloc dans commune;% de hommes de la commune dans secteur stat;#hommes colloc dans secteur stat
21016A701;MERLO;Uccle;1560;0,031974254;49,87983701
21016A772;ZWARTEBEEK;Uccle;1560;0,008305001;12,95580182
21016A72-;MELKRIEK;Uccle;1560;0,009395033;14,65625081
21016A71-;KEIENBEMPT;Uccle;1560;0,020970128;32,7133996
21016A13-;OBSERVATOIRE;Uccle;1560;7,78594E-05;0,121460642
21016A383;FORET DE SOIGNES LORRAINE-W.;Uccle;1560;0;0
21016A954;VOSSEGAT-EST;Uccle;1560;0,003892969;6,073032104
21016A331;CHAUSSEE DE WATERLOO-OUEST;Uccle;1560;0,003763204;5,870597701
21016A80-;VANDERKINDERE;Uccle;1560;0,032311645;50,40616646
21016A225;PTOLEMEE;Uccle;1560;0,00596922;9,311982559
21016A64-;MOLENSTEEN;Uccle;1560;0,025849316;40,32493317
21016A05-;LE CHAT;Uccle;1560;0,050504788;78,78746983
21016A39-;FORET DE SOIGNES LORRAINE-EST;Uccle;1560;0,000155719;0,242921284
21016A692;CIMETIERE - ST.-GILLES;Uccle;1560;2,59531E-05;0,040486881
21016A533;MOENSBERG;Uccle;1560;0,007656173;11,9436298
21016A943;SEPT-BONNIERS;Uccle;1560;0,011808674;18,42153072
21016A65-;ALSEMBERG-SUD;Uccle;1560;0,013469674;21,01269108
21016A601;BOURDON;Uccle;1560;0,01393683;21,74145493
21016A620;KRIEKENPUT;Uccle;1560;0,013339908;20,81025668
21016A01-;DIEWEG;Uccle;1560;0,049181179;76,72263891
21016A00-;GLOBE-EST;Uccle;1560;0,054034414;84,2936856
21016A193;WOLVENDAEL;Uccle;1560;0;0
21016A102;GROESELENBERG;Uccle;1560;0,02488905;38,82691859
21016A12-;HAMOIR;Uccle;1560;0,027432457;42,79463289
21016A44-;PECHERIE;Uccle;1560;0,030546832;47,65305858
21016A214;ASTRONOMES;Uccle;1560;0,005917313;9,231008798
21016A322;CHAUSSEE DE WATERLOO-EST;Uccle;1560;0,010485064;16,3566998
21016A400;SAINT-JOB;Uccle;1560;0,033453583;52,18758921
21016A429;CARLOO;Uccle;1560;0,021618956;33,72557162
21016A410;ALPHONSE XIII;Uccle;1560;0,011056033;17,24741118
21016A490;KAUWBERG;Uccle;1560;0,004801329;7,490072928
21016A639;HOMBORCH;Uccle;1560;0,028885832;45,06189821
21016A610;ENGELAND;Uccle;1560;0,006124938;9,554903844
21016A521;VERREWINKEL;Uccle;1560;0,005839454;9,109548156
21016A342;FOND;Uccle;1560;0,040045678;62,47125691
21016A311;FORT JACO;Uccle;1560;0,019335081;30,16272612
21017A512;VANDER ELST - BIEN FAIRE;Watermael-Boitsfort;379;0,045860529;17,3811405
21017A541;LOUTRIER - WIENER;Watermael-Boitsfort;379;0,034953624;13,24742357
21017A192;STADE DES TROIS TILLEULS;Watermael-Boitsfort;379;0,000687049;0,260391618
21017A635;PRINCES BRABANCONS;Watermael-Boitsfort;379;0,018292683;6,932926829
21017A11-;FLOREAL;Watermael-Boitsfort;379;0,054448643;20,63603573
21017A240;SOUVERAIN-OUEST;Watermael-Boitsfort;379;0,033665407;12,75918928
21017A230;BEGUINETTES;Watermael-Boitsfort;379;0,054362762;20,60348677
21017A220;LE LOGIS-SUD;Watermael-Boitsfort;379;0,02559258;9,699587771
21017A443;VILLE-ET-FORET - ELAN;Watermael-Boitsfort;379;0,02859842;10,8388011
21017A41-;AVENUE DE VISE;Watermael-Boitsfort;379;0,064410855;24,41171419
21017A523;MARTIN-PECHEUR;Watermael-Boitsfort;379;0,059257987;22,45877705
21017A613;AVENUE DE TERCOIGNE;Watermael-Boitsfort;379;0,00523875;1,985486087
21017A696;HERONNIERE;Watermael-Boitsfort;379;0,003692889;1,399604947
21017A624;PECHERIES;Watermael-Boitsfort;379;0,046891103;17,77172793
21017A534;RUE DES BEGONIAS;Watermael-Boitsfort;379;0,01356922;5,142734456
21017A501;CENTRE DE WATERMAEL;Watermael-Boitsfort;379;0,01657506;6,281947784
21017A421;WATERMAEL - STATION;Watermael-Boitsfort;379;0,005754036;2,180779801
21017A432;DRIES;Watermael-Boitsfort;379;0,045259361;17,15329784
21017A021;DREVE DES EQUIPAGES;Watermael-Boitsfort;379;0,014513913;5,50077293
21017A01-;COIN DU BALAI;Watermael-Boitsfort;379;0,050498111;19,13878392
21017A12-;LE LOGIS-NORD;Watermael-Boitsfort;379;0,084850567;32,15836482
21017A08-;SOUVERAIN-EST;Watermael-Boitsfort;379;0,007385778;2,799209894
21017A13-;BOULEAUX;Watermael-Boitsfort;379;0,050326348;19,07368602
21017A212;AVENUE DE LA TENDERIE;Watermael-Boitsfort;379;0,070937822;26,88543456
21017A000;CENTRE DE BOITSFORT;Watermael-Boitsfort;379;0,043885263;16,6325146
21017A09-;FORET DE SOIGNES;Watermael-Boitsfort;379;0,000429406;0,162744761
21017A451;FUTAIE;Watermael-Boitsfort;379;0,05273102;19,98505668
21017A472;ZONING DE BUREAUX-NORD;Watermael-Boitsfort;379;0,00077293;0,29294057
21017A374;ZONING DE BUREAUX-SUD;Watermael-Boitsfort;379;0,011593954;4,394108554
21017A041;DREVE DU DUC;Watermael-Boitsfort;379;0,035812436;13,57291309
21017A031;AVENUE DELLEUR;Watermael-Boitsfort;379;0,005582274;2,115681896
21017A312;CLOS DES CHENES;Watermael-Boitsfort;379;0,006612848;2,506269323
21017A323;DREVE DES TUMULI;Watermael-Boitsfort;379;0,004036414;1,529800756
21017A393;ETANGS DE BOITSFORT;Watermael-Boitsfort;379;0,001545861;0,585881141
21017A382;FORESTERIE;Watermael-Boitsfort;379;0;0
21018A20-;GEORGES HENRI (AVENUE);Woluwe Saint-Lambert;1168;0,059797503;69,84348356
21018A72-;ROGATIONS;Woluwe Saint-Lambert;1168;0,044686358;52,19366626
21018A21-;DE BROQUEVILLE (AVENUE)-NORD;Woluwe Saint-Lambert;1168;0,051271315;59,88489647
21018A35-;HOF TEN BERG-NORD;Woluwe Saint-Lambert;1168;0,017889769;20,8952497
21018A34-;HOF TEN BERG-SUD;Woluwe Saint-Lambert;1168;0,020401949;23,82947625
21018A32-;CLOS DES PEUPLIERS;Woluwe Saint-Lambert;1168;0,008602314;10,04750305
21018A311;PARC SCHUMAN;Woluwe Saint-Lambert;1168;0,039205238;45,79171742
21018A33-;NEERVELD;Woluwe Saint-Lambert;1168;0,038139464;44,54689403
21018A22-;DE BROQUEVILLE (AVENUE)-SUD;Woluwe Saint-Lambert;1168;0,03067905;35,83313033
21018A512;QUARTIER DES PEINTRES;Woluwe Saint-Lambert;1168;0,029270706;34,18818514
21018A031;ABELOOS;Woluwe Saint-Lambert;1168;0,026339829;30,76492083
21018A04-;BEETEPUT;Woluwe Saint-Lambert;1168;0,03399056;39,70097442
21018A02-;SLEGERS (AVENUE);Woluwe Saint-Lambert;1168;0,023751523;27,74177832
21018A37-;COMMUNAUTES;Woluwe Saint-Lambert;1168;0,005633374;6,579780755
21018A63-;CONSTELLATIONS;Woluwe Saint-Lambert;1168;0,030031973;35,0773447
21018A05-;DRIES;Woluwe Saint-Lambert;1168;0,022000609;25,69671133
21018A61-;HEYDENBERG-EST;Woluwe Saint-Lambert;1168;0,0346757;40,50121803
21018A62-;HEYDENBERG-OUEST;Woluwe Saint-Lambert;1168;0,059607186;69,62119367
21018A24-;LAMBEAU (AVENUE);Woluwe Saint-Lambert;1168;0,038672351;45,16930572
21018A09-;RASANTE;Woluwe Saint-Lambert;1168;0,004986297;5,823995128
21018A30-;SAINTE-FAMILLE;Woluwe Saint-Lambert;1168;0,023180572;27,07490865
21018A643;DEUX MAISONS;Woluwe Saint-Lambert;1168;0,03193514;37,30024361
21018A60-;ROODEBEEK PARC;Woluwe Saint-Lambert;1168;0,012142205;14,18209501
21018A19-;STRUYCKBEKEN;Woluwe Saint-Lambert;1168;0,000304507;0,355663825
21018A81-;KAPELLEVELD-SUD;Woluwe Saint-Lambert;1168;0,011419001;13,33739342
21018A84-;KAPELLEVELD-NORD-EST;Woluwe Saint-Lambert;1168;0,014806638;17,29415347
21018A00-;TOMBERG;Woluwe Saint-Lambert;1168;0,02736754;31,96528624
21018A43-;ROODEBEEK;Woluwe Saint-Lambert;1168;0,020440012;23,87393423
21018A41-;EUROPE;Woluwe Saint-Lambert;1168;0,024817296;28,98660171
21018A42-;VERVLOESEM;Woluwe Saint-Lambert;1168;0,021353532;24,9409257
21018A01-;SAINT-LAMBERT;Woluwe Saint-Lambert;1168;0,017775579;20,76187576
21018A15-;LES SOURCES;Woluwe Saint-Lambert;1168;0,004186967;4,890377588
21018A14-;CHANCELLERIE;Woluwe Saint-Lambert;1168;0,021429659;25,02984166
