SectorStatID,Quartier,Places Mat ss
21006A001,Paix,156.0
21006A414,Avenue Léopold III,86.0
21006A171,Avenue Léopold III,18.0
21006A25-,Paduwa,46.0
21006A22-,Avenue Léopold III,62.0
21006A011,Paix,147.0
21006A142,Conscience,56.0
21006A042,Paix,61.0
21006A052,Paix,120.0
21006A323,Avenue Léopold III,23.0
21007A03-,Saint-Denis - Neerstalle,26.0
21007A252,Vossegat - Roosendaal,14.0
21007A201,Vossegat - Roosendaal,128.0
21007A21-,Vossegat - Roosendaal,24.0
21007A242,Vossegat - Roosendaal,29.0
21007A75-,Altitude 100,79.0
21007A111,Vossegat - Roosendaal,38.0
21007A41-,Bas Forest,13.0
21007A142,Van Volxem - Van Haelen,36.0
21007A53-,Van Volxem - Van Haelen,79.0
21007A50-,Van Volxem - Van Haelen,89.0
21007A51-,Van Volxem - Van Haelen,26.0
21007A552,Van Volxem - Van Haelen,7.0
21007A541,Van Volxem - Van Haelen,16.0
21007A61-,Bas Forest,157.0
21007A06-,Saint-Denis - Neerstalle,22.0
21007A04-,Saint-Denis - Neerstalle,12.0
21007A00-,Saint-Denis - Neerstalle,104.0
21007A101,Van Volxem - Van Haelen,74.0
21007A783,Parc Duden - Parc de Forest,0.0
21007A071,Industrie Sud,0.0
21007A70-,Altitude 100,254.0
21007A239,Altitude 100,252.0
21009A101,Flagey - Malibran,77.0
21009A03-,Louise - Longue Haie,81.0
21009A13-,Etangs d'Ixelles,46.0
21009A121,Etangs d'Ixelles,34.0
21009A63-,Hôpital Etterbeek-Ixelles,122.0
21009A42-,Brugmann - Lepoutre,96.0
21009A40-,Brugmann - Lepoutre,65.0
21009A301,Boondael,42.0
21009A812,Boondael,19.0
21009A33-,Boondael,181.0
21009A34-,Boondael,17.0
21009A21-,Université,73.0
21009A43-,Brugmann - Lepoutre,52.0
21009A41-,Brugmann - Lepoutre,69.0
21009A83-,Dries,26.0
21009A52-,Jourdan,48.0
21009A44-,Brugmann - Lepoutre,52.0
21009A712,Châtelain,19.0
21009A72-,Châtelain,42.0
21009A911,Hôpital Etterbeek-Ixelles,89.0
21009A311,Boondael,10.0
21009A802,Boondael,12.0
21009A82-,Boondael,47.0
21009A111,Flagey - Malibran,125.0
21009A01-,Flagey - Malibran,91.0
21009A22-,Université,97.0
21009A53-,Matonge,70.0
21009A612,Flagey - Malibran,119.0
21009A151,Hôpital Etterbeek-Ixelles,50.0
21009A73-,Brugmann - Lepoutre,84.0
21009A451,Châtelain,66.0
21010A04-,Woeste,300.0
21010A03-,Jette Centre,64.0
21010A10-,Heymbosch - AZ-Jette,82.0
21010A121,Heymbosch - AZ-Jette,61.0
21010A111,Heymbosch - AZ-Jette,95.0
21010A312,Jette Centre,17.0
21010A1AJ,Heymbosch - AZ-Jette,119.0
21010A05-,Woeste,408.0
21010A13-,Heysel,183.0
21010A00-,Jette Centre,111.0
21010A141,Houba,138.0
21010A01-,Woeste,321.0
21010A21-,Basilique,97.0
21010A02-,Woeste,290.0
21011A11-,Hôpital Français,65.0
21011A30-,Basilique,63.0
21011A20-,Basilique,94.0
21011A10-,Hôpital Français,93.0
21011A01-,Koekelberg,288.0
21011A02-,Koekelberg,172.0
21011A00-,Koekelberg,120.0
21011A12-,Hôpital Français,65.0
21012A552,Karreveld,77.0
21012A833,Korenbeek,2.0
21012A84-,Machtens,87.0
21012A24-,Machtens,180.0
21012A26-,Machtens,145.0
21012A25-,Karreveld,39.0
21012A172,Gare de l'ouest,8.0
21012A041,Molenbeek Historique,103.0
21012A10-,Duchesse,313.0
21012A00-,Molenbeek Historique,112.0
21012A05-,Molenbeek Historique,62.0
21012A851,Machtens,74.0
21012A882,Machtens,35.0
21012A22-,Machtens,11.0
21012A13-,Duchesse,171.0
21012A12-,Duchesse,160.0
21012A672,Quartier Maritime,79.0
21012A60-,Quartier Maritime,142.0
21012A63-,Quartier Maritime,67.0
21012A62-,Quartier Maritime,140.0
21012A511,Karreveld,188.0
21012A20-,Machtens,111.0
21012A72-,Molenbeek Historique,131.0
21012A611,Quartier Maritime,46.0
21012A53-,Karreveld,21.0
21012A54-,Karreveld,205.0
21012A50-,Hôpital Français,114.0
21012A71-,Molenbeek Historique,190.0
21012A21-,Karreveld,95.0
21012A152,Gare de l'ouest,45.0
21012A52-,Karreveld,211.0
21012A30-,Machtens,104.0
21012A23-,Machtens,172.0
21012A41-,Moortebeek - Peterbos,118.0
21012A822,Korenbeek,54.0
21012A811,Korenbeek,11.0
21012A141,Gare de l'ouest,19.0
21012A03-,Molenbeek Historique,86.0
21012A11-,Cureghem Rosée,78.0
21012A02-,Molenbeek Historique,44.0
21012A011,Molenbeek Historique,51.0
21012A732,Molenbeek Historique,66.0
21013A242,Porte de Hal,71.0
21013A102,Porte de Hal,15.0
21013A101,Porte de Hal,96.0
21013A13-,Porte de Hal,74.0
21013A121,Bosnie,0.0
21013A422,Bosnie,0.0
21013A11-,Haut Saint-Gilles,96.0
21013A01-,Haut Saint-Gilles,196.0
21013A04-,Haut Saint-Gilles,114.0
21013A201,Porte de Hal,103.0
21013A252,Porte de Hal,86.0
21013A23-,Bas Forest,41.0
21013A02-,Berckmans - Hôtel des Monnaies,106.0
21013A612,Cureghem Bara,9.0
21013A22-,Bosnie,0.0
21013A211,Porte de Hal,63.0
21013A052,Châtelain,33.0
21013A151,Berckmans - Hôtel des Monnaies,68.0
21013A522,Berckmans - Hôtel des Monnaies,54.0
21013A40-,Haut Saint-Gilles,148.0
21013A41-,Haut Saint-Gilles,210.0
21013A031,Châtelain,37.0
21013A00-,Haut Saint-Gilles,192.0
21013A51-,Berckmans - Hôtel des Monnaies,52.0
21014A00-,Saint-Josse Centre,96.0
21014A02-,Saint-Josse Centre,47.0
21014A14-,Quartier Brabant,28.0
21014A41-,Saint-Josse Centre,123.0
21014A10-,Quartier Brabant,44.0
21014A03-,Saint-Josse Centre,36.0
21014A12-,Quartier Brabant,6.0
21014A01-,Saint-Josse Centre,33.0
21014A04-,Chaussée de Haecht,152.0
21014A05-,Saint-Josse Centre,231.0
21014A3MJ,Quartier Nord,21.0
21015A50-,Plasky,97.0
21015A77-,Reyers,0.0
21015A73-,Reyers,0.0
21015A782,Gare Josaphat,26.0
21015A31-,Dailly,67.0
21015A36-,Josaphat,58.0
21015A70-,Gare Josaphat,145.0
21015A721,Gare Josaphat,84.0
21015A822,Terdelt,36.0
21015A34-,Josaphat,55.0
21015A63-,Josaphat,61.0
21015A883,Terdelt,28.0
21015A811,Terdelt,120.0
21015A831,Terdelt,269.0
21015A03-,Chaussée de Haecht,332.0
21015A021,Colignon,180.0
21015A30-,Dailly,95.0
21015A32-,Dailly,76.0
21015A64-,Dailly,88.0
21015A33-,Dailly,73.0
