,SectorStatID,Nb d'enfants inscrits en maternelles habitant le ss
255,21007A783,16
256,21007A071,78
257,21007A70-,122
258,21007A239,121
259,21009A101,60
260,21009A03-,63
261,21009A13-,50
262,21009A121,37
263,21009A63-,73
264,21009A42-,102
265,21009A40-,69
266,21009A301,32
267,21009A812,15
268,21009A33-,139
269,21009A34-,13
270,21009A21-,92
271,21009A43-,55
272,21009A41-,73
273,21009A83-,54
274,21009A52-,137
275,21009A44-,55
276,21009A712,22
277,21009A72-,48
278,21009A911,53
279,21009A311,8
280,21009A802,9
281,21009A82-,36
282,21009A111,98
283,21009A01-,71
284,21009A22-,123
285,21009A53-,101
286,21009A612,93
287,21009A151,30
288,21009A73-,89
289,21009A451,76
290,21010A04-,219
291,21010A03-,149
292,21010A10-,89
293,21010A121,66
294,21010A111,103
295,21010A312,40
296,21010A1AJ,129
297,21010A05-,298
298,21010A13-,179
299,21010A00-,259
300,21010A141,186
301,21010A01-,234
302,21010A21-,186
303,21010A02-,212
304,21011A11-,92
305,21011A30-,121
306,21011A20-,181
307,21011A10-,131
308,21011A01-,257
309,21011A02-,154
310,21011A00-,107
311,21011A12-,91
312,21012A552,73
313,21012A833,11
314,21012A84-,96
315,21012A24-,198
316,21012A26-,159
317,21012A25-,37
318,21012A172,65
319,21012A041,111
320,21012A10-,159
321,21012A00-,120
322,21012A05-,67
323,21012A851,81
324,21012A882,39
325,21012A22-,12
326,21012A13-,87
327,21012A12-,81
328,21012A672,164
329,21012A60-,296
330,21012A63-,140
331,21012A62-,291
332,21012A511,177
333,21012A20-,122
334,21012A72-,141
335,21012A611,96
336,21012A53-,20
337,21012A54-,193
338,21012A50-,161
339,21012A71-,204
340,21012A21-,90
341,21012A152,349
342,21012A52-,199
343,21012A30-,114
344,21012A23-,189
345,21012A41-,82
346,21012A822,246
347,21012A811,48
348,21012A141,148
349,21012A03-,93
350,21012A11-,86
351,21012A02-,47
352,21012A011,55
353,21012A732,71
354,21013A242,78
355,21013A102,16
356,21013A101,106
357,21013A13-,81
358,21013A121,41
359,21013A422,122
360,21013A11-,54
361,21013A01-,110
362,21013A04-,64
363,21013A201,113
