Code;Territoire;Commune;#femmes colloc dans commune;% de femmes de la commune dans secteur stat;#femmes colloc dans secteur stat
21009A63-;MACAU;Ixelles;2085;0,033494117;69,83523419
21009A602;BELVEDERE;Ixelles;2085;0,003921922;8,177207772
21009A42-;RENIER CHALON;Ixelles;2085;0,032795384;68,37837533
21009A40-;MELEZES;Ixelles;2085;0,022156606;46,19652437
21009A301;BOONDAEL-NORD;Ixelles;2085;0,012058784;25,14256413
21009A812;SCHOOLGAT;Ixelles;2085;0,005116531;10,66796646
21009A33-;SAINT-ADRIEN;Ixelles;2085;0,048843709;101,8391336
21009A34-;STADE COMMUNAL;Ixelles;2085;0,005364468;11,18491638
21009A21-;ETE;Ixelles;2085;0,039083983;81,49010504
21009A43-;FERNAND NEURAY;Ixelles;2085;0,022314385;46,52549249
21009A41-;SAINT-GEORGES;Ixelles;2085;0,026551864;55,36063652
21009A83-;L. ERNOTTE (RUE);Ixelles;2085;0,012148943;25,33054591
21009A52-;GRAY (RUE);Ixelles;2085;0,041135103;85,76669071
21009A2MJ;CAMPUS UNIVERSITAIRE;Ixelles;2085;0,01039084;21,66490105
21009A44-;PREVOT;Ixelles;2085;0,02181851;45,49159266
21009A712;CHATELAIN (PLACE DU)-OUEST;Ixelles;2085;0,009940044;20,72499211
21009A72-;DEFACQZ;Ixelles;2085;0,020939458;43,65877023
21009A911;A. DELPORTE-SUD;Ixelles;2085;0,019294054;40,2281026
21009A311;TREILLE (RUE DE LA);Ixelles;2085;0,003899382;8,130212325
21009A802;BOONDAEL-SUD;Ixelles;2085;0,003380967;7,049317045
21009A82-;FORET;Ixelles;2085;0,01555245;32,42685841
21009A111;WERY (RUE);Ixelles;2085;0,036717306;76,5555831
21009A01-;BLYCKAERTS;Ixelles;2085;0,024207727;50,47311004
21009A22-;UNIVERSITE;Ixelles;2085;0,047175765;98,3614705
21009A53-;LONDRES (PLACE DE);Ixelles;2085;0,03942208;82,19503674
21009A512;WIERTZ;Ixelles;2085;0,002749853;5,73344453
21009A593;QUARTIER LEOPOLD;Ixelles;2085;0;0
21009A612;LIEGEOIS (RUE);Ixelles;2085;0,035590317;74,20581076
21009A151;A. DELPORTE-NORD;Ixelles;2085;0,010661317;22,22884641
21009A922;CASERNE (Ixelles);Ixelles;2085;0,003876843;8,083216878
21009A29-;CIMETIERE;Ixelles;2085;0;0
21009A73-;BERCKENDAEL;Ixelles;2085;0,031352838;65,37066673
21009A451;CHATELAIN (PLACE DU)-EST;Ixelles;2085;0,029166479;60,81210837
21009A192;ETANGS;Ixelles;2085;0;0
21010A393;SACRE-COEUR;Jette;686;0,001573708;1,079563753
21010A04-;NOTRE-DAME DE LOURDES;Jette;686;0,08578539;58,84877763
21010A092;PARC DE LA JEUNESSE;Jette;686;0;0
21010A03-;MIROIR;Jette;686;0,062289562;42,73063973
21010A182;DIELEGEM (BOIS DE);Jette;686;3,65979E-05;0,025106134
21010A10-;ANCIENNE BARRIERE;Jette;686;0,040477236;27,76738398
21010A121;F. MOHRFELD (RUE DE);Jette;686;0,02517933;17,27302006
21010A111;HEYMBOSCH;Jette;686;0,060020495;41,17405943
21010A312;BAECK DUPRE;Jette;686;0,017676768;12,12626263
21010A4MJ;VUB;Jette;686;0,000805153;0,552334944
21010A1AJ;ARBRE BALLON;Jette;686;0,056726687;38,91450739
21010A05-;ALBERT (QUARTIER);Jette;686;0,105584834;72,43119602
21010A493;LAERBEEK (BOIS DE);Jette;686;0,000402576;0,276167472
21010A13-;CITE-JARDIN;Jette;686;0,086151369;59,09983897
21010A00-;CENTRE;Jette;686;0,119455424;81,94642073
21010A141;BRUGMANN;Jette;686;0,085309618;58,52239789
21010A01-;ESSEGHEM;Jette;686;0,098301859;67,43507539
21010A21-;MADELEINE;Jette;686;0,070487484;48,3544137
21010A02-;LEOPOLD I;Jette;686;0,083296735;57,14156053
21011A11-;LEPREUX;Koekelberg;318;0,105239345;33,46611166
21011A30-;ARCHERS - FOUREZ;Koekelberg;318;0,110487739;35,1351009
21011A20-;PLATEAU;Koekelberg;318;0,169758393;53,98316894
21011A10-;PAIX (AVENUE DE LA);Koekelberg;318;0,122703828;39,01981721
21011A01-;SAINTE-ANNE;Koekelberg;318;0,202877568;64,51506651
21011A02-;JACQUET (RUE DE);Koekelberg;318;0,093475704;29,72527373
21011A00-;VANHUFFEL;Koekelberg;318;0,098000181;31,16405755
21011A12-;BASILIQUE;Koekelberg;318;0,097276265;30,93385214
21011A29-;PARC ELISABETH;Koekelberg;318;0;0
21012A552;PFEIFFER;Molenbeek Saint-Jean;1065;0,014730018;15,68746923
21012A833;ELBERS;Molenbeek Saint-Jean;1065;0,00533399;5,680699163
21012A84-;METTEWIE-BUILDINGS;Molenbeek Saint-Jean;1065;0,023346463;24,86398326
21012A24-;OSSEGHEM;Molenbeek Saint-Jean;1065;0,039061218;41,60019695
21012A26-;MACHTENS-NORD;Molenbeek Saint-Jean;1065;0,042405219;45,16155835
21012A29-;MARIE-JOSE (PARC);Molenbeek Saint-Jean;1065;0;0
21012A25-;BEEKKANT;Molenbeek Saint-Jean;1065;0,008944691;9,526095519
21012A172;GARE OUEST;Molenbeek Saint-Jean;1065;0,011775808;12,54123584
21012A041;QUATRE VENTS;Molenbeek Saint-Jean;1065;0,020535861;21,87069178
21012A10-;DUCHESSE DE BRABANT;Molenbeek Saint-Jean;1065;0,024269654;25,84718119
21012A00-;CENTRE;Molenbeek Saint-Jean;1065;0,024556869;26,15306499
21012A05-;SAINT-JOSEPH;Molenbeek Saint-Jean;1065;0,010996225;11,71097981
21012A59-;KARREVELD;Molenbeek Saint-Jean;1065;0,000164123;0,174790743
