Code,Territoire,Part des moins de 3 ans dans la population totale (%),Nombre de places en milieu d'accueil par enfant de moins de trois ans (),Population totale (Nombre d'habitants),#0-2 ans,#places en creche
21015A831,LATINIS (AVENUE G.),3.97,0.86,3756,149,0
21015A883,THEUNIS PIERRE (RUE),2.85,0.54,527,15,0
21016A00-,GLOBE-EST,3.37,0.03,4425,149,0
21016A01-,DIEWEG,2.89,0.04,4082,118,0
21016A02-,ALSEMBERG-NORD,4.13,1.42,3611,149,0
21016A03-,COGHEN,4.20,0.32,2906,122,0
21016A042,ECHEVINAGE,2.54,1.57,511,13,0
21016A05-,LE CHAT,3.77,0.58,4110,155,0
21016A102,GROESELENBERG,2.46,0.73,2031,50,0
21016A111,VERT CHASSEUR,4.06,0.00,936,38,0
21016A12-,HAMOIR,2.03,1.22,2366,48,0
21016A13-,OBSERVATOIRE,0.00,0.00,2,0,0
21016A193,WOLVE0AEL,0.00,0.00,0,0,0
21016A214,ASTRONOMES,2.59,0.00,463,12,0
21016A225,PTOLEMEE,2.34,0.00,512,12,0
21016A232,BEAU SEJOUR,2.99,1.69,1472,44,0
21016A311,FORT JACO,1.96,0.14,1633,32,0
21016A322,CHAUSSEE DE WATERLOO-EST,3.08,0.75,778,24,0
21016A331,CHAUSSEE DE WATERLOO-OUEST,2.39,0.00,335,8,0
21016A342,FO0,2.19,0.44,3241,71,0
21016A383,FORET DE SOIGNES LORRAINE-W.,0.00,0.00,0,0,0
21016A39-,FORET DE SOIGNES LORRAINE-EST,0.00,0.00,6,0,0
21016A400,SAINT-JOB,3.45,0.98,2583,89,0
21016A410,ALPHONSE XIII,1.89,0.74,898,17,0
21016A429,CARLOO,3.02,0.07,1757,53,0
21016A44-,PECHERIE,2.70,0.32,2554,69,0
21016A490,KAUWBERG,1.69,0.00,356,6,0
21016A521,VERREWINKEL,2.35,0.00,469,11,0
21016A533,MOENSBERG,3.18,0.00,660,21,0
21016A601,BOURDON,3.23,1.72,1113,36,0
21016A610,ENGELA0,2.47,0.00,486,12,0
21016A620,KRIEKENPUT,1.81,0.74,997,18,0
21016A639,HOMBORCH,2.34,1.68,2516,59,0
21016A64-,MOLENSTEEN,4.61,1.65,2124,98,0
21016A65-,ALSEMBERG-SUD,4.12,0.84,995,41,0
21016A692,CIMETIERE - ST.-GILLES,0.00,0.00,1,0,0
21016A701,MERLO,3.82,0.73,2593,99,0
21016A71-,KEIENBEMPT,3.20,0.82,1967,63,0
21016A72-,MELKRIEK,2.30,0.00,826,19,0
21016A731,ROETAERT,4.28,0.00,538,23,0
21016A772,ZWARTEBEEK,4.15,0.13,674,28,0
21016A80-,VA0ERKI0ERE,3.37,0.18,2790,94,0
21016A81-,BASCULE,3.49,0.26,3213,112,0
21016A82-,CHURCHILL,2.82,0.84,4963,140,0
21016A831,LONGCHAMP,2.67,1.14,2994,80,0
21016A841,ZEECRABBE,1.34,0.00,447,6,0
21016A85-,BRUGMANN,2.17,0.00,1890,41,0
21016A901,CENTRE-OUEST,2.62,1.44,2136,56,0
21016A912,GLOBE-OUEST,3.72,0.50,1074,40,0
21016A922,WOLVENBERG,4.00,0.00,1099,44,0
21016A933,VOSSEGAT-OUEST,2.93,0.24,2865,84,0
21016A943,SEPT-BONNIERS,4.47,0.17,985,44,0
21016A954,VOSSEGAT-EST,4.59,0.00,283,13,0
21017A000,CENTRE DE BOITSFORT,2.64,0.00,1097,29,0
21017A01-,COIN DU BALAI,3.27,1.05,1285,42,0
21017A021,DREVE DES EQUIPAGES,0.79,0.00,379,3,0
