Code;Territoire;Commune;#5 ans en primaire garçon;#5 ans en primaire filles;#6 ans en maternelles garçon;#6 ans en maternelles filles;#11 ans en secondaires garçon;#11 ans en secondaires filles;#12 ans en primaires garçon;#12 ans en primaires filles;#13 ans en primaires garçon;#13 ans en primaires filles;#17 ans a l'unif garçon;#17 ans a l'unif filles;#18 ans en secondaires garçon;#18 ans en secondaires filles;#19 ans en secondaires garçon;#19 ans en secondaires filles
21016A102;GROESELENBERG;Uccle;0,099556202;0,155784805;0,767412387;0,627349621;0,120297077;0,185257606;0,767412387;0,627349621;0,045629926;0,021052001;0,120297077;0,185257606;2,020161255;1,991519265;1,095118217;1,578900052
21016A12-;HAMOIR;Uccle;0,109729828;0,182534331;0,84583409;0,735070685;0,132590209;0,217067853;0,84583409;0,735070685;0,050292838;0,024666802;0,132590209;0,217067853;2,226601092;2,333479424;1,207028107;1,850010114
21016A44-;PECHERIE;Uccle;0,12218733;0,193067823;0,941860666;0,777489343;0,147643023;0,229594168;0,941860666;0,777489343;0,056002526;0,026090246;0,147643023;0,229594168;2,479384565;2,46813731;1,344060627;1,95676848
21016A214;ASTRONOMES;Uccle;0,023669253;0,037421617;0,182450494;0,150697863;0,028600348;0,044501382;0,182450494;0,150697863;0,010848408;0,005056975;0,028600348;0,044501382;0,480288599;0,478389859;0,260361787;0,379273144
21016A322;CHAUSSEE DE WATERLOO-EST;Uccle;0,041940256;0,062230763;0,323289473;0,250604964;0,050677809;0,07400415;0,323289473;0,250604964;0,019222617;0,008409563;0,050677809;0,07400415;0,851037693;0,795544618;0,461342815;0,630717191
21016A400;SAINT-JOB;Uccle;0,133814331;0,197641577;1,031485471;0,795907971;0,161692317;0,235033226;1,031485471;0,795907971;0,061331569;0,026708321;0,161692317;0,235033226;2,715315806;2,526607182;1,471957644;2,003124087
21016A429;CARLOO;Uccle;0,086475825;0,12307554;0,666584482;0,495628526;0,104491621;0,146360102;0,666584482;0,495628526;0,039634753;0,01663183;0,104491621;0,146360102;1,754738609;1,573371092;0,951234071;1,247387229
21016A410;ALPHONSE XIII;Uccle;0,044224131;0,065557129;0,340894345;0,26400033;0,053437492;0,077959829;0,340894345;0,26400033;0,020269393;0,008859071;0,053437492;0,077959829;0,897381329;0,838068161;0,486465443;0,66443036
21016A490;KAUWBERG;Uccle;0,019205315;0,029382899;0,148040971;0,118325729;0,023206423;0,034941826;0,148040971;0,118325729;0,008802436;0,003970662;0,023206423;0,034941826;0,389707854;0,37562463;0,211258467;0,297799654
21016A639;HOMBORCH;Uccle;0,115543329;0,192513429;0,890646492;0,775256782;0,139614856;0,228934889;0,890646492;0,775256782;0,052957359;0,026015328;0,139614856;0,228934889;2,344566713;2,461050053;1,270976616;1,951149619
21016A610;ENGELAND;Uccle;0,024499753;0,036312828;0,188852266;0,146232741;0,029603869;0,043182823;0,188852266;0,146232741;0,011229054;0,004907139;0,029603869;0,043182823;0,49714083;0,464215345;0,269497288;0,368035421
21016A521;VERREWINKEL;Uccle;0,023357816;0,032432068;0,18004983;0,130604814;0,028224027;0,038567865;0,18004983;0,130604814;0,010705666;0,004382712;0,028224027;0,038567865;0,473969012;0,414604545;0,256935974;0,328703392
21016A342;FOND;Uccle;0,16018271;0,229657849;1,234741723;0,924838364;0,193554108;0,273106631;1,234741723;0,924838364;0,073417075;0,031034844;0,193554108;0,273106631;3,250374158;2,935896283;1,76200981;2,327613332
21016A311;FORT JACO;Uccle;0,077340323;0,114482428;0,596164993;0,461023831;0,093452891;0,136141266;0,596164993;0,461023831;0,035447648;0,015470598;0,093452891;0,136141266;1,569364062;1,463518606;0,850743557;1,160294878
21017A512;VANDER ELST - BIEN FAIRE;Watermael-Boitsfort;0,084077637;0,077584934;0,496822398;0,430243722;0,122294744;0,13401034;0,496822398;0,430243722;0;0;0,122294744;0,13401034;1,467536929;1,100295421;0,840776366;0,909859675
21017A541;LOUTRIER - WIENER;Watermael-Boitsfort;0,064081644;0,070273264;0,378664262;0,389697194;0,093209664;0,121381093;0,378664262;0,389697194;0;0;0,093209664;0,121381093;1,118515974;0,996602659;0,640816443;0,824113737
21017A192;STADE DES TROIS TILLEULS;Watermael-Boitsfort;0,00125959;0,000812408;0,007443032;0,00450517;0,001832131;0,00140325;0,007443032;0,00450517;0;0;0,001832131;0,00140325;0,021985572;0,011521418;0,012595901;0,009527326
21017A635;PRINCES BRABANCONS;Watermael-Boitsfort;0,033536585;0,033173314;0,198170732;0,183961103;0,048780488;0,05729936;0,198170732;0,183961103;0;0;0,048780488;0,05729936;0,585365854;0,470457903;0,335365854;0,389032496
21017A11-;FLOREAL;Watermael-Boitsfort;0,099822512;0,117663712;0,5898603;0,652498769;0,145196382;0,203237322;0,5898603;0,652498769;0;0;0,145196382;0,203237322;1,742356578;1,668685377;0,998225123;1,379874446
21017A240;SOUVERAIN-OUEST;Watermael-Boitsfort;0,061719913;0,058764156;0,364708577;0,325873954;0,089774419;0,101501723;0,364708577;0,325873954;0;0;0,089774419;0,101501723;1,077293026;0,83338257;0,61719913;0,689143279
21017A230;BEGUINETTES;Watermael-Boitsfort;0,099665064;0,09098966;0,588929921;0,504579025;0,144967365;0,157163959;0,588929921;0,504579025;0;0;0,144967365;0,157163959;1,739608382;1,290398818;0,996650636;1,067060561
21017A220;LE LOGIS-SUD;Watermael-Boitsfort;0,04691973;0,049963072;0,277252949;0,277067947;0,06824688;0,086299852;0,277252949;0,277067947;0;0;0,06824688;0,086299852;0,818962556;0,708567208;0,469197298;0,585930576
21017A443;VILLE-ET-FORET - ELAN;Watermael-Boitsfort;0,052430436;0,06241999;0,309816214;0,346147218;0,076262453;0,107816347;0,309816214;0,346147218;0;0;0,076262453;0,107816347;0,915149433;0,885228951;0,524304363;0,732016248
21017A41-;AVENUE DE VISE;Watermael-Boitsfort;0,118086568;0,115768095;0,697784267;0,641986706;0,171762281;0,199963072;0,697784267;0,641986706;0;0;0,171762281;0,199963072;2,061147372;1,641802068;1,180865682;1,357644018
