Code;Territoire;single dad;;Faire une loi normale centrée en 43 allant de 16 à 70
21004E112;RUE DES CHRYSANTHEMES;0;;
21004D62-;ANVERS (CHAUSSEE D')-NORD;40;;
21004E211;RUE DE WAND;0;;
21004D631;ALLEE VERTE - BASSIN VERGOTE;0;;
21004E12-;PRINCE LEOPOLD (SQUARE);38;;
21004D6NJ;TOUR ET TAXIS;0;;
21004A822;RUE DES COMMERCANTS;0;;
21004E800;DIVIN JESUS;10;;
21004E233;DE MEYSSE (AVENUE);0;;
21004E101;PARVIS NOTRE DAME;15;;
21004A811;QUAI DU COMMERCE;21;;
21004D672;QUAI DE WILLEBROECK;11;;
21004E14-;ECOLE DES CADETS;22;;
21004F522;AVENUE DE VERSAILLES;19;;
21004E82-;CITE MODELE;25;;
21004E222;MUTSAARD (AVENUE);15;;
21004E81-;DISQUE (RUE DU);10;;
21004D600;PARVIS SAINT-ROCH;14;;
21004D610;ANVERS (CHAUSSEE D')-SUD;15;;
21004E8NJ;HOPITAL BRUGMANN;0;;
21005A10-;GENERAL HENRI (RUE);19;;
21005A042;PH. BAUCQ (RUE);25;;
21005A02-;CHAMP DU ROI (RUE);18;;
21005A33-;CARDINAL LAVIGERIE (RUE);8;;
21005A14-;ARMEE (AVENUE DE L');23;;
21005A13-;LA CHASSE;11;;
21005A082;COURS ST-MICHEL;0;;
21005A01-;SAINTE-GERTRUDE;21;;
21005A322;NOUVELLE AVENUE-SUD;0;;
21005A311;CASERNE (Etterbeek);5;;
21005A20-;PORTE DE TERVUEREN - TONGRES;7;;
21005A15-;SAINT-MICHEL COLLEGE;11;;
21005A031;MAELBEEK;12;;
21005A051;RINSDELLE;30;;
21005A11-;NOTRE-DAME DU SACRE-COEUR;15;;
21005A00-;HOTEL COMMUNAL;19;;
21005A29-;CINQUANTENAIRE (PARC);0;;
21005A12-;SAINT-ANTOINE;47;;
21005A22-;PORTE DE TERVUEREN - L. DE LAN;6;;
21005A21-;PORTE DE TERVUEREN - BRAFFORT;0;;
21006A12-;GERMINAL I;0;;
21006A11-;OASIS - PROVENCE - LANGUEDOC;0;;
21006A153;KEET;6;;
21006A13-;MAISON COMMUNALE;14;;
21006A02-;IEDER ZIJN HUIS - STROOBANTS;0;;
21006A073;GARE DE FORMATION;0;;
21006A03-;BLOCS SAINT-VINCENT;0;;
21006A094;BON PASTEUR;0;;
21006A515;CARLI;8;;
21006A24-;IEDER ZIJN HUIS - ZAVENTEM;0;;
21006A403;QUARTIER CICERO;16;;
21006A474;COMMUNAUTES;5;;
21006A201;HAUT-EVERE;20;;
21006A272;QUARTIER GROSJEAN;0;;
21006A21-;HOME FAMILIAL BRABANT;6;;
21006A23-;DU BONHEUR;18;;
21006A37-;ZONE INDUSTRIELLE;0;;
21006A312;J. BORDET (AVENUE DE);0;;
21006A101;CONSCIENCE;31;;
21006A001;VIEIL EVERE;17;;
21006A414;P. DUPONT (RUE);16;;
21006A171;ANCIEN COMBATTANTS (AVENUE);0;;
21006A25-;GIBET;3;;
21006A48-;CIMETIERE BRUXELLES;0;;
21006A22-;SAINT-EXUPERY;14;;
21006A011;CENTRE;25;;
21006A142;ED. DEKNOOP (RUE);10;;
21006A042;KERKHOEK;9;;
21006A052;CHAMP DE REPOS;14;;
21006A323;GERMINAL II;0;;
21007A03-;FOYER FORESTOIS - FAMILLE;4;;
21007A252;MESSIDOR II;0;;
21007A201;ROOSENDAEL (RUE);20;;
21007A21-;MAGNANERIE;0;;
21007A291;FOREST NATIONAL - STADE;0;;
21007A242;GLOBE;0;;
21007A75-;TOURNOI (RUE DU);9;;
21007A814;VILLAS - MONT KEMMEL;0;;
21007A111;MESSIDOR I;0;;
21007A41-;PONT DE LUTTRE-OUEST;0;;
21007A142;MONTE CARLO;14;;
21007A53-;WIELEMANS CEUPPENS;19;;
21007A50-;BERANGER;29;;
21007A51-;CHATAIGNE;0;;
21007A552;REINE MARIE-HENRIETTE;0;;
21007A541;LYCEE;0;;
21007A61-;MONTENEGRO (RUE);35;;
21007A06-;KATANGA;0;;
21007A04-;FOYER FORESTOIS - MADELON;0;;
