Hour;Min;position;regression;proba
13;33;813;2,330769231;0,04
13;34;814;2,263461538;0,04
13;35;815;2,196153846;0,04
13;36;816;2,128846154;0,04
13;37;817;2,061538462;0,03
13;38;818;1,994230769;0,03
13;39;819;1,926923077;0,03
13;40;820;1,859615385;0,03
13;41;821;1,792307692;0,03
13;42;822;1,725;0,03
13;43;823;1,657692308;0,03
13;44;824;1,590384615;0,03
13;45;825;1,523076923;0,03
13;46;826;1,455769231;0,02
13;47;827;1,388461538;0,02
13;48;828;1,321153846;0,02
13;49;829;1,253846154;0,02
13;50;830;1,186538462;0,02
13;51;831;1,119230769;0,02
13;52;832;1,051923077;0,02
13;53;833;0,984615385;0,02
13;54;834;0,917307692;0,02
13;55;835;0,85;0,01
13;56;836;0,782692308;0,01
13;57;837;0,715384615;0,01
13;58;838;0,648076923;0,01
13;59;839;0,580769231;0,01
14;0;840;0,513461538;0,01
14;1;841;0,516666667;0,01
14;2;842;0,519871795;0,01
14;3;843;0,523076923;0,01
14;4;844;0,526282051;0,01
14;5;845;0,529487179;0,01
14;6;846;0,532692308;0,01
14;7;847;0,535897436;0,01
14;8;848;0,539102564;0,01
14;9;849;0,542307692;0,01
14;10;850;0,545512821;0,01
14;11;851;0,548717949;0,01
14;12;852;0,551923077;0,01
14;13;853;0,555128205;0,01
14;14;854;0,558333333;0,01
14;15;855;0,561538462;0,01
14;16;856;0,56474359;0,01
14;17;857;0,567948718;0,01
14;18;858;0,571153846;0,01
14;19;859;0,574358974;0,01
14;20;860;0,577564103;0,01
14;21;861;0,580769231;0,01
14;22;862;0,583974359;0,01
14;23;863;0,587179487;0,01
14;24;864;0,590384615;0,01
14;25;865;0,593589744;0,01
14;26;866;0,596794872;0,01
14;27;867;0,6;0,01
14;28;868;0,603205128;0,01
14;29;869;0,606410256;0,01
14;30;870;0,609615385;0,01
14;31;871;0,612820513;0,01
14;32;872;0,616025641;0,01
14;33;873;0,619230769;0,01
14;34;874;0,622435897;0,01
14;35;875;0,625641026;0,01
14;36;876;0,628846154;0,01
14;37;877;0,632051282;0,01
14;38;878;0,63525641;0,01
14;39;879;0,638461538;0,01
14;40;880;0,641666667;0,01
14;41;881;0,644871795;0,01
14;42;882;0,648076923;0,01
14;43;883;0,651282051;0,01
14;44;884;0,654487179;0,01
14;45;885;0,657692308;0,01
14;46;886;0,660897436;0,01
14;47;887;0,664102564;0,01
14;48;888;0,667307692;0,01
14;49;889;0,670512821;0,01
14;50;890;0,673717949;0,01
14;51;891;0,676923077;0,01
14;52;892;0,680128205;0,01
14;53;893;0,683333333;0,01
14;54;894;0,686538462;0,01
14;55;895;0,68974359;0,01
14;56;896;0,692948718;0,01
14;57;897;0,696153846;0,01
14;58;898;0,699358974;0,01
14;59;899;0,702564103;0,01
15;0;900;0,705769231;0,01
15;1;901;0,705769231;0,01
15;2;902;0,705769231;0,01
15;3;903;0,705769231;0,01
15;4;904;0,705769231;0,01
15;5;905;0,705769231;0,01
15;6;906;0,705769231;0,01
15;7;907;0,705769231;0,01
15;8;908;0,705769231;0,01
15;9;909;0,705769231;0,01
15;10;910;0,705769231;0,01
15;11;911;0,705769231;0,01
15;12;912;0,705769231;0,01
15;13;913;0,705769231;0,01
15;14;914;0,705769231;0,01
15;15;915;0,705769231;0,01
15;16;916;0,705769231;0,01
15;17;917;0,705769231;0,01
15;18;918;0,705769231;0,01
15;19;919;0,705769231;0,01
15;20;920;0,705769231;0,01
15;21;921;0,705769231;0,01
15;22;922;0,705769231;0,01
15;23;923;0,705769231;0,01
15;24;924;0,705769231;0,01
15;25;925;0,705769231;0,01
15;26;926;0,705769231;0,01
15;27;927;0,705769231;0,01
15;28;928;0,705769231;0,01
15;29;929;0,705769231;0,01
15;30;930;0,705769231;0,01
15;31;931;0,705769231;0,01
15;32;932;0,705769231;0,01
15;33;933;0,705769231;0,01
15;34;934;0,705769231;0,01
15;35;935;0,705769231;0,01
15;36;936;0,705769231;0,01
15;37;937;0,705769231;0,01
15;38;938;0,705769231;0,01
15;39;939;0,705769231;0,01
15;40;940;0,705769231;0,01
15;41;941;0,705769231;0,01
15;42;942;0,705769231;0,01
15;43;943;0,705769231;0,01
15;44;944;0,705769231;0,01
15;45;945;0,705769231;0,01
15;46;946;0,705769231;0,01
15;47;947;0,705769231;0,01
15;48;948;0,705769231;0,01
15;49;949;0,705769231;0,01
15;50;950;0,705769231;0,01
15;51;951;0,705769231;0,01
15;52;952;0,705769231;0,01
15;53;953;0,705769231;0,01
15;54;954;0,705769231;0,01
15;55;955;0,705769231;0,01
15;56;956;0,705769231;0,01
15;57;957;0,705769231;0,01
15;58;958;0,705769231;0,01
15;59;959;0,705769231;0,01
16;0;960;0,705769231;0,01
16;1;961;0,708974359;0,01
16;2;962;0,712179487;0,01
16;3;963;0,715384615;0,01
16;4;964;0,718589744;0,01
16;5;965;0,721794872;0,01
16;6;966;0,725;0,01
16;7;967;0,728205128;0,01
16;8;968;0,731410256;0,01
16;9;969;0,734615385;0,01
16;10;970;0,737820513;0,01
16;11;971;0,741025641;0,01
16;12;972;0,744230769;0,01
16;13;973;0,747435897;0,01
16;14;974;0,750641026;0,01
16;15;975;0,753846154;0,01
16;16;976;0,757051282;0,01
16;17;977;0,76025641;0,01
16;18;978;0,763461538;0,01
16;19;979;0,766666667;0,01
16;20;980;0,769871795;0,01
16;21;981;0,773076923;0,01
16;22;982;0,776282051;0,01
16;23;983;0,779487179;0,01
16;24;984;0,782692308;0,01
16;25;985;0,785897436;0,01
16;26;986;0,789102564;0,01
16;27;987;0,792307692;0,01
16;28;988;0,795512821;0,01
16;29;989;0,798717949;0,01
16;30;990;0,801923077;0,01
16;31;991;0,805128205;0,01
16;32;992;0,808333333;0,01
16;33;993;0,811538462;0,01
16;34;994;0,81474359;0,01
16;35;995;0,817948718;0,01
16;36;996;0,821153846;0,01
16;37;997;0,824358974;0,01
16;38;998;0,827564103;0,01
16;39;999;0,830769231;0,01
16;40;1000;0,833974359;0,01
16;41;1001;0,837179487;0,01
16;42;1002;0,840384615;0,01
16;43;1003;0,843589744;0,01
16;44;1004;0,846794872;0,01
16;45;1005;0,85;0,01
16;46;1006;0,853205128;0,01
16;47;1007;0,856410256;0,01
16;48;1008;0,859615385;0,01
16;49;1009;0,862820513;0,01
16;50;1010;0,866025641;0,01
16;51;1011;0,869230769;0,01
16;52;1012;0,872435897;0,01
16;53;1013;0,875641026;0,01
16;54;1014;0,878846154;0,01
16;55;1015;0,882051282;0,01
16;56;1016;0,88525641;0,01
16;57;1017;0,888461538;0,01
16;58;1018;0,891666667;0,01
16;59;1019;0,894871795;0,01
17;0;1020;0,898076923;0,01
17;1;1021;0,910897436;0,02
17;2;1022;0,923717949;0,02
17;3;1023;0,936538462;0,02
17;4;1024;0,949358974;0,02
17;5;1025;0,962179487;0,02
17;6;1026;0,975;0,02
17;7;1027;0,987820513;0,02
17;8;1028;1,000641026;0,02
17;9;1029;1,013461538;0,02
17;10;1030;1,026282051;0,02
17;11;1031;1,039102564;0,02
17;12;1032;1,051923077;0,02
17;13;1033;1,06474359;0,02
17;14;1034;1,077564103;0,02
17;15;1035;1,090384615;0,02
17;16;1036;1,103205128;0,02
17;17;1037;1,116025641;0,02
17;18;1038;1,128846154;0,02
17;19;1039;1,141666667;0,02
17;20;1040;1,154487179;0,02
17;21;1041;1,167307692;0,02
17;22;1042;1,180128205;0,02
17;23;1043;1,192948718;0,02
17;24;1044;1,205769231;0,02
17;25;1045;1,218589744;0,02
17;26;1046;1,231410256;0,02
17;27;1047;1,244230769;0,02
17;28;1048;1,257051282;0,02
17;29;1049;1,269871795;0,02
17;30;1050;1,282692308;0,02
17;31;1051;1,295512821;0,02
17;32;1052;1,308333333;0,02
17;33;1053;1,321153846;0,02
17;34;1054;1,333974359;0,02
17;35;1055;1,346794872;0,02
17;36;1056;1,359615385;0,02
17;37;1057;1,372435897;0,02
17;38;1058;1,38525641;0,02
17;39;1059;1,398076923;0,02
17;40;1060;1,410897436;0,02
17;41;1061;1,423717949;0,02
17;42;1062;1,436538462;0,02
17;43;1063;1,449358974;0,02
17;44;1064;1,462179487;0,02
17;45;1065;1,475;0,02
17;46;1066;1,487820513;0,02
17;47;1067;1,500641026;0,03
17;48;1068;1,513461538;0,03
17;49;1069;1,526282051;0,03
17;50;1070;1,539102564;0,03
17;51;1071;1,551923077;0,03
17;52;1072;1,56474359;0,03
17;53;1073;1,577564103;0,03
17;54;1074;1,590384615;0,03
17;55;1075;1,603205128;0,03
17;56;1076;1,616025641;0,03
17;57;1077;1,628846154;0,03
17;58;1078;1,641666667;0,03
17;59;1079;1,654487179;0,03
18;0;1080;1,667307692;0,03
18;1;1081;1,644871795;0,03
18;2;1082;1,622435897;0,03
18;3;1083;1,6;0,03
18;4;1084;1,577564103;0,03
18;5;1085;1,555128205;0,03
18;6;1086;1,532692308;0,03
18;7;1087;1,51025641;0,03
18;8;1088;1,487820513;0,02
18;9;1089;1,465384615;0,02
18;10;1090;1,442948718;0,02
18;11;1091;1,420512821;0,02
18;12;1092;1,398076923;0,02
18;13;1093;1,375641026;0,02
18;14;1094;1,353205128;0,02
18;15;1095;1,330769231;0,02
18;16;1096;1,308333333;0,02
18;17;1097;1,285897436;0,02
18;18;1098;1,263461538;0,02
18;19;1099;1,241025641;0,02
18;20;1100;1,218589744;0,02
18;21;1101;1,196153846;0,02
18;22;1102;1,173717949;0,02
18;23;1103;1,151282051;0,02
18;24;1104;1,128846154;0,02
18;25;1105;1,106410256;0,02
18;26;1106;1,083974359;0,02
18;27;1107;1,061538462;0,02
18;28;1108;1,039102564;0,02
18;29;1109;1,016666667;0,02
18;30;1110;0,994230769;0,02
18;31;1111;0,971794872;0,02
18;32;1112;0,949358974;0,02
