Hour;Min;position;regression;proba
7;34;454;3,51978358;0,06
7;35;455;3,575650693;0,06
7;36;456;3,631517805;0,06
7;37;457;3,687384917;0,06
7;38;458;3,743252029;0,06
7;39;459;3,799119141;0,06
7;40;460;3,854986254;0,06
7;41;461;3,910853366;0,07
7;42;462;3,966720478;0,07
7;43;463;4,02258759;0,07
7;44;464;4,078454702;0,07
7;45;465;4,134321815;0,07
7;46;466;4,190188927;0,07
7;47;467;4,246056039;0,07
7;48;468;4,301923151;0,07
7;49;469;4,357790264;0,07
7;50;470;4,413657376;0,07
7;51;471;4,469524488;0,07
7;52;472;4,5253916;0,08
7;53;473;4,581258712;0,08
7;54;474;4,637125825;0,08
7;55;475;4,692992937;0,08
7;56;476;4,748860049;0,08
7;57;477;4,804727161;0,08
7;58;478;4,860594273;0,08
7;59;479;4,916461386;0,08
8;0;480;4,972328498;0,08
8;1;481;5,060811906;0,08
8;2;482;5,149295314;0,09
8;3;483;5,237778722;0,09
8;4;484;5,32626213;0,09
8;5;485;5,414745538;0,09
8;6;486;5,503228946;0,09
8;7;487;5,591712354;0,09
8;8;488;5,680195763;0,09
8;9;489;5,768679171;0,10
8;10;490;5,857162579;0,10
8;11;491;5,945645987;0,10
8;12;492;6,034129395;0,10
8;13;493;6,122612803;0,10
8;14;494;6,211096211;0,10
8;15;495;6,299579619;0,10
8;16;496;6,388063027;0,11
8;17;497;6,476546435;0,11
8;18;498;6,565029843;0,11
8;19;499;6,653513251;0,11
8;20;500;6,741996659;0,11
8;21;501;6,830480067;0,11
8;22;502;6,918963476;0,12
8;23;503;7,007446884;0,12
8;24;504;7,095930292;0,12
8;25;505;7,1844137;0,12
8;26;506;7,272897108;0,12
8;27;507;7,361380516;0,12
8;28;508;7,449863924;0,12
8;29;509;7,538347332;0,13
8;30;510;7,62683074;0,13
8;31;511;7,715314148;0,13
8;32;512;7,803797556;0,13
8;33;513;7,892280964;0,13
8;34;514;7,980764372;0,13
8;35;515;8,069247781;0,13
8;36;516;8,157731189;0,14
8;37;517;8,246214597;0,14
8;38;518;8,334698005;0,14
8;39;519;8,423181413;0,14
8;40;520;8,511664821;0,14
8;41;521;8,600148229;0,14
8;42;522;8,688631637;0,14
8;43;523;8,777115045;0,15
8;44;524;8,865598453;0,15
8;45;525;8,954081861;0,15
8;46;526;9,042565269;0,15
8;47;527;9,131048677;0,15
8;48;528;9,219532086;0,15
8;49;529;9,308015494;0,16
8;50;530;9,396498902;0,16
8;51;531;9,48498231;0,16
8;52;532;9,573465718;0,16
8;53;533;9,661949126;0,16
8;54;534;9,750432534;0,16
8;55;535;9,838915942;0,16
8;56;536;9,92739935;0,17
8;57;537;10,01588276;0,17
8;58;538;10,10436617;0,17
8;59;539;10,19284957;0,17
9;0;540;10,28133298;0,17
9;1;541;10,30611141;0,17
9;2;542;10,33088984;0,17
9;3;543;10,35566827;0,17
9;4;544;10,38044671;0,17
9;5;545;10,40522514;0,17
9;6;546;10,43000357;0,17
9;7;547;10,454782;0,17
9;8;548;10,47956043;0,17
9;9;549;10,50433886;0,18
9;10;550;10,52911729;0,18
9;11;551;10,55389572;0,18
9;12;552;10,57867415;0,18
9;13;553;10,60345258;0,18
9;14;554;10,62823101;0,18
9;15;555;10,65300945;0,18
9;16;556;10,67778788;0,18
9;17;557;10,70256631;0,18
9;18;558;10,72734474;0,18
9;19;559;10,75212317;0,18
