Hour;Min;position;regression;proba
5;29;329;0,230933333;0,00
5;30;330;0,2336;0,00
5;31;331;0,236266667;0,00
5;32;332;0,238933333;0,00
5;33;333;0,2416;0,00
5;34;334;0,244266667;0,00
5;35;335;0,246933333;0,00
5;36;336;0,2496;0,00
5;37;337;0,252266667;0,00
5;38;338;0,254933333;0,00
5;39;339;0,2576;0,00
5;40;340;0,260266667;0,00
5;41;341;0,262933333;0,00
5;42;342;0,2656;0,00
5;43;343;0,268266667;0,00
5;44;344;0,270933333;0,00
5;45;345;0,2736;0,00
5;46;346;0,276266667;0,00
5;47;347;0,278933333;0,00
5;48;348;0,2816;0,00
5;49;349;0,284266667;0,00
5;50;350;0,286933333;0,00
5;51;351;0,2896;0,00
5;52;352;0,292266667;0,00
5;53;353;0,294933333;0,00
5;54;354;0,2976;0,00
5;55;355;0,300266667;0,01
5;56;356;0,302933333;0,01
5;57;357;0,3056;0,01
5;58;358;0,308266667;0,01
5;59;359;0,310933333;0,01
6;0;360;0,3136;0,01
6;1;361;0,320266667;0,01
6;2;362;0,326933333;0,01
6;3;363;0,3336;0,01
6;4;364;0,340266667;0,01
6;5;365;0,346933333;0,01
6;6;366;0,3536;0,01
6;7;367;0,360266667;0,01
6;8;368;0,366933333;0,01
6;9;369;0,3736;0,01
6;10;370;0,380266667;0,01
6;11;371;0,386933333;0,01
6;12;372;0,3936;0,01
6;13;373;0,400266667;0,01
6;14;374;0,406933333;0,01
6;15;375;0,4136;0,01
6;16;376;0,420266667;0,01
6;17;377;0,426933333;0,01
6;18;378;0,4336;0,01
6;19;379;0,440266667;0,01
6;20;380;0,446933333;0,01
6;21;381;0,4536;0,01
6;22;382;0,460266667;0,01
6;23;383;0,466933333;0,01
6;24;384;0,4736;0,01
6;25;385;0,480266667;0,01
6;26;386;0,486933333;0,01
6;27;387;0,4936;0,01
6;28;388;0,500266667;0,01
6;29;389;0,506933333;0,01
6;30;390;0,5136;0,01
6;31;391;0,520266667;0,01
6;32;392;0,526933333;0,01
6;33;393;0,5336;0,01
6;34;394;0,540266667;0,01
6;35;395;0,546933333;0,01
6;36;396;0,5536;0,01
6;37;397;0,560266667;0,01
6;38;398;0,566933333;0,01
6;39;399;0,5736;0,01
6;40;400;0,580266667;0,01
6;41;401;0,586933333;0,01
6;42;402;0,5936;0,01
6;43;403;0,600266667;0,01
6;44;404;0,606933333;0,01
6;45;405;0,6136;0,01
6;46;406;0,620266667;0,01
6;47;407;0,626933333;0,01
6;48;408;0,6336;0,01
6;49;409;0,640266667;0,01
6;50;410;0,646933333;0,01
6;51;411;0,6536;0,01
6;52;412;0,660266667;0,01
6;53;413;0,666933333;0,01
6;54;414;0,6736;0,01
6;55;415;0,680266667;0,01
6;56;416;0,686933333;0,01
6;57;417;0,6936;0,01
6;58;418;0,700266667;0,01
6;59;419;0,706933333;0,01
7;0;420;0,7136;0,01
7;1;421;0,740266667;0,01
7;2;422;0,766933333;0,01
7;3;423;0,7936;0,01
7;4;424;0,820266667;0,01
7;5;425;0,846933333;0,01
7;6;426;0,8736;0,01
7;7;427;0,900266667;0,02
7;8;428;0,926933333;0,02
7;9;429;0,9536;0,02
7;10;430;0,980266667;0,02
7;11;431;1,006933333;0,02
7;12;432;1,0336;0,02
7;13;433;1,060266667;0,02
7;14;434;1,086933333;0,02
7;15;435;1,1136;0,02
7;16;436;1,140266667;0,02
7;17;437;1,166933333;0,02
7;18;438;1,1936;0,02
7;19;439;1,220266667;0,02
7;20;440;1,246933333;0,02
7;21;441;1,2736;0,02
7;22;442;1,300266667;0,02
7;23;443;1,326933333;0,02
7;24;444;1,3536;0,02
7;25;445;1,380266667;0,02
7;26;446;1,406933333;0,02
7;27;447;1,4336;0,02
7;28;448;1,460266667;0,02
7;29;449;1,486933333;0,02
7;30;450;1,5136;0,03
7;31;451;1,540266667;0,03
7;32;452;1,566933333;0,03
7;33;453;1,5936;0,03
7;34;454;1,620266667;0,03
7;35;455;1,646933333;0,03
7;36;456;1,6736;0,03
7;37;457;1,700266667;0,03
7;38;458;1,726933333;0,03
7;39;459;1,7536;0,03
7;40;460;1,780266667;0,03
7;41;461;1,806933333;0,03
7;42;462;1,8336;0,03
7;43;463;1,860266667;0,03
7;44;464;1,886933333;0,03
7;45;465;1,9136;0,03
7;46;466;1,940266667;0,03
7;47;467;1,966933333;0,03
7;48;468;1,9936;0,03
7;49;469;2,020266667;0,03
7;50;470;2,046933333;0,03
7;51;471;2,0736;0,03
7;52;472;2,100266667;0,04
7;53;473;2,126933333;0,04
7;54;474;2,1536;0,04
