Code;Territoire;Commune;Peripherie
21019A02-;CLOS DU SOLEIL;Woluwe Saint-Pierre;No
21003A212;CLOS DU ZAVELENBERG;Berchem Sainte-Agathe;No
21016A03-;COGHEN;Uccle;No
21004F930;COIN DES CERISES;Bruxelles;Périphérie
21017A01-;COIN DU BALAI;Watermael-Boitsfort;No
21015A00-;COLIGNON (PLACE);Schaerbeek;No
21019A51-;COLLEGE SAINT-MICHEL;Woluwe Saint-Pierre;No
21004A1MJ;COLONIES (RUE DES);Bruxelles;No
21006A474;COMMUNAUTES;Evere;No
21018A37-;COMMUNAUTES;Woluwe Saint-Lambert;Périphérie
21012A851;CONDOR;Molenbeek Saint-Jean;No
21004A32-;CONGRES - GARE;Bruxelles;No
21006A101;CONSCIENCE;Evere;No
21001B20-;CONSEIL-NORD;Anderlecht;No
21001B23-;CONSEIL-SUD;Anderlecht;No
21015A32-;CONSOLATION (RUE DE LA);Schaerbeek;No
21018A63-;CONSTELLATIONS;Woluwe Saint-Lambert;No
21019A43-;CORNICHE VERTE;Woluwe Saint-Pierre;Périphérie
21005A082;COURS ST-MICHEL;Etterbeek;No
21013A422;CRICKX (RUE);Saint-Gilles;No
21001A941;CROCUS;Anderlecht;No
21004F91-;CROIX DE GUERRE (AVENUE DES);Bruxelles;No
21007A01-;CURE D'ARS;Forest;No
21015A53-;DAILLY (PLACE);Schaerbeek;No
21013A252;DANEMARK (RUE DE);Saint-Gilles;No
21012A882;DARING;Molenbeek Saint-Jean;No
21018A21-;DE BROQUEVILLE (AVENUE)-NORD;Woluwe Saint-Lambert;No
21018A22-;DE BROQUEVILLE (AVENUE)-SUD;Woluwe Saint-Lambert;No
21008A23-;DE MESMAEKER;Ganshoren;No
21004E233;DE MEYSSE (AVENUE);Bruxelles;Périphérie
21012A39-;DE RAEDT;Molenbeek Saint-Jean;Périphérie
21003A05-;DE SELLIERS DE MORANVILLE;Berchem Sainte-Agathe;No
21009A72-;DEFACQZ;Ixelles;No
21012A54-;DELHAIZE;Molenbeek Saint-Jean;No
21007A132;DENAYER (RUE);Forest;No
21002A572;DEPOT METRO;Auderghem;No
21015A63-;DESCHANEL P. (AVENUE);Schaerbeek;No
21013A13-;DETHY (RUE);Saint-Gilles;No
21004B411;DEUX EGLISES (RUE DES);Bruxelles;No
21001B372;DEUX GARES;Anderlecht;No
21018A643;DEUX MAISONS;Woluwe Saint-Lambert;No
21010A182;DIELEGEM (BOIS DE);Jette;No
21016A01-;DIEWEG;Uccle;No
21004E81-;DISQUE (RUE DU);Bruxelles;No
21004E800;DIVIN JESUS;Bruxelles;Périphérie
21004G3MJ;DOBBELENBERG (RUE DE);Bruxelles;Périphérie
21001A441;DOCTEUR ROUX;Anderlecht;No
21004E180;DOMAINE ROYALE;Bruxelles;No
21019A052;DON BOSCO;Woluwe Saint-Pierre;No
21017A021;DREVE DES EQUIPAGES;Watermael-Boitsfort;No
21017A323;DREVE DES TUMULI;Watermael-Boitsfort;No
21017A041;DREVE DU DUC;Watermael-Boitsfort;No
21017A432;DRIES;Watermael-Boitsfort;No
21018A05-;DRIES;Woluwe Saint-Lambert;No
21006A23-;DU BONHEUR;Evere;No
21012A63-;DUBRUCQ-NORD;Molenbeek Saint-Jean;No
21019A52-;DUC (RUE);Woluwe Saint-Pierre;No
21012A10-;DUCHESSE DE BRABANT;Molenbeek Saint-Jean;No
21015A64-;DUPLOYE SQUARE;Schaerbeek;No
21004A83-;E. JACQMAIN (BOULEVARD)-OUEST;Bruxelles;No
21016A042;ECHEVINAGE;Uccle;No
21004E14-;ECOLE DES CADETS;Bruxelles;No
21004B45-;ECOLE MILITAIRE;Bruxelles;No
21006A142;ED. DEKNOOP (RUE);Evere;No
21019A04-;EGGERICX (RUE);Woluwe Saint-Pierre;No
21019A30-;EGLANTINES (AVENUE);Woluwe Saint-Pierre;No
21009A542;EGLISE ANGLICANE;Ixelles;No
21012A833;ELBERS;Molenbeek Saint-Jean;No
21004E73-;EM. BOCKSTAEL (BOULEVARD)-SUD;Bruxelles;No
21004E74-;EM. DELVA (RUE);Bruxelles;No
21015A54-;EMERAUDE (AVENUE);Schaerbeek;No
21016A610;ENGELAND;Uccle;No
21009A03-;ERMITAGE;Ixelles;No
21019A12-;ESCRIME (AVENUE DE L');Woluwe Saint-Pierre;No
21013A01-;ESPAGNE (RUE D');Saint-Gilles;No
21010A01-;ESSEGHEM;Jette;No
21009A192;ETANGS;Ixelles;No
21001A492;ETANGS - PARC;Anderlecht;No
21017A393;ETANGS DE BOITSFORT;Watermael-Boitsfort;No
21019A28-;ETANGS MELLAERTS;Woluwe Saint-Pierre;No
21012A152;ETANGS NOIRS;Molenbeek Saint-Jean;No
21009A21-;ETE;Ixelles;No
21009A23-;ETOILE (ROND POINT DE L');Ixelles;No
21018A41-;EUROPE;Woluwe Saint-Lambert;No
21019A34-;EUROPE (QUARTIER DE L');Woluwe Saint-Pierre;No
21015A721;F. COURTENS (AVENUE);Schaerbeek;No
21010A121;F. MOHRFELD (RUE DE);Jette;No
21013A052;FAIDER (RUE);Saint-Gilles;No
21019A441;FAISANDERIE;Woluwe Saint-Pierre;No
21009A43-;FERNAND NEURAY;Ixelles;No
21009A101;FLAGEY (PLACE);Ixelles;No
21017A11-;FLOREAL;Watermael-Boitsfort;No
21016A342;FOND;Uccle;Périphérie
21013A211;FONTAINAS;Saint-Gilles;No
21007A291;FOREST NATIONAL - STADE;Forest;No
21017A382;FORESTERIE;Watermael-Boitsfort;No
21009A82-;FORET;Ixelles;No
21002A190;FORET DE SOIGNES;Auderghem;Périphérie
21017A09-;FORET DE SOIGNES;Watermael-Boitsfort;Périphérie
21016A39-;FORET DE SOIGNES LORRAINE-EST;Uccle;Périphérie
