,Coord,PKUID,OBJECTID,CD_SECTOR,TX_SECTOR_DESCR_FR,CD_SUB_MUNTY,CD_MUNTY_REFNIS,TX_MUNTY_DESCR_FR,CD_DSTR_REFNIS,TX_ADM_DSTR_DESCR_FR,CD_RGN_REFNIS,TX_RGN_DESCR_FR,CD_NUTS1,CD_NUTS2,CD_NUTS3
12,"145652.78959999979,169371.90909999982 145643.71880000085,169331.59380000085 145632.875,169268.07809999958 145616.34380000085,169185.59380000085 145602.65630000085,169132.65630000085 145582.5781000033,169094.32809999958 145566.15630000085,169059.65630000085 145553.375,169034.10940000042 145511.40630000085,168937.375 145478.5468999967,168858.89059999958 145463.34380000085,168827.32809999958 145442.0468999967,168871.67190000042 145387.2968999967,168988.48440000042 145330.71880000085,169099.8125 145350.7968999967,169119.89059999958 145352.71880000085,169138.01559999958 145353.0156000033,169140.79690000042 145347.25,169166.73440000042 145346.2343999967,169167.4375 145356.96880000085,169178.04690000042 145376.5156000033,169197.59380000085 145395.5156000033,169214.78130000085 145422.8906000033,169242.17190000042 145468.5156000033,169284.14059999958 145515.96880000085,169327.9375 145537.8593999967,169348.01559999958 145561.59380000085,169362.625 145592.71880000085,169373.34380000085 145609.53130000085,169380.25 145636.6718999967,169385.78130000085 145651.86410000175,169389.26139999926 145652.78959999979,169371.90909999982",2281,2010,21001A142,VEEWEYDE-NORD,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
13,"144889.2031000033,169634.15630000085 144922.25,169631.28130000085 144973.9843999967,169626.96880000085 145080.3125,169641.34380000085 145108.7031000033,169644.6875 145103.3281000033,169449.125 145069.34380000085,169436.57809999958 145043.78130000085,169417.60940000042 144948.8125,169352.23440000042 144937.71880000085,169344.59380000085 144931.4375,169340.10940000042 144903.8593999967,169320.40630000085 144859.03130000085,169277.1875 144843.25,169261.29690000042 144842.7968999967,169269.70309999958 144829.71880000085,169398.625 144829.71880000085,169432.67190000042 144829.71880000085,169479.09380000085 144818.6875,169475.70309999958 144816.90630000085,169475.15630000085 144816.3281000033,169484.92190000042 144816.21880000085,169486.65630000085 144825.1718999967,169579.8125 144837.9375,169649.15630000085 144889.2031000033,169634.15630000085",2282,2011,21001A152,LINDE-OUEST,21001A1,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
14,"145427.7343999967,168572.92190000042 145445.125,168484.0 145445.125,168437.59380000085 145422.4843999967,168437.59380000085 145392.9375,168437.59380000085 145390.46880000085,168404.78130000085 145374.9375,168401.20309999958 145372.0,168401.75 145321.8125,168388.0625 145333.21880000085,168305.9375 145165.8593999967,168177.8125 145103.4375,168117.28130000085 145077.7656000033,168076.35940000042 145075.03130000085,168072.01559999958 145059.6406000033,168038.45309999958 145048.8281000033,168024.03130000085 145035.71880000085,168006.54690000042 145030.9375,167985.8125 145023.6718999967,167990.17190000042 144983.09380000085,168014.51559999958 144963.9531000033,168012.92190000042 144911.0,168034.57809999958 144907.3906000033,168036.25 144776.78130000085,167734.04690000042 144775.9375,167732.09380000085 144773.5625,167729.1875 144762.9843999967,167716.26559999958 144714.9375,167827.875 144726.6875,167856.79690000042 144740.875,167898.03130000085 144792.3125,168019.03130000085 144861.1406000033,168189.70309999958 144885.3906000033,168225.59380000085 144918.25,168256.625 144941.96880000085,168273.04690000042 144989.4218999967,168316.84380000085 145023.21880000085,168350.1875 145067.90630000085,168391.67190000042 145120.8281000033,168440.95309999958 145190.1875,168504.82809999958 145267.125,168574.375 145316.125,168612.51559999958 145388.1718999967,168658.60940000042 145427.7343999967,168572.92190000042",2283,2012,21001A30-,BIZET,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
15,"146183.5468999967,169070.04690000042 146128.5625,168996.26559999958 146127.4218999967,168994.73440000042 146125.0156000033,168995.73440000042 146101.5781000033,169005.5 146074.7031000033,168993.73440000042 146022.6093999967,168980.29690000042 146013.28130000085,168969.8125 145988.34380000085,168959.54690000042 145949.6875,168940.21880000085 145922.625,168899.625 145862.6875,168820.35940000042 145831.7656000033,168775.90630000085 145791.1718999967,168810.70309999958 145725.4375,168723.70309999958 145686.59380000085,168696.92190000042 145676.4843999967,168687.67190000042 145603.375,168638.48440000042 145584.15630000085,168628.89059999958 145561.125,168628.98440000042 145522.4531000033,168625.10940000042 145491.53130000085,168625.10940000042 145475.0625,168714.01559999958 145510.4843999967,168736.60940000042 145573.4531000033,168769.46880000085 145628.2031000033,168800.5 145684.78130000085,168831.51559999958 145737.71880000085,168869.84380000085 145790.6406000033,168922.78130000085 145849.0468999967,168977.53130000085 145888.46880000085,169013.53130000085 145991.40630000085,169108.9375 146016.1406000033,169132.14059999958 146046.90630000085,169167.96880000085 146183.5468999967,169070.04690000042",2284,2013,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
16,"146125.0156000033,168995.73440000042 146127.4218999967,168994.73440000042 146077.4531000033,168927.65630000085 146022.7968999967,168854.34380000085 145985.8281000033,168803.45309999958 145982.34380000085,168798.64059999958 145907.5156000033,168700.92190000042 145777.8593999967,168526.4375 145688.21880000085,168401.57809999958 145646.59380000085,168366.35940000042 145630.25,168302.46880000085 145628.1093999967,168297.95309999958 145615.9843999967,168272.45309999958 145502.0468999967,168353.84380000085 145463.6875,168376.84380000085 145457.0,168380.85940000042 145439.1093999967,168389.17190000042 145419.28130000085,168398.375 145390.46880000085,168404.78130000085 145392.9375,168437.59380000085 145422.4843999967,168437.59380000085 145445.125,168437.59380000085 145445.125,168484.0 145427.7343999967,168572.92190000042 145388.1718999967,168658.60940000042 145435.0156000033,168688.48440000042 145475.0625,168714.01559999958 145491.53130000085,168625.10940000042 145522.4531000033,168625.10940000042 145561.125,168628.98440000042 145584.15630000085,168628.89059999958 145603.375,168638.48440000042 145676.4843999967,168687.67190000042 145686.59380000085,168696.92190000042 145725.4375,168723.70309999958 145791.1718999967,168810.70309999958 145831.7656000033,168775.90630000085 145862.6875,168820.35940000042 145922.625,168899.625 145949.6875,168940.21880000085 145988.34380000085,168959.54690000042 146013.28130000085,168969.8125 146022.6093999967,168980.29690000042 146074.7031000033,168993.73440000042 146101.5781000033,169005.5 146125.0156000033,168995.73440000042",2285,2014,21001A32-,AURORE,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
17,"145419.28130000085,168398.375 145439.1093999967,168389.17190000042 145457.0,168380.85940000042 145463.6875,168376.84380000085 145502.0468999967,168353.84380000085 145615.9843999967,168272.45309999958 145542.53130000085,168169.60940000042 145508.5781000033,168122.03130000085 145481.0468999967,168080.53130000085 145447.2031000033,168033.65630000085 145381.8125,167944.34380000085 145376.1406000033,167937.07809999958 145345.15630000085,168204.89059999958 145333.21880000085,168305.9375 145321.8125,168388.0625 145372.0,168401.75 145374.9375,168401.20309999958 145390.46880000085,168404.78130000085 145419.28130000085,168398.375",2286,2015,21001A331,WALCOURT,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
18,"145345.15630000085,168204.89059999958 145376.1406000033,167937.07809999958 145347.1093999967,167899.9375 145342.7343999967,167892.82809999958 145332.1093999967,167875.5625 145250.375,167915.60940000042 145048.8281000033,168024.03130000085 145059.6406000033,168038.45309999958 145075.03130000085,168072.01559999958 145077.7656000033,168076.35940000042 145103.4375,168117.28130000085 145165.8593999967,168177.8125 145333.21880000085,168305.9375 145345.15630000085,168204.89059999958",2287,2016,21001A332,ROUE,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
19,"144911.0,168034.57809999958 144963.9531000033,168012.92190000042 144983.09380000085,168014.51559999958 145023.6718999967,167990.17190000042 145030.9375,167985.8125 145035.71880000085,168006.54690000042 145048.8281000033,168024.03130000085 145250.375,167915.60940000042 145147.875,167767.0 145030.25,167589.25 144993.6406000033,167521.28130000085 144980.5781000033,167479.46880000085 144578.1093999967,167500.23440000042 144604.75,167565.25 144695.5,167780.04690000042 144714.9375,167827.875 144762.9843999967,167716.26559999958 144773.5625,167729.1875 144775.9375,167732.09380000085 144776.78130000085,167734.04690000042 144907.3906000033,168036.25 144911.0,168034.57809999958",2288,2017,21001A34-,ROUE - CITE JARDIN,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
20,"145332.1093999967,167875.5625 145315.1718999967,167848.03130000085 145252.4375,167699.04690000042 145194.9218999967,167531.75 145145.2656000033,167372.29690000042 145097.2031000033,167248.71880000085 144998.875,167320.01559999958 144910.0,167369.67190000042 144870.78130000085,167385.35940000042 144810.6718999967,167293.875 144745.3125,167186.6875 144578.0156000033,167275.57809999958 144491.15630000085,167285.23440000042 144501.8906000033,167314.17190000042 144578.1093999967,167500.23440000042 144980.5781000033,167479.46880000085 144993.6406000033,167521.28130000085 145030.25,167589.25 145147.875,167767.0 145250.375,167915.60940000042 145332.1093999967,167875.5625",2289,2018,21001A350,CERIA - ZONE D'HABITAT,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
21,"144556.34380000085,167032.82809999958 144719.7031000033,166896.6875 144970.15630000085,166625.23440000042 144968.2968999967,166623.375 144990.5781000033,166601.89059999958 144977.2968999967,166566.79690000042 144963.7031000033,166567.20309999958 144944.90630000085,166567.59380000085 144920.09380000085,166571.09380000085 144905.2968999967,166573.59380000085 144890.09380000085,166567.90630000085 144867.90630000085,166554.09380000085 144858.7968999967,166537.90630000085 144849.7031000033,166533.29690000042 144838.0,166528.59380000085 144818.7968999967,166523.0 144813.7031000033,166514.29690000042 144803.09380000085,166505.09380000085 144786.90630000085,166499.5 144779.90630000085,166475.09380000085 144769.7968999967,166455.79690000042 144758.2031000033,166438.90630000085 144744.59380000085,166422.09380000085 144736.0,166424.09380000085 144717.7031000033,166420.0 144710.59380000085,166430.20309999958 144703.5,166440.29690000042 144682.59380000085,166457.5 144685.09380000085,166471.20309999958 144669.7031000033,166495.0 144664.7031000033,166486.90630000085 144654.09380000085,166476.20309999958 144629.7031000033,166476.09380000085 144603.2968999967,166479.5 144571.90630000085,166484.0 144562.7031000033,166489.09380000085 144548.0,166494.59380000085 144535.7968999967,166496.09380000085 144523.09380000085,166493.5 144499.2968999967,166485.29690000042 144477.5,166483.20309999958 144465.90630000085,166477.59380000085 144445.59380000085,166478.0 144433.40630000085,166479.5 144422.2968999967,166470.79690000042 144412.2031000033,166462.09380000085 144396.40630000085,166457.5 144381.7968999967,166448.79690000042 144377.71880000085,166446.6875 144380.2031000033,166502.54690000042 144394.5625,166757.73440000042 144396.875,166927.73440000042 144397.5156000033,166951.14059999958 144432.3125,167126.60940000042 144444.4843999967,167159.40630000085 144556.34380000085,167032.82809999958",2290,2019,21001A37-,ZUEN - INDUSTRIE,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
22,"144910.0,167369.67190000042 144998.875,167320.01559999958 145097.2031000033,167248.71880000085 145061.6093999967,167087.35940000042 145022.1093999967,166786.59380000085 145025.1718999967,166786.09380000085 145026.4375,166779.14059999958 145026.1093999967,166776.79690000042 145019.7031000033,166731.5 145013.7031000033,166684.79690000042 145007.59380000085,166647.29690000042 144993.90630000085,166610.70309999958 144990.5781000033,166601.89059999958 144968.2968999967,166623.375 144970.15630000085,166625.23440000042 144719.7031000033,166896.6875 144556.34380000085,167032.82809999958 144444.4843999967,167159.40630000085 144491.15630000085,167285.23440000042 144578.0156000033,167275.57809999958 144745.3125,167186.6875 144810.6718999967,167293.875 144870.78130000085,167385.35940000042 144910.0,167369.67190000042",2291,2020,21001A3MJ,CERIA I,21001A3,21001,Anderlecht,21000,Arrondissement de Bruxelles-Capitale,4000,R̩gion de Bruxelles-Capitale,BE1,BE10,BE100
