Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Distance en km;Sum of Compte;Bxl / hors bxl logement;Lieu logement;Code postal logement;Code INS logement;Code INS Arrondissement logement;Commune_from;Commune_to
1200;WOLUWE SAINT-LAMBERT;Femme;22;1160;AUDERGHEM;21002;21000;4;7;Brussels;AUDERGHEM;1160;21002;21000;Auderghem;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;22;1170;WATERMAEL-BOITSFORT;21017;21000;6;13;Brussels;WATERMAEL-BOITSFORT;1170;21017;21000;Watermael-Boitsfort;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;22;1180;UCCLE;21016;21000;8;15;Brussels;UCCLE;1180;21016;21000;Uccle;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;22;1190;FOREST;21007;21000;8;12;Brussels;FOREST;1190;21007;21000;Forest;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;22;1200;WOLUWE SAINT-LAMBERT;21018;21000;0;28;Brussels;WOLUWE SAINT-LAMBERT;1200;21018;21000;Woluwe Saint-Lambert;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;22;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;4;7;Brussels;SAINT-JOSSE-TEN-NOODE;1210;21014;21000;Saint-Josse-Ten-Noode;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1000;BRUXELLES;21004;21000;6;24;Brussels;BRUXELLES;1000;21004;21000;Bruxelles;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1030;SCHAERBEEK;21015;21000;4;21;Brussels;SCHAERBEEK;1030;21015;21000;Schaerbeek;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1040;ETTERBEEK;21005;21000;3;8;Brussels;ETTERBEEK;1040;21005;21000;Etterbeek;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1050;IXELLES;21009;21000;5;13;Brussels;IXELLES;1050;21009;21000;Ixelles;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1060;SAINT-GILLES;21013;21000;6;4;Brussels;SAINT-GILLES;1060;21013;21000;Saint-Gilles;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1070;ANDERLECHT;21001;21000;10;12;Brussels;ANDERLECHT;1070;21001;21000;Anderlecht;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1080;MOLENBEEK SAINT-JEAN;21012;21000;8;17;Brussels;MOLENBEEK SAINT-JEAN;1080;21012;21000;Molenbeek Saint-Jean;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1081;KOEKELBERG;21011;21000;8;4;Brussels;KOEKELBERG;1081;21011;21000;Koekelberg;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1082;BERCHEM SAINTE-AGATHE;21003;21000;10;4;Brussels;BERCHEM SAINTE-AGATHE;1082;21003;21000;Berchem Sainte-Agathe;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1083;GANSHOREN;21008;21000;9;3;Brussels;GANSHOREN;1083;21008;21000;Ganshoren;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1090;JETTE;21010;21000;9;9;Brussels;JETTE;1090;21010;21000;Jette;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1140;EVERE;21006;21000;3;8;Brussels;EVERE;1140;21006;21000;Evere;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1150;WOLUWE SAINT-PIERRE;21019;21000;2;5;Brussels;WOLUWE SAINT-PIERRE;1150;21019;21000;Woluwe Saint-Pierre;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1160;AUDERGHEM;21002;21000;4;8;Brussels;AUDERGHEM;1160;21002;21000;Auderghem;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1180;UCCLE;21016;21000;8;10;Brussels;UCCLE;1180;21016;21000;Uccle;Woluwe Saint-Lambert
1200;WOLUWE SAINT-LAMBERT;Femme;23;1190;FOREST;21007;21000;8;6;Brussels;FOREST;1190;21007;21000;Forest;Woluwe Saint-Lambert
