SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
21001C581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001C522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,5,6,6,6,6,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A451,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,8,8,8,10,10,10,13,13,13,13,14,12,13,12,12,12,14,14,14,10,13,13,10,10,10,12,12,12,12,12,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1
21001A30-,21,21,21,21,21,25,25,25,25,25,20,20,20,20,20,17,17,17,20,20,20,19,19,19,19,21,23,21,21,21,21,22,21,21,21,23,23,23,23,23,25,25,25,25,25,22,22,22,22,22,21,21,21,21,21,15,15,15,15,15,15,15,15,14,14,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
21001A80-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,17,17,17,16,16,16,16,19,19,19,19,19,22,22,22,22,22,23,23,23,23,23,20,20,20,20,20,22,22,22,20,16,20,20,20,20,20,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,7,7,7,7,7,8,8,8,8,8,2,2,2,2,2
21001A81-,12,12,12,12,12,13,13,13,13,13,11,11,11,11,11,10,10,10,12,12,12,13,13,13,13,17,17,17,17,17,16,16,16,16,16,14,14,14,14,11,12,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2
21001C79-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001A31-,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,7,7,7,7,6,6,6,6,7,6,6,6,6,6,9,9,9,9,9,8,8,8,8,8,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
21001A031,14,14,14,14,14,15,15,15,15,15,12,12,12,12,12,14,14,14,18,18,18,18,18,15,18,20,19,19,19,19,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,10,10,10,8,8,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
21001B22-,11,11,11,11,11,8,8,8,8,8,9,9,9,9,9,5,5,5,7,7,7,9,9,9,9,9,9,10,8,8,10,14,10,10,10,14,14,14,14,14,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,5,5,3,3,3,3,3,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21001B321,19,19,19,19,19,18,18,18,18,18,15,15,15,15,15,15,15,15,18,18,18,16,16,16,13,14,15,15,14,14,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,16,16,16,16,16,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0
21001B20-,56,56,56,56,56,47,47,47,47,47,48,48,48,48,48,35,35,35,36,45,45,50,50,41,45,41,43,45,49,41,46,46,46,46,46,54,54,54,54,54,51,51,51,51,51,44,44,44,44,44,37,37,37,37,37,30,30,30,30,30,30,30,30,19,19,15,15,15,15,15,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,2,2,2,2,2
21001B23-,11,11,11,11,11,9,9,9,9,9,12,12,12,12,12,9,9,9,13,13,13,16,16,12,12,14,14,14,14,14,15,15,15,15,15,19,19,19,19,19,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,9,9,9,8,8,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001A142,9,9,9,9,9,7,7,7,7,7,8,8,8,8,8,7,7,7,9,9,9,11,11,10,11,10,10,12,11,10,9,7,9,8,9,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,6,6,6,5,5,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
21001A051,17,17,17,17,17,13,13,13,13,13,9,9,9,9,9,11,11,11,13,13,13,12,12,10,10,11,11,11,11,11,15,12,14,11,11,15,15,15,15,15,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
21001A941,22,22,22,22,22,17,17,17,17,17,11,11,11,11,11,11,11,11,13,13,13,15,15,15,15,15,15,15,15,15,21,21,21,21,21,22,22,22,22,18,17,17,17,17,17,14,14,14,14,14,18,18,18,18,18,12,12,12,12,12,11,11,11,9,9,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
