SectorStatID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21001A441,18,18,18,18,18,17,17,17,17,17,13,13,13,13,13,13,38,32,39,43,18,18,18,18,18,20,22,20,20,20,17,18,21,18,17,16,15,16,17,16,15,15,15,15,15,16,16,16,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
21001C512,7,7,7,7,7,8,8,8,8,8,7,7,7,7,7,9,33,35,33,34,8,7,7,12,9,11,9,6,7,6,11,15,15,12,14,12,13,12,12,14,11,11,11,11,11,11,11,11,11,11,10,11,10,10,10,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,5,5,5,5,5
21001C71-,5,5,5,5,5,11,11,11,11,11,12,12,12,12,12,14,27,26,27,27,8,12,9,9,8,9,8,7,6,8,8,11,9,11,11,14,12,12,12,12,7,7,7,7,7,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,10,10,10,10,10,7,7,7,7,7,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
21001A82-,9,9,9,9,9,15,15,15,15,15,11,11,11,11,11,13,39,42,40,40,17,11,14,12,11,12,10,13,12,11,14,19,15,13,15,17,14,15,15,16,11,11,11,11,11,13,13,13,13,13,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,9,9,9,9,9,11,11,11,11,11,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
21001C611,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,17,17,16,17,3,3,3,4,3,3,2,2,3,2,4,5,4,3,3,5,4,6,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21001C581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21001C522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,7,7,7,7,7,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1
21001A451,11,11,11,11,11,8,8,8,8,8,11,11,11,11,11,13,28,26,29,29,11,11,11,14,14,9,9,11,11,11,12,18,12,12,12,12,14,14,12,12,9,9,9,9,9,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,5,4,4,4,4,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1
21001A30-,22,22,22,22,22,25,25,25,25,25,20,20,20,20,20,18,45,39,45,39,27,23,22,25,27,21,21,21,21,21,21,21,21,21,21,23,23,23,23,23,20,20,20,20,20,21,21,21,21,21,16,16,16,16,16,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
21001A80-,20,20,20,20,20,18,18,18,18,18,17,17,17,17,17,13,57,63,62,65,20,26,20,16,23,19,20,17,17,18,23,27,23,24,23,20,22,21,23,20,22,22,20,22,21,20,21,20,21,20,20,20,20,20,20,18,18,18,18,18,22,22,22,22,22,13,13,13,13,13,22,22,22,22,22,15,15,15,15,15,17,17,17,17,17,12,12,12,12,12,8,8,8,8,8,6,6,6,6,6
