SectorStatID,Quartier,Places Mat ss
21007A252,Vossegat - Roosendaal,14.0
21007A201,Vossegat - Roosendaal,124.0
21007A21-,Vossegat - Roosendaal,23.0
21007A242,Vossegat - Roosendaal,26.0
21007A75-,Altitude 100,75.0
21007A111,Vossegat - Roosendaal,38.0
21007A41-,Bas Forest,13.0
21007A142,Van Volxem - Van Haelen,34.0
21007A53-,Van Volxem - Van Haelen,77.0
21007A50-,Van Volxem - Van Haelen,88.0
21007A51-,Van Volxem - Van Haelen,25.0
21007A552,Van Volxem - Van Haelen,6.0
21007A541,Van Volxem - Van Haelen,17.0
21007A61-,Bas Forest,156.0
21007A06-,Saint-Denis - Neerstalle,23.0
21007A04-,Saint-Denis - Neerstalle,13.0
21007A00-,Saint-Denis - Neerstalle,101.0
21007A101,Van Volxem - Van Haelen,73.0
21007A783,Parc Duden - Parc de Forest,0.0
21007A071,Industrie Sud,0.0
21007A70-,Altitude 100,248.0
21007A239,Altitude 100,248.0
21009A101,Flagey - Malibran,76.0
21009A03-,Louise - Longue Haie,79.0
21009A13-,Etangs d'Ixelles,46.0
21009A121,Etangs d'Ixelles,35.0
21009A63-,Hôpital Etterbeek-Ixelles,122.0
21009A42-,Brugmann - Lepoutre,94.0
21009A40-,Brugmann - Lepoutre,63.0
21009A301,Boondael,42.0
21009A812,Boondael,17.0
21009A33-,Boondael,181.0
21009A34-,Boondael,17.0
21009A21-,Université,72.0
21009A43-,Brugmann - Lepoutre,51.0
21009A41-,Brugmann - Lepoutre,67.0
21009A83-,Dries,27.0
21009A52-,Jourdan,48.0
21009A44-,Brugmann - Lepoutre,51.0
21009A712,Châtelain,19.0
21009A72-,Châtelain,40.0
21009A911,Hôpital Etterbeek-Ixelles,87.0
21009A311,Boondael,10.0
21009A802,Boondael,12.0
21009A82-,Boondael,47.0
21009A111,Flagey - Malibran,123.0
21009A01-,Flagey - Malibran,90.0
21009A22-,Université,97.0
21009A53-,Matonge,70.0
21009A612,Flagey - Malibran,119.0
21009A151,Hôpital Etterbeek-Ixelles,50.0
21009A73-,Brugmann - Lepoutre,83.0
21009A451,Châtelain,65.0
21010A04-,Woeste,295.0
21010A03-,Jette Centre,63.0
21010A10-,Heymbosch - AZ-Jette,80.0
21010A121,Heymbosch - AZ-Jette,56.0
21010A111,Heymbosch - AZ-Jette,93.0
21010A312,Jette Centre,16.0
21010A1AJ,Heymbosch - AZ-Jette,116.0
21010A05-,Woeste,397.0
21010A13-,Heysel,177.0
21010A00-,Jette Centre,108.0
21010A141,Houba,134.0
21010A01-,Woeste,311.0
21010A21-,Basilique,94.0
21010A02-,Woeste,284.0
21011A11-,Hôpital Français,65.0
21011A30-,Basilique,61.0
21011A20-,Basilique,92.0
21011A10-,Hôpital Français,89.0
21011A01-,Koekelberg,280.0
21011A02-,Koekelberg,169.0
21011A00-,Koekelberg,115.0
21011A12-,Hôpital Français,60.0
21012A552,Karreveld,75.0
21012A833,Korenbeek,2.0
21012A84-,Machtens,83.0
21012A24-,Machtens,174.0
21012A26-,Machtens,136.0
21012A25-,Karreveld,39.0
21012A172,Gare de l'ouest,8.0
21012A041,Molenbeek Historique,100.0
21012A10-,Duchesse,303.0
21012A00-,Molenbeek Historique,109.0
21012A05-,Molenbeek Historique,60.0
21012A851,Machtens,66.0
21012A882,Machtens,31.0
21012A22-,Machtens,11.0
21012A13-,Duchesse,167.0
21012A12-,Duchesse,156.0
21012A672,Quartier Maritime,76.0
21012A60-,Quartier Maritime,139.0
21012A63-,Quartier Maritime,65.0
21012A62-,Quartier Maritime,134.0
21012A511,Karreveld,181.0
21012A20-,Machtens,108.0
21012A72-,Molenbeek Historique,127.0
21012A611,Quartier Maritime,44.0
21012A53-,Karreveld,22.0
21012A54-,Karreveld,197.0
21012A50-,Hôpital Français,111.0
21012A71-,Molenbeek Historique,182.0
21012A21-,Karreveld,91.0
21012A152,Gare de l'ouest,44.0
21012A52-,Karreveld,201.0
21012A30-,Machtens,101.0
21012A23-,Machtens,163.0
21012A41-,Moortebeek - Peterbos,114.0
21012A822,Korenbeek,52.0
21012A811,Korenbeek,10.0
21012A141,Gare de l'ouest,18.0
21012A03-,Molenbeek Historique,84.0
21012A11-,Cureghem Rosée,76.0
21012A02-,Molenbeek Historique,42.0
21012A011,Molenbeek Historique,49.0
21012A732,Molenbeek Historique,65.0
21013A242,Porte de Hal,71.0
21013A102,Porte de Hal,15.0
21013A101,Porte de Hal,94.0
21013A13-,Porte de Hal,73.0
21013A121,Bosnie,0.0
21013A422,Bosnie,0.0
21013A11-,Haut Saint-Gilles,93.0
21013A01-,Haut Saint-Gilles,190.0
21013A04-,Haut Saint-Gilles,110.0
21013A201,Porte de Hal,100.0
21013A252,Porte de Hal,86.0
21013A23-,Bas Forest,41.0
21013A02-,Berckmans - Hôtel des Monnaies,102.0
21013A612,Cureghem Bara,9.0
21013A22-,Bosnie,0.0
21013A211,Porte de Hal,61.0
21013A052,Châtelain,31.0
21013A151,Berckmans - Hôtel des Monnaies,67.0
21013A522,Berckmans - Hôtel des Monnaies,51.0
21013A40-,Haut Saint-Gilles,146.0
21013A41-,Haut Saint-Gilles,205.0
21013A031,Châtelain,37.0
21013A00-,Haut Saint-Gilles,185.0
21013A51-,Berckmans - Hôtel des Monnaies,51.0
21014A00-,Saint-Josse Centre,92.0
21014A02-,Saint-Josse Centre,45.0
21014A14-,Quartier Brabant,27.0
21014A41-,Saint-Josse Centre,118.0
21014A10-,Quartier Brabant,42.0
21014A03-,Saint-Josse Centre,34.0
21014A12-,Quartier Brabant,7.0
21014A01-,Saint-Josse Centre,33.0
21014A04-,Chaussée de Haecht,144.0
21014A05-,Saint-Josse Centre,220.0
21014A3MJ,Quartier Nord,18.0
21015A50-,Plasky,91.0
21015A77-,Reyers,0.0
21015A73-,Reyers,0.0
21015A782,Gare Josaphat,26.0
21015A31-,Dailly,64.0
21015A36-,Josaphat,49.0
21015A70-,Gare Josaphat,140.0
21015A721,Gare Josaphat,81.0
21015A822,Terdelt,34.0
21015A34-,Josaphat,53.0
21015A63-,Josaphat,55.0
21015A883,Terdelt,22.0
21015A811,Terdelt,116.0
21015A831,Terdelt,256.0
21015A03-,Chaussée de Haecht,319.0
21015A021,Colignon,174.0
21015A30-,Dailly,91.0
21015A32-,Dailly,73.0
21015A64-,Dailly,86.0
21015A33-,Dailly,70.0
21015A35-,Josaphat,63.0
21015A53-,Dailly,86.0
21015A54-,Plasky,99.0
21015A52-,Porte Tervueren,376.0
21015A51-,Georges Henri,89.0
21015A05-,Chaussée de Haecht,256.0
21015A12-,Gare de Schaerbeek,9.0
21015A152,Gare de Schaerbeek,17.0
21015A101,Gare de Schaerbeek,8.0
21015A111,Helmet,211.0
21015A142,Helmet,19.0
21015A622,Colignon,35.0
21015A71-,Gare Josaphat,114.0
21015A04-,Chaussée de Haecht,292.0
21015A421,Quartier Brabant,48.0
21015A40-,Quartier Brabant,87.0
21015A43-,Quartier Nord,86.0
21015A44-,Quartier Nord,150.0
21015A41-,Quartier Brabant,78.0
21015A612,Quartier Brabant,98.0
21015A45-,Quartier Brabant,36.0
21015A00-,Colignon,392.0
21015A01-,Colignon,59.0
21015A24-,Colignon,155.0
21015A13-,Colignon,128.0
21015A22-,Terdelt,310.0
21015A272,Helmet,14.0
21015A231,Helmet,121.0
21015A20-,Helmet,427.0
21015A21-,Helmet,140.0
21016A901,Globe,86.0
21016A81-,Churchill,66.0
21016A82-,Churchill,98.0
21016A232,Montjoie - Langeveld,100.0
21016A831,Montjoie - Langeveld,209.0
21016A111,Observatoire,44.0
21016A841,Montjoie - Langeveld,23.0
21016A85-,Churchill,28.0
21016A042,Montjoie - Langeveld,34.0
21016A03-,Globe,135.0
21016A02-,Globe,168.0
21016A922,Globe,57.0
21016A912,Globe,54.0
21016A933,Vossegat - Roosendaal,142.0
21016A731,Kalevoet - Moensberg,27.0
21016A701,Kalevoet - Moensberg,144.0
21016A772,Kalevoet - Moensberg,51.0
21016A72-,Kalevoet - Moensberg,29.0
21016A71-,Kalevoet - Moensberg,87.0
21016A954,Globe,16.0
21016A80-,Churchill,61.0
21016A225,Observatoire,16.0
21016A64-,Kalevoet - Moensberg,127.0
21016A05-,Molière - Longchamp,81.0
21016A533,Kalevoet - Moensberg,23.0
21016A943,Altitude 100,73.0
21016A65-,Kalevoet - Moensberg,69.0
21016A601,Kalevoet - Moensberg,57.0
21016A620,Kriekenput - Homborch - Verrewinkel,80.0
21016A01-,Dieweg,128.0
21016A00-,Globe,175.0
21016A102,Observatoire,104.0
21016A12-,Observatoire,93.0
21016A44-,Dieweg,79.0
21016A214,Observatoire,21.0
21016A322,Fort Jaco,85.0
21016A400,Saint-Job Kauwberg,149.0
21016A429,Saint-Job Kauwberg,87.0
21016A410,Saint-Job Kauwberg,40.0
21016A490,Saint-Job Kauwberg,12.0
21016A639,Kriekenput - Homborch - Verrewinkel,218.0
21016A610,Kriekenput - Homborch - Verrewinkel,49.0
21016A521,Kriekenput - Homborch - Verrewinkel,32.0
21016A342,Vivier d'Oie,407.0
21016A311,Fort Jaco,132.0
21017A512,Watermael Centre,45.0
21017A541,Watermael Centre,29.0
21017A635,Trois Tilleuls,33.0
21017A11-,Trois Tilleuls,105.0
21017A240,Boitsfort Centre,34.0
21017A230,Boitsfort Centre,50.0
21017A220,Trois Tilleuls,39.0
21017A443,Dries,12.0
21017A41-,Boondael,68.0
21017A523,Watermael Centre,46.0
21017A624,Watermael Centre,29.0
21017A534,Watermael Centre,15.0
21017A501,Watermael Centre,12.0
21017A432,Dries,20.0
21017A021,Boitsfort Centre,9.0
21017A01-,Boitsfort Centre,55.0
21017A12-,Trois Tilleuls,116.0
21017A13-,Watermael Centre,47.0
21017A212,Watermael Centre,44.0
21017A000,Boitsfort Centre,48.0
21017A451,Dries,24.0
21017A041,Boitsfort Centre,39.0
21018A20-,Georges Henri,166.0
21018A72-,Porte Tervueren,267.0
21018A21-,Georges Henri,127.0
21018A35-,Val d'Or,37.0
21018A34-,Val d'Or,46.0
21018A32-,Val d'Or,16.0
21018A311,Val d'Or,80.0
21018A33-,Val d'Or,71.0
21018A22-,Gribaumont,0.0
21018A512,Gribaumont,0.0
21018A031,Gribaumont,0.0
21018A04-,Roodebeek - Constellations,102.0
21018A02-,Gribaumont,0.0
21018A37-,Val d'Or,13.0
21018A63-,Roodebeek - Constellations,92.0
21018A05-,Roodebeek - Constellations,58.0
21018A61-,Georges Henri,101.0
21018A62-,Georges Henri,160.0
21018A24-,Georges Henri,84.0
21018A09-,Gribaumont,0.0
21018A30-,Roodebeek - Constellations,61.0
21018A643,Roodebeek - Constellations,77.0
21018A60-,Roodebeek - Constellations,22.0
21018A81-,Kapelleveld,56.0
21018A84-,Kapelleveld,82.0
21018A00-,Roodebeek - Constellations,80.0
21018A43-,Roodebeek - Constellations,59.0
21018A41-,Roodebeek - Constellations,63.0
21018A42-,Roodebeek - Constellations,61.0
21018A01-,Boulevard de la Woluwe,66.0
21018A15-,Boulevard de la Woluwe,20.0
21018A14-,Boulevard de la Woluwe,83.0
21018A13-,Boulevard de la Woluwe,48.0
21018A12-,Stockel,162.0
21018A82-,Kapelleveld,49.0
21018A83-,Kapelleveld,89.0
21018A87-,Kapelleveld,59.0
21018A3MJ,Val d'Or,158.0
21019A231,Boulevard de la Woluwe,72.0
21019A242,Saint-Paul,41.0
21019A252,Saint-Paul,46.0
21019A131,Stockel,224.0
21019A12-,Stockel,50.0
21019A45-,Saint-Paul,41.0
21019A52-,Gribaumont,0.0
21019A51-,Saint-Michel,213.0
21019A04-,Gribaumont,0.0
21019A03-,Gribaumont,0.0
21019A02-,Gribaumont,0.0
21019A052,Gribaumont,0.0
21019A001,Boulevard de la Woluwe,118.0
21019A34-,Chant d'Oiseau,75.0
21019A30-,Chant d'Oiseau,64.0
21019A33-,Chant d'Oiseau,111.0
21019A01-,Boulevard de la Woluwe,55.0
21019A11-,Stockel,112.0
21019A31-,Chant d'Oiseau,70.0
21019A32-,Chant d'Oiseau,191.0
21019A35-,Chant d'Oiseau,68.0
21019A20-,Saint-Paul,62.0
21019A14-,Stockel,188.0
21019A10-,Stockel,274.0
21019A21-,Saint-Paul,73.0
21019A40-,Sainte-Alix - Joli Bois,0.0
21019A15-,Kapelleveld,200.0
21019A42-,Saint-Paul,57.0
21019A22-,Putdael,0.0
21019A441,Saint-Paul,11.0
21019A41-,Sainte-Alix - Joli Bois,0.0
21019A43-,Sainte-Alix - Joli Bois,0.0
21001C6PB,Neerpede,78.0
