Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Commune_from;Commune_to;Sum of Compte
1000;BRUXELLES;Femme;19;4500;HUY;61031;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4520;WANZE;61072;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4577;MODAVE;61041;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4590;OUFFET;61048;61000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4650;HERVE;63035;63000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;4750;BUTGENBACH;63013;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4800;VERVIERS;63079;63000;(blank);Bruxelles;3
1000;BRUXELLES;Femme;19;4870;TROOZ;62122;62000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4877;OLNE;63057;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4880;AUBEL;63003;63000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;4910;THEUX;63076;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;4987;STOUMONT;63075;63000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;5000;NAMUR;92094;92000;(blank);Bruxelles;7
1000;BRUXELLES;Femme;19;5030;GEMBLOUX;92142;92000;(blank);Bruxelles;2
1000;BRUXELLES;Femme;19;5060;SAMBREVILLE;92137;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;5070;FOSSES-LA-VILLE;92048;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;5380;FERNELMONT;92138;92000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;5555;BIEVRE;91015;91000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6000;CHARLEROI;52011;52000;(blank);Bruxelles;6
1000;BRUXELLES;Femme;19;6120;HAM-SUR-HEURE-NALINNES;56086;56000;(blank);Bruxelles;1
1000;BRUXELLES;Femme;19;6150;ANDERLUES;56001;56000;(blank);Bruxelles;2
