Code postal de l'implantation;Libellé commune de l'implantation;Sexe;Age;Code postal du domicile légal;Libellé de la commune de domicile légal;Code INS du domicile belge;Code INS de l'arrondissement du domicile belge;Commune_from;Commune_to;Sum of Compte;;;
1000;BRUXELLES;Femme;23;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;5;;;
1000;BRUXELLES;Femme;23;1090;JETTE;21010;21000;Jette;Bruxelles;14;;;
1000;BRUXELLES;Femme;23;1140;EVERE;21006;21000;Evere;Bruxelles;8;;;
1000;BRUXELLES;Femme;23;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;7;;;
1000;BRUXELLES;Femme;23;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;9;;;
1000;BRUXELLES;Femme;23;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;1;;;
1000;BRUXELLES;Femme;23;1180;UCCLE;21016;21000;Uccle;Bruxelles;22;;;
1000;BRUXELLES;Femme;23;1190;FOREST;21007;21000;Forest;Bruxelles;18;;;
1000;BRUXELLES;Femme;23;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;5;;;
1000;BRUXELLES;Femme;23;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;4;;;
1000;BRUXELLES;Femme;24;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;31;;;
1000;BRUXELLES;Femme;24;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;20;;;
1000;BRUXELLES;Femme;24;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;7;;;
1000;BRUXELLES;Femme;24;1050;IXELLES;21009;21000;Ixelles;Bruxelles;30;;;
1000;BRUXELLES;Femme;24;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;11;;;
1000;BRUXELLES;Femme;24;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;28;;;
1000;BRUXELLES;Femme;24;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;9;;;
1000;BRUXELLES;Femme;24;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;5;;;
1000;BRUXELLES;Femme;24;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;2;;;
1000;BRUXELLES;Femme;24;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;6;;;
1000;BRUXELLES;Femme;24;1090;JETTE;21010;21000;Jette;Bruxelles;8;;;
1000;BRUXELLES;Femme;24;1140;EVERE;21006;21000;Evere;Bruxelles;6;;;
1000;BRUXELLES;Femme;24;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;2;;;
1000;BRUXELLES;Femme;24;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;3;;;
1000;BRUXELLES;Femme;24;1180;UCCLE;21016;21000;Uccle;Bruxelles;17;;;
1000;BRUXELLES;Femme;24;1190;FOREST;21007;21000;Forest;Bruxelles;7;;;
1000;BRUXELLES;Femme;24;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;9;;;
1000;BRUXELLES;Femme;24;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;8;;;
1000;BRUXELLES;Femme;25;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;38;;;
1000;BRUXELLES;Femme;25;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;8;;;
1000;BRUXELLES;Femme;25;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;5;;;
1000;BRUXELLES;Femme;25;1050;IXELLES;21009;21000;Ixelles;Bruxelles;19;;;
1000;BRUXELLES;Femme;25;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;14;;;
1000;BRUXELLES;Femme;25;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;9;;;
1000;BRUXELLES;Femme;25;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;10;;;
1000;BRUXELLES;Femme;25;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;1;;;
1000;BRUXELLES;Femme;25;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;3;;;
1000;BRUXELLES;Femme;25;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;1;;;
1000;BRUXELLES;Femme;25;1090;JETTE;21010;21000;Jette;Bruxelles;7;;;
1000;BRUXELLES;Femme;25;1140;EVERE;21006;21000;Evere;Bruxelles;2;;;
1000;BRUXELLES;Femme;25;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;5;;;
1000;BRUXELLES;Femme;25;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;3;;;
1000;BRUXELLES;Femme;25;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;2;;;
1000;BRUXELLES;Femme;25;1180;UCCLE;21016;21000;Uccle;Bruxelles;15;;;
1000;BRUXELLES;Femme;25;1190;FOREST;21007;21000;Forest;Bruxelles;11;;;
1000;BRUXELLES;Femme;25;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;2;;;
1000;BRUXELLES;Femme;25;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;2;;;
1000;BRUXELLES;Femme;26;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;19;;;
1000;BRUXELLES;Femme;26;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;7;;;
1000;BRUXELLES;Femme;26;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;4;;;
1000;BRUXELLES;Femme;26;1050;IXELLES;21009;21000;Ixelles;Bruxelles;24;;;
1000;BRUXELLES;Femme;26;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;16;;;
1000;BRUXELLES;Femme;26;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;7;;;
1000;BRUXELLES;Femme;26;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;8;;;
1000;BRUXELLES;Femme;26;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;1;;;
1000;BRUXELLES;Femme;26;1082;BERCHEM-SAINTE-AGATHE;21003;21000;Berchem Sainte-Agathe;Bruxelles;2;;;
1000;BRUXELLES;Femme;26;1090;JETTE;21010;21000;Jette;Bruxelles;5;;;
1000;BRUXELLES;Femme;26;1140;EVERE;21006;21000;Evere;Bruxelles;1;;;
1000;BRUXELLES;Femme;26;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;1;;;
1000;BRUXELLES;Femme;26;1160;AUDERGHEM;21002;21000;Auderghem;Bruxelles;2;;;
1000;BRUXELLES;Femme;26;1180;UCCLE;21016;21000;Uccle;Bruxelles;4;;;
1000;BRUXELLES;Femme;26;1190;FOREST;21007;21000;Forest;Bruxelles;6;;;
1000;BRUXELLES;Femme;26;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;4;;;
1000;BRUXELLES;Femme;26;1210;SAINT-JOSSE-TEN-NOODE;21014;21000;Saint-Josse-Ten-Noode;Bruxelles;3;;;
1000;BRUXELLES;Femme;27;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;22;;;
1000;BRUXELLES;Femme;27;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;2;;;
1000;BRUXELLES;Femme;27;1040;ETTERBEEK;21005;21000;Etterbeek;Bruxelles;4;;;
1000;BRUXELLES;Femme;27;1050;IXELLES;21009;21000;Ixelles;Bruxelles;17;;;
1000;BRUXELLES;Femme;27;1060;SAINT-GILLES;21013;21000;Saint-Gilles;Bruxelles;5;;;
1000;BRUXELLES;Femme;27;1070;ANDERLECHT;21001;21000;Anderlecht;Bruxelles;7;;;
1000;BRUXELLES;Femme;27;1080;MOLENBEEK-SAINT-JEAN;21012;21000;Molenbeek Saint-Jean;Bruxelles;4;;;
1000;BRUXELLES;Femme;27;1081;KOEKELBERG;21011;21000;Koekelberg;Bruxelles;1;;;
1000;BRUXELLES;Femme;27;1083;GANSHOREN;21008;21000;Ganshoren;Bruxelles;1;;;
1000;BRUXELLES;Femme;27;1090;JETTE;21010;21000;Jette;Bruxelles;1;;;
1000;BRUXELLES;Femme;27;1140;EVERE;21006;21000;Evere;Bruxelles;1;;;
1000;BRUXELLES;Femme;27;1150;WOLUWE-SAINT-PIERRE;21019;21000;Woluwe Saint-Pierre;Bruxelles;1;;;
1000;BRUXELLES;Femme;27;1170;WATERMAEL-BOITSFORT;21017;21000;Watermael Boitsfort;Bruxelles;1;;;
1000;BRUXELLES;Femme;27;1180;UCCLE;21016;21000;Uccle;Bruxelles;5;;;
1000;BRUXELLES;Femme;27;1190;FOREST;21007;21000;Forest;Bruxelles;5;;;
1000;BRUXELLES;Femme;27;1200;WOLUWE-SAINT-LAMBERT;21018;21000;Woluwe Saint-Lambert;Bruxelles;3;;;
1000;BRUXELLES;Femme;28;1000;BRUXELLES;21004;21000;Bruxelles;Bruxelles;14;;;
1000;BRUXELLES;Femme;28;1030;SCHAERBEEK;21015;21000;Schaerbeek;Bruxelles;4;;;
